index,source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
0,texas-a-m,cfe-arena,VEN-000038,Addition Financial Arena,,Orlando,FL,ARENA,,,,1,2024-11-04,2024-11-04,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000038.
1,texas-a-m,ahearn-field-house,VEN-000001,Ahearn Fieldhouse,,Manhattan,KS,ARENA,,,,2,1969-03-13,1969-03-15,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000001.
2,texas-a-m,alamodome,VEN-000002,Alamodome,,San Antonio,TX,ARENA,,,,1,2007-03-22,2007-03-22,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000002.
3,texas-a-m,allstate-arena,VEN-000004,Allstate Arena,,Rosemont,IL,ARENA,,,,1,2005-03-19,2005-03-19,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000004.
4,texas-a-m,american-airlines-center,VEN-000010,American Airlines Center,,Dallas,TX,ARENA,,,,4,2003-03-13,2006-03-11,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000010.
5,texas-a-m,arena-auditorium,VEN-000364,Arena-Auditorium,,Laramie,WY,ARENA,,,,1,1986-03-13,1986-03-13,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000364.
6,texas-a-m,ball-arena,VEN-000018,Ball Arena,,Denver,CO,ARENA,,,,2,2025-03-20,2025-03-22,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000018.
7,texas-a-m,amalie-arena,VEN-000008,Benchmark International Arena,,Tampa,FL,ARENA,,,,5,2022-03-10,2025-11-28,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000008.
8,texas-a-m,bridgestone-arena,VEN-000031,Bridgestone Arena,,Nashville,TN,ARENA,,,,18,2013-03-13,2026-03-12,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000031.
9,texas-a-m,bud-walton-arena,VEN-000032,Bud Walton Arena,,Fayetteville,AR,ARENA,,,,1,2026-02-25,2026-02-25,EVENT,,,,Venue assignment follows only independently established H/A/N; venue/geography never determines site type.,Texas A&M official records/schedules; owner-authorized conference tournament site workbook; official NCAA tournament history; targeted venue research.,RESEARCH-PROVISIONAL physical identity; implementation must rebase against current global venue registry. Integration rebase resolved final global venue ID VEN-000032.
