source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
texas-tech,Abilene Christian,abilene-christian,Abilene Christian,Yes,23,1925-1926,2020-2021,RESOLVED,Current program registry / researched historical alias to current program.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Adams State,adams-state,Adams State,No,2,1974-1975,1990-1991,RESOLVED,Current NCAA DII institution.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Air Force,air-force,Air Force,Yes,5,1960-1961,2014-2015,RESOLVED,Current program registry / researched historical alias to current program.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Alabama,alabama,Alabama,Yes,2,1963-1964,2012-2013,RESOLVED,Current program registry / researched historical alias to current program.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Alabama State,alabama-state,Alabama State,Yes,1,2021-2022,2021-2022,RESOLVED,Current program registry / researched historical alias to current program.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,American Liberty Pipeline,american-liberty-pipeline,American Liberty Pipeline,No,2,1939-1940,1939-1940,RESOLVED,Historical industrial/company team; literal source identity retained; no current-D1 merge candidate.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Appalachian State,app-state,Appalachian State,Yes,1,1985-1986,1985-1986,RESOLVED,Current program registry / researched historical alias to current program.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Arizona,arizona,Arizona,Yes,4,1956-1957,1970-1971,RESOLVED,Current program registry / researched historical alias to current program.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Arizona State,arizona-state,Arizona State,Yes,3,1956-1957,2012-2013,RESOLVED,Current program registry / researched historical alias to current program.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Arizona State [B12],arizona-state,Arizona State,Yes,1,2024-2025,2024-2025,RESOLVED,Current program registry / researched historical alias to current program.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Arizona State [BC],arizona-state,Arizona State,Yes,17,1934-1935,1955-1956,RESOLVED,Current program registry / researched historical alias to current program.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Arizona [B12],arizona,Arizona,Yes,1,2024-2025,2024-2025,RESOLVED,Current program registry / researched historical alias to current program.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Arizona [BC],arizona,Arizona,Yes,16,1934-1935,1955-1956,RESOLVED,Current program registry / researched historical alias to current program.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Arkansas,arkansas,Arkansas,Yes,1,2018-2019,2018-2019,RESOLVED,Current program registry / researched historical alias to current program.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Arkansas State,arkansas-state,Arkansas State,Yes,4,1971-1972,2021-2022,RESOLVED,Current program registry / researched historical alias to current program.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Arkansas [SWC],arkansas,Arkansas,Yes,25,1957-1958,1988-1989,RESOLVED,Current program registry / researched historical alias to current program.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Arkansas-Little Rock,little-rock,Little Rock,Yes,3,1996-1997,2015-2016,RESOLVED,Current program registry / researched historical alias to current program.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Arkansas-Pine Bluff,arkansas-pine-bluff,UAPB,Yes,4,2014-2015,2024-2025,RESOLVED,Current program registry / researched historical alias to current program.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Auburn,auburn,Auburn,Yes,2,1963-1964,2014-2015,RESOLVED,Current program registry / researched historical alias to current program.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Auburn-Montgomery,auburn-montgomery,Auburn Montgomery,No,1,1982-1983,1982-1983,RESOLVED,Current NCAA DII institution; distinct from Auburn.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Austin College,austin-college,Austin College,No,1,1949-1950,1949-1950,RESOLVED,NCAA DIII institution.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Austin Peay,austin-peay,Austin Peay,Yes,1,1989-1990,1989-1990,RESOLVED,Current program registry / researched historical alias to current program.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,BYU,byu,BYU,Yes,2,1969-1970,1995-1996,RESOLVED,Current program registry / researched historical alias to current program.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Baylor,baylor,Baylor,Yes,3,1956-1957,1983-1984,RESOLVED,Current program registry / researched historical alias to current program.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Baylor [B12],baylor,Baylor,Yes,16,1997-1998,2024-2025,RESOLVED,Current program registry / researched historical alias to current program.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Baylor [B12] [F],baylor,Baylor,Yes,1,1996-1997,1996-1997,RESOLVED,Current program registry / researched historical alias to current program.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Baylor [SWC],baylor,Baylor,Yes,39,1957-1958,1995-1996,RESOLVED,Current program registry / researched historical alias to current program.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Bergstrom AAF Texas,bergstrom-army-air-field,Bergstrom Army Air Field,No,1,1943-1944,1943-1944,RESOLVED,WWII military installation team; installation was Bergstrom Army Air Field/Field in 1943.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Bethune-Cookman,bethune-cookman,Bethune-Cookman,Yes,2,2019-2020,2024-2025,RESOLVED,Current program registry / researched historical alias to current program.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Bucknell,bucknell,Bucknell,Yes,1,2006-2007,2006-2007,RESOLVED,Current program registry / researched historical alias to current program.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,CSU Bakersfield,cal-state-bakersfield,Cal State Bakersfield,Yes,1,2019-2020,2019-2020,RESOLVED,Current program registry / researched historical alias to current program.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Cal State Bakersfield,cal-state-bakersfield,Cal State Bakersfield,Yes,1,2011-2012,2011-2012,RESOLVED,Current program registry / researched historical alias to current program.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Cal State Fullerton,cal-state-fullerton,Cal State Fullerton,Yes,1,1986-1987,1986-1987,RESOLVED,Current program registry / researched historical alias to current program.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Cameron State,cameron,Cameron,No,4,1931-1932,1934-1935,RESOLVED,Historical name of present Cameron University; preserve source label.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Centenary College,centenary-louisiana,Centenary (LA),No,5,1968-1969,2008-2009,RESOLVED,"Centenary College of Louisiana; NCAA DIII, distinct from other Centenary institutions.",,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Central Arkansas,central-arkansas,Central Arkansas,Yes,1,2013-2014,2013-2014,RESOLVED,Current program registry / researched historical alias to current program.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Central Missouri,central-missouri,Central Missouri,No,1,1970-1971,1970-1971,RESOLVED,Present University of Central Missouri; non-D1 identity.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Central Oklahoma,central-oklahoma,Central Oklahoma,No,2,1972-1973,1978-1979,RESOLVED,NCAA DII institution.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Charlotte,charlotte,Charlotte,Yes,1,1975-1976,1975-1976,RESOLVED,Current program registry / researched historical alias to current program.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Checker Cab,checker-cab-san-angelo,Checker Cab (San Angelo),No,1,1949-1950,1949-1950,RESOLVED,Contemporary 1949 Texas newspaper identifies the independent Checker Cab team as based in San Angelo; preserve as industrial/independent club.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Chicago State,chicago-state,Chicago State,Yes,1,1984-1985,1984-1985,RESOLVED,Current program registry / researched historical alias to current program.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Cincinnati [B12],cincinnati,Cincinnati,Yes,2,2023-2024,2025-2026,RESOLVED,Current program registry / researched historical alias to current program.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Clemson,clemson,Clemson,Yes,1,1985-1986,1985-1986,RESOLVED,Current program registry / researched historical alias to current program.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Clovis AAF New Mexico,clovis-army-air-field,Clovis Army Air Field,No,1,1945-1946,1945-1946,RESOLVED,WWII military installation team.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
texas-tech,Colorado,colorado,Colorado,Yes,6,1961-1962,1985-1986,RESOLVED,Current program registry / researched historical alias to current program.,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
