source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,site_research_status,site_research_basis,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
TTRAW-00001,texas-tech,2026-27_texas_tech_record_book_year_by_year_results,1925-1926,1926,1926-01-25,Daniel Baker,Daniel Baker,daniel-baker,No,25,37,L,0,,,home-by-source-listing,SOURCE_PROGRAM_HOME,,Aggie Judging Pavilion,Lubbock,TX,,,REGULAR_SEASON,,Texas Tech 2026-27 Record Book PDF p. 60,01/25 Daniel Baker L • 37-25,resolved,,,,,,,
TTRAW-00002,texas-tech,2026-27_texas_tech_record_book_year_by_year_results,1925-1926,1926,1926-01-26,Daniel Baker,Daniel Baker,daniel-baker,No,28,32,L,0,,,home-by-source-listing,SOURCE_PROGRAM_HOME,,Aggie Judging Pavilion,Lubbock,TX,,,REGULAR_SEASON,,Texas Tech 2026-27 Record Book PDF p. 60,01/26 Daniel Baker L • 32-28,resolved,,,,,,,
TTRAW-00003,texas-tech,2026-27_texas_tech_record_book_year_by_year_results,1925-1926,1926,1926-01-30,West Texas A&M,West Texas A&M,west-texas-a-m,No,17,32,L,0,,,home-by-source-listing,SOURCE_PROGRAM_HOME,,Aggie Judging Pavilion,Lubbock,TX,,,REGULAR_SEASON,,Texas Tech 2026-27 Record Book PDF p. 60,01/30 West Texas A&M L • 32-17,resolved,,,,,,,
TTRAW-00004,texas-tech,2026-27_texas_tech_record_book_year_by_year_results,1925-1926,1926,1926-02-03,at Sul Ross State,Sul Ross State,sul-ross-state,No,24,41,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Texas Tech 2026-27 Record Book PDF p. 60,02/03 at Sul Ross State L • 41-24,resolved,,,,,,,
TTRAW-00005,texas-tech,2026-27_texas_tech_record_book_year_by_year_results,1925-1926,1926,1926-02-04,at Sul Ross State,Sul Ross State,sul-ross-state,No,35,21,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Texas Tech 2026-27 Record Book PDF p. 60,02/04 at Sul Ross State W • 35-21,resolved,,,,,,,
TTRAW-00006,texas-tech,2026-27_texas_tech_record_book_year_by_year_results,1925-1926,1926,1926-02-05,McMurry,McMurry,mcmurry,No,35,20,W,0,,,home-by-source-listing,SOURCE_PROGRAM_HOME,,Aggie Judging Pavilion,Lubbock,TX,,,REGULAR_SEASON,,Texas Tech 2026-27 Record Book PDF p. 60,02/05 McMurry W • 35-20,resolved,,,,,,,
TTRAW-00007,texas-tech,2026-27_texas_tech_record_book_year_by_year_results,1925-1926,1926,1926-02-06,McMurry,McMurry,mcmurry,No,30,28,W,0,,,home-by-source-listing,SOURCE_PROGRAM_HOME,,Aggie Judging Pavilion,Lubbock,TX,,,REGULAR_SEASON,,Texas Tech 2026-27 Record Book PDF p. 60,02/06 McMurry W • 30-28,resolved,,,,,,,
TTRAW-00008,texas-tech,2026-27_texas_tech_record_book_year_by_year_results,1925-1926,1926,1926-02-10,at West Texas A&M,West Texas A&M,west-texas-a-m,No,19,43,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Texas Tech 2026-27 Record Book PDF p. 60,02/10 at West Texas A&M L • 43-19,resolved,,,,,,,
TTRAW-00009,texas-tech,2026-27_texas_tech_record_book_year_by_year_results,1925-1926,1926,1926-02-11,at West Texas A&M,West Texas A&M,west-texas-a-m,No,21,42,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Texas Tech 2026-27 Record Book PDF p. 60,02/11 at West Texas A&M L • 42-21,resolved,,,,,,,
TTRAW-00010,texas-tech,2026-27_texas_tech_record_book_year_by_year_results,1925-1926,1926,1926-02-17,at Hardin-Simmons,Hardin-Simmons,hardin-simmons,No,30,26,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Texas Tech 2026-27 Record Book PDF p. 60,02/17 at Hardin-Simmons W • 30-26,resolved,,,,,,,
TTRAW-00011,texas-tech,2026-27_texas_tech_record_book_year_by_year_results,1925-1926,1926,1926-02-18,at Hardin-Simmons,Hardin-Simmons,hardin-simmons,No,23,31,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Texas Tech 2026-27 Record Book PDF p. 60,02/18 at Hardin-Simmons L • 31-23,resolved,,,,,,,
TTRAW-00012,texas-tech,2026-27_texas_tech_record_book_year_by_year_results,1925-1926,1926,1926-02-19,at McMurry,McMurry,mcmurry,No,23,21,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Texas Tech 2026-27 Record Book PDF p. 60,02/19 at McMurry W • 23-21,resolved,,,,,,,
TTRAW-00013,texas-tech,2026-27_texas_tech_record_book_year_by_year_results,1925-1926,1926,1926-02-22,Abilene Christian,Abilene Christian,abilene-christian,Yes,34,21,W,0,,,home-by-source-listing,SOURCE_PROGRAM_HOME,,Aggie Judging Pavilion,Lubbock,TX,,,REGULAR_SEASON,,Texas Tech 2026-27 Record Book PDF p. 60,02/22 Abilene Christian W • 34-21,resolved,,,,,,,
TTRAW-00014,texas-tech,2026-27_texas_tech_record_book_year_by_year_results,1925-1926,1926,1926-02-23,Abilene Christian,Abilene Christian,abilene-christian,Yes,23,41,L,0,,,home-by-source-listing,SOURCE_PROGRAM_HOME,,Aggie Judging Pavilion,Lubbock,TX,,,REGULAR_SEASON,,Texas Tech 2026-27 Record Book PDF p. 60,02/23 Abilene Christian L • 41-23,resolved,,,,,,,
TTRAW-00015,texas-tech,2026-27_texas_tech_record_book_year_by_year_results,1926-1927,1927,1927-01-20,Wayland Baptist,Wayland Baptist,wayland-baptist,No,30,16,W,0,,,home-by-source-listing,SOURCE_PROGRAM_HOME,,"Tech Gym (""The Barn"")",Lubbock,TX,,,REGULAR_SEASON,,Texas Tech 2026-27 Record Book PDF p. 60,01/20 Wayland Baptist W • 30-16,resolved,,,,,,,
TTRAW-00016,texas-tech,2026-27_texas_tech_record_book_year_by_year_results,1926-1927,1927,1927-01-24,Sul Ross State,Sul Ross State,sul-ross-state,No,25,19,W,0,,,home-by-source-listing,SOURCE_PROGRAM_HOME,,"Tech Gym (""The Barn"")",Lubbock,TX,,,REGULAR_SEASON,,Texas Tech 2026-27 Record Book PDF p. 60,01/24 Sul Ross State W • 25-19,resolved,,,,,,,
TTRAW-00017,texas-tech,2026-27_texas_tech_record_book_year_by_year_results,1926-1927,1927,1927-01-25,Sul Ross State,Sul Ross State,sul-ross-state,No,26,35,L,0,,,home-by-source-listing,SOURCE_PROGRAM_HOME,,"Tech Gym (""The Barn"")",Lubbock,TX,,,REGULAR_SEASON,,Texas Tech 2026-27 Record Book PDF p. 60,01/25 Sul Ross State L • 35-26,resolved,,,,,,,
TTRAW-00018,texas-tech,2026-27_texas_tech_record_book_year_by_year_results,1926-1927,1927,1927-01-28,at Hardin-Simmons,Hardin-Simmons,hardin-simmons,No,25,29,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Texas Tech 2026-27 Record Book PDF p. 60,01/28 at Hardin-Simmons L • 29-25,resolved,,,,,,,
TTRAW-00019,texas-tech,2026-27_texas_tech_record_book_year_by_year_results,1926-1927,1927,1927-01-29,at Hardin-Simmons,Hardin-Simmons,hardin-simmons,No,27,21,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Texas Tech 2026-27 Record Book PDF p. 60,01/29 at Hardin-Simmons W • 27-21,resolved,,,,,,,
TTRAW-00020,texas-tech,2026-27_texas_tech_record_book_year_by_year_results,1926-1927,1927,1927-01-31,at Abilene Christian,Abilene Christian,abilene-christian,Yes,30,45,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Texas Tech 2026-27 Record Book PDF p. 60,01/31 at Abilene Christian L • 45-30,resolved,,,,,,,
TTRAW-00021,texas-tech,2026-27_texas_tech_record_book_year_by_year_results,1926-1927,1927,1927-02-01,at Abilene Christian,Abilene Christian,abilene-christian,Yes,29,37,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Texas Tech 2026-27 Record Book PDF p. 60,02/01 at Abilene Christian L • 37-29,resolved,,,,,,,
TTRAW-00022,texas-tech,2026-27_texas_tech_record_book_year_by_year_results,1926-1927,1927,1927-02-02,at McMurry,McMurry,mcmurry,No,19,21,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Texas Tech 2026-27 Record Book PDF p. 60,02/02 at McMurry L • 21-19,resolved,,,,,,,
TTRAW-00023,texas-tech,2026-27_texas_tech_record_book_year_by_year_results,1926-1927,1927,1927-02-03,at McMurry,McMurry,mcmurry,No,29,30,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Texas Tech 2026-27 Record Book PDF p. 60,02/03 at McMurry L • 30-29,resolved,,,,,,,
TTRAW-00024,texas-tech,2026-27_texas_tech_record_book_year_by_year_results,1926-1927,1927,1927-02-09,Sam Houston State,Sam Houston,sam-houston,Yes,26,16,W,0,,,home-by-source-listing,SOURCE_PROGRAM_HOME,,"Tech Gym (""The Barn"")",Lubbock,TX,,,REGULAR_SEASON,,Texas Tech 2026-27 Record Book PDF p. 60,02/09 Sam Houston State W • 26-16,resolved,,,,,,,
TTRAW-00025,texas-tech,2026-27_texas_tech_record_book_year_by_year_results,1926-1927,1927,1927-02-10,Sam Houston State,Sam Houston,sam-houston,Yes,40,21,W,0,,,home-by-source-listing,SOURCE_PROGRAM_HOME,,"Tech Gym (""The Barn"")",Lubbock,TX,,,REGULAR_SEASON,,Texas Tech 2026-27 Record Book PDF p. 60,02/10 Sam Houston State W • 40-21,resolved,,,,,,,
TTRAW-00026,texas-tech,2026-27_texas_tech_record_book_year_by_year_results,1926-1927,1927,1927-02-14,at West Texas A&M,West Texas A&M,west-texas-a-m,No,19,43,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Texas Tech 2026-27 Record Book PDF p. 60,02/14 at West Texas A&M L • 43-19,resolved,,,,,,,
TTRAW-00027,texas-tech,2026-27_texas_tech_record_book_year_by_year_results,1926-1927,1927,1927-02-15,at West Texas A&M,West Texas A&M,west-texas-a-m,No,17,40,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Texas Tech 2026-27 Record Book PDF p. 60,02/15 at West Texas A&M L • 40-17,resolved,,,,,,,
TTRAW-00028,texas-tech,2026-27_texas_tech_record_book_year_by_year_results,1926-1927,1927,1927-02-16,East Texas State,East Texas A&M,east-texas-a-m,Yes,29,24,W,0,,,home-by-source-listing,SOURCE_PROGRAM_HOME,,"Tech Gym (""The Barn"")",Lubbock,TX,,,REGULAR_SEASON,,Texas Tech 2026-27 Record Book PDF p. 60,02/16 East Texas State W • 29-24,resolved,,,,,,,
TTRAW-00029,texas-tech,2026-27_texas_tech_record_book_year_by_year_results,1926-1927,1927,1927-02-17,East Texas State,East Texas A&M,east-texas-a-m,Yes,35,28,W,0,,,home-by-source-listing,SOURCE_PROGRAM_HOME,,"Tech Gym (""The Barn"")",Lubbock,TX,,,REGULAR_SEASON,,Texas Tech 2026-27 Record Book PDF p. 60,02/17 East Texas State W • 35-28,resolved,,,,,,,
TTRAW-00030,texas-tech,2026-27_texas_tech_record_book_year_by_year_results,1926-1927,1927,1927-02-18,at Wayland Baptist,Wayland Baptist,wayland-baptist,No,31,26,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Texas Tech 2026-27 Record Book PDF p. 60,02/18 at Wayland Baptist W • 31-26,resolved,,,,,,,
TTRAW-00031,texas-tech,2026-27_texas_tech_record_book_year_by_year_results,1926-1927,1927,1927-02-21,West Texas A&M,West Texas A&M,west-texas-a-m,No,18,40,L,0,,,home-by-source-listing,SOURCE_PROGRAM_HOME,,"Tech Gym (""The Barn"")",Lubbock,TX,,,REGULAR_SEASON,,Texas Tech 2026-27 Record Book PDF p. 60,02/21 West Texas A&M L • 40-18,resolved,,,,,,,
