source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
texas-tech,aggie-judging-pavilion,VEN-000553,Aggie Judging Pavilion,,Lubbock,TX,pavilion,,,unknown,7,1926-01-25,1926-02-23,primary_home,1925-1926,1925-1926,season,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,"Texas Tech 2026-27 Record Book; accepted Stage 3A/3B institutional, reciprocal, event, and postseason site research.",Research physical identity: PROVISIONAL_NEW_PHYSICAL_CANDIDATE_OR_REBASE_REUSE. Numeric venue_id intentionally blank; serialized Implementation must rebase against current protected main. STAGE6_PHYSICAL_IDENTITY=GENUINELY_NEW_CURRENT_MAIN_CANDIDATE Integration rebase resolved final global venue ID VEN-000553.
texas-tech,ahearn-field-house,VEN-000001,Ahearn Field House,,Manhattan,KS,fieldhouse,,,unknown,2,1962-03-16,1962-03-17,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,"Texas Tech 2026-27 Record Book; accepted Stage 3A/3B institutional, reciprocal, event, and postseason site research.",Research physical identity: DEFINITE_RESEARCH_BASE_REUSE. Numeric venue_id intentionally blank; serialized Implementation must rebase against current protected main. STAGE6_PHYSICAL_IDENTITY=DEFINITE_RESEARCH_BASE_REUSE; CURRENT_MAIN_REUSE_KEY=ahearn-field-house Integration rebase resolved final global venue ID VEN-000001.
texas-tech,allen-fieldhouse,VEN-000003,Allen Fieldhouse,,Lawrence,KS,arena,,,unknown,2,1961-03-17,1961-03-18,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,"Texas Tech 2026-27 Record Book; accepted Stage 3A/3B institutional, reciprocal, event, and postseason site research.",Research physical identity: DEFINITE_RESEARCH_BASE_REUSE. Numeric venue_id intentionally blank; serialized Implementation must rebase against current protected main. STAGE6_PHYSICAL_IDENTITY=DEFINITE_RESEARCH_BASE_REUSE; CURRENT_MAIN_REUSE_KEY=allen-fieldhouse Integration rebase resolved final global venue ID VEN-000003.
texas-tech,allstate-arena,VEN-000004,Allstate Arena,Rosemont Horizon,Rosemont,IL,arena,,,unknown,2,1982-11-26,1982-11-27,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,"Texas Tech 2026-27 Record Book; accepted Stage 3A/3B institutional, reciprocal, event, and postseason site research.",Research physical identity: DEFINITE_RESEARCH_BASE_REUSE. Numeric venue_id intentionally blank; serialized Implementation must rebase against current protected main. STAGE6_PHYSICAL_IDENTITY=DEFINITE_RESEARCH_BASE_REUSE; CURRENT_MAIN_REUSE_KEY=allstate-arena Integration rebase resolved final global venue ID VEN-000004.
texas-tech,american-airlines-center,VEN-000010,American Airlines Center,,Dallas,TX,arena,,,unknown,14,2003-03-13,2025-12-13,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,"Texas Tech 2026-27 Record Book; accepted Stage 3A/3B institutional, reciprocal, event, and postseason site research.",Research physical identity: DEFINITE_RESEARCH_BASE_REUSE. Numeric venue_id intentionally blank; serialized Implementation must rebase against current protected main. STAGE6_PHYSICAL_IDENTITY=DEFINITE_RESEARCH_BASE_REUSE; CURRENT_MAIN_REUSE_KEY=american-airlines-center Integration rebase resolved final global venue ID VEN-000010.
texas-tech,simon-skjodt-assembly-hall,VEN-000186,Assembly Hall,Simon Skjodt Assembly Hall,Bloomington,IN,arena,,,unknown,6,1976-12-20,2021-03-19,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,"Texas Tech 2026-27 Record Book; accepted Stage 3A/3B institutional, reciprocal, event, and postseason site research.",Research physical identity: DEFINITE_RESEARCH_BASE_REUSE. Numeric venue_id intentionally blank; serialized Implementation must rebase against current protected main. STAGE6_PHYSICAL_IDENTITY=DEFINITE_RESEARCH_BASE_REUSE; CURRENT_MAIN_REUSE_KEY=simon-skjodt-assembly-hall Integration rebase resolved final global venue ID VEN-000186.
texas-tech,autry-court,VEN-000554,Autry Court,,Houston,TX,arena,,,unknown,8,1957-12-26,1959-12-29,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,"Rice official historical results identify the 1957-58, 1958-59, and 1959-60 SWC Tournament at Autry Court.",Stage 6 genuinely new current-main physical venue candidate. Numeric venue_id intentionally blank; serialized Implementation must perform the authoritative current-main rebase. STAGE6_PHYSICAL_IDENTITY=GENUINELY_NEW_CURRENT_MAIN_CANDIDATE Integration rebase resolved final global venue ID VEN-000554.
texas-tech,bok-center,VEN-000024,BOK Center,,Tulsa,OK,arena,,,unknown,2,2019-03-22,2019-03-24,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,"Texas Tech 2026-27 Record Book; accepted Stage 3A/3B institutional, reciprocal, event, and postseason site research.",Research physical identity: DEFINITE_RESEARCH_BASE_REUSE. Numeric venue_id intentionally blank; serialized Implementation must rebase against current protected main. STAGE6_PHYSICAL_IDENTITY=DEFINITE_RESEARCH_BASE_REUSE; CURRENT_MAIN_REUSE_KEY=bok-center Integration rebase resolved final global venue ID VEN-000024.
texas-tech,baha-mar-convention-center,VEN-000267,Baha Mar Convention Center,"Baha Mar Convention, Arts & Entertainment Center",Nassau,BS,arena,,,unknown,2,2025-11-20,2025-11-21,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,"Texas Tech 2026-27 Record Book; accepted Stage 3A/3B institutional, reciprocal, event, and postseason site research.",Research physical identity: DEFINITE_RESEARCH_BASE_REUSE. Numeric venue_id intentionally blank; serialized Implementation must rebase against current protected main. STAGE6_PHYSICAL_IDENTITY=DEFINITE_RESEARCH_BASE_REUSE; CURRENT_MAIN_REUSE_KEY=baha-mar-convention-center Integration rebase resolved final global venue ID VEN-000267.
texas-tech,barclays-center,VEN-000020,Barclays Center,,Brooklyn,NY,arena,,,unknown,4,2013-11-25,2024-11-22,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,"Texas Tech 2026-27 Record Book; accepted Stage 3A/3B institutional, reciprocal, event, and postseason site research.",Research physical identity: DEFINITE_RESEARCH_BASE_REUSE. Numeric venue_id intentionally blank; serialized Implementation must rebase against current protected main. STAGE6_PHYSICAL_IDENTITY=DEFINITE_RESEARCH_BASE_REUSE; CURRENT_MAIN_REUSE_KEY=barclays-center Integration rebase resolved final global venue ID VEN-000020.
texas-tech,beasley-coliseum,VEN-000283,Beasley Coliseum,Friel Court at Beasley Coliseum,Pullman,WA,arena,,,unknown,1,1995-03-15,1995-03-15,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,"Texas Tech 2026-27 Record Book; accepted Stage 3A/3B institutional, reciprocal, event, and postseason site research.",Research physical identity: DEFINITE_RESEARCH_BASE_REUSE. Numeric venue_id intentionally blank; serialized Implementation must rebase against current protected main. STAGE6_PHYSICAL_IDENTITY=DEFINITE_RESEARCH_BASE_REUSE; CURRENT_MAIN_REUSE_KEY=beasley-coliseum Integration rebase resolved final global venue ID VEN-000283.
texas-tech,amalie-arena,VEN-000008,Benchmark International Arena,,Tampa,FL,arena,,,unknown,2,2026-03-20,2026-03-22,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,"Texas Tech 2026-27 Record Book; accepted Stage 3A/3B institutional, reciprocal, event, and postseason site research.",Research physical identity: DEFINITE_RESEARCH_BASE_REUSE. Numeric venue_id intentionally blank; serialized Implementation must rebase against current protected main. STAGE6_PHYSICAL_IDENTITY=DEFINITE_RESEARCH_BASE_REUSE; CURRENT_MAIN_REUSE_KEY=amalie-arena Integration rebase resolved final global venue ID VEN-000008.
texas-tech,brookshire-grocery-arena,VEN-000555,Brookshire Grocery Arena,CenturyTel Center,Bossier City,LA,arena,,,unknown,1,2006-12-16,2006-12-16,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,"Texas Tech 2026-27 Record Book; accepted Stage 3A/3B institutional, reciprocal, event, and postseason site research.",Research physical identity: PROVISIONAL_NEW_PHYSICAL_CANDIDATE_OR_REBASE_REUSE. Numeric venue_id intentionally blank; serialized Implementation must rebase against current protected main. STAGE6_PHYSICAL_IDENTITY=GENUINELY_NEW_CURRENT_MAIN_CANDIDATE Integration rebase resolved final global venue ID VEN-000555.
texas-tech,cannon-activities-center,VEN-000389,Cannon Activities Center,George Q. Cannon Activities Center,Laie,HI,arena,,,unknown,3,1998-12-21,1998-12-23,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,"Texas Tech 2026-27 Record Book; accepted Stage 3A/3B institutional, reciprocal, event, and postseason site research.",Research physical identity: DEFINITE_RESEARCH_BASE_REUSE. Numeric venue_id intentionally blank; serialized Implementation must rebase against current protected main. STAGE6_PHYSICAL_IDENTITY=DEFINITE_RESEARCH_BASE_REUSE; CURRENT_MAIN_REUSE_KEY=cannon-activities-center Integration rebase resolved final global venue ID VEN-000389.
texas-tech,carver-hawkeye-arena,VEN-000037,Carver-Hawkeye Arena,,Iowa City,IA,arena,,,unknown,1,1984-12-07,1984-12-07,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,"Texas Tech 2026-27 Record Book; accepted Stage 3A/3B institutional, reciprocal, event, and postseason site research.",Research physical identity: DEFINITE_RESEARCH_BASE_REUSE. Numeric venue_id intentionally blank; serialized Implementation must rebase against current protected main. STAGE6_PHYSICAL_IDENTITY=DEFINITE_RESEARCH_BASE_REUSE; CURRENT_MAIN_REUSE_KEY=carver-hawkeye-arena Integration rebase resolved final global venue ID VEN-000037.
texas-tech,provisional-casper-events-center,VEN-000469,Casper Events Center,,Casper,WY,arena,,,unknown,3,1996-12-27,2002-12-14,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,"Texas Tech 2026-27 Record Book; accepted Stage 3A/3B institutional, reciprocal, event, and postseason site research.",Research physical identity: PROVISIONAL_NEW_PHYSICAL_CANDIDATE_OR_REBASE_REUSE. Numeric venue_id intentionally blank; serialized Implementation must rebase against current protected main. STAGE6_PHYSICAL_IDENTITY=DEFINITE_CURRENT_MAIN_REUSE; CURRENT_MAIN_REUSE_KEY=casper-events-center Integration current-main physical identity reconciled from research key casper-events-center to authoritative key provisional-casper-events-center (VEN-000469); historical conclusion unchanged. Integration rebase resolved final global venue ID VEN-000469.
texas-tech,chaparral-center,VEN-000556,Chaparral Center,,Midland,TX,arena,,,unknown,1,2019-11-13,2019-11-13,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,"Texas Tech 2026-27 Record Book; accepted Stage 3A/3B institutional, reciprocal, event, and postseason site research.",Research physical identity: PROVISIONAL_NEW_PHYSICAL_CANDIDATE_OR_REBASE_REUSE. Numeric venue_id intentionally blank; serialized Implementation must rebase against current protected main. STAGE6_PHYSICAL_IDENTITY=GENUINELY_NEW_CURRENT_MAIN_CANDIDATE Integration rebase resolved final global venue ID VEN-000556.
texas-tech,charles-koch-arena,VEN-000039,Charles Koch Arena,Levitt Arena,Wichita,KS,arena,,,unknown,2,1956-03-13,1973-03-10,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,"Texas Tech 2026-27 Record Book; accepted Stage 3A/3B institutional, reciprocal, event, and postseason site research.",Research physical identity: DEFINITE_RESEARCH_BASE_REUSE. Numeric venue_id intentionally blank; serialized Implementation must rebase against current protected main. STAGE6_PHYSICAL_IDENTITY=DEFINITE_RESEARCH_BASE_REUSE; CURRENT_MAIN_REUSE_KEY=charles-koch-arena Integration rebase resolved final global venue ID VEN-000039.
texas-tech,chase-center,VEN-000042,Chase Center,,San Francisco,CA,arena,,,unknown,3,2022-03-24,2025-03-29,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,"Texas Tech 2026-27 Record Book; accepted Stage 3A/3B institutional, reciprocal, event, and postseason site research.",Research physical identity: DEFINITE_RESEARCH_BASE_REUSE. Numeric venue_id intentionally blank; serialized Implementation must rebase against current protected main. STAGE6_PHYSICAL_IDENTITY=DEFINITE_RESEARCH_BASE_REUSE; CURRENT_MAIN_REUSE_KEY=chase-center Integration rebase resolved final global venue ID VEN-000042.
texas-tech,coliseo-roberto-clemente,VEN-000467,Coliseo Roberto Clemente,,San Juan,PR,arena,,,unknown,3,2015-11-19,2015-11-22,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,"Texas Tech 2026-27 Record Book; accepted Stage 3A/3B institutional, reciprocal, event, and postseason site research.",Research physical identity: PROVISIONAL_NEW_PHYSICAL_CANDIDATE_OR_REBASE_REUSE. Numeric venue_id intentionally blank; serialized Implementation must rebase against current protected main. STAGE6_PHYSICAL_IDENTITY=DEFINITE_CURRENT_MAIN_REUSE; CURRENT_MAIN_REUSE_KEY=coliseo-roberto-clemente Integration rebase resolved final global venue ID VEN-000467.
texas-tech,comerica-center,VEN-000557,Comerica Center,,Frisco,TX,arena,,,unknown,1,2020-12-12,2020-12-12,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,"Texas Tech 2026-27 Record Book; accepted Stage 3A/3B institutional, reciprocal, event, and postseason site research.",Research physical identity: PROVISIONAL_NEW_PHYSICAL_CANDIDATE_OR_REBASE_REUSE. Numeric venue_id intentionally blank; serialized Implementation must rebase against current protected main. STAGE6_PHYSICAL_IDENTITY=GENUINELY_NEW_CURRENT_MAIN_CANDIDATE Integration rebase resolved final global venue ID VEN-000557.
texas-tech,cox-center,VEN-000558,Cox Center,,Oklahoma City,OK,arena,,,unknown,2,1993-12-29,1993-12-30,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,"Texas Tech 2026-27 Record Book; accepted Stage 3A/3B institutional, reciprocal, event, and postseason site research.",Research physical identity: PROVISIONAL_NEW_PHYSICAL_CANDIDATE_OR_REBASE_REUSE. Numeric venue_id intentionally blank; serialized Implementation must rebase against current protected main. STAGE6_PHYSICAL_IDENTITY=DEFINITE_CURRENT_MAIN_REUSE; CURRENT_MAIN_REUSE_KEY=myriad-convention-center Integration rebase resolved final global venue ID VEN-000558.
