index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
0,texas,22nd Infantry,22nd-infantry,22nd Infantry,No,1,1911-1912,1911-1912,RESOLVED,Historical/non-current source identity or researched institutional lineage,,
1,texas,23rd Infantry,23rd-infantry,23rd Infantry,No,1,1931-1932,1931-1932,RESOLVED,Historical/non-current source identity or researched institutional lineage,,
2,texas,Abilene Christian,abilene-christian,Abilene Christian,Yes,1,2020-2021,2020-2021,RESOLVED,Current D1 registry / established institutional lineage,,
3,texas,Acad. Americano,acad-americano,Acad. Americano,No,1,1927-1928,1927-1928,RESOLVED,Historical/non-current source identity or researched institutional lineage,,
4,texas,Alabama,alabama,Alabama,Yes,15,1947-1948,2025-2026,RESOLVED,Current D1 registry / established institutional lineage,,
5,texas,Alabama State,alabama-state,Alabama State,Yes,1,2021-2022,2021-2022,RESOLVED,Current D1 registry / established institutional lineage,,
6,texas,Alaska-Anchorage,alaska-anchorage,Alaska-Anchorage,No,3,1977-1978,1986-1987,RESOLVED,Historical/non-current source identity or researched institutional lineage,,
7,texas,Alcorn State,alcorn-state,Alcorn State,Yes,2,2006-2007,2014-2015,RESOLVED,Current D1 registry / established institutional lineage,,
8,texas,Allen Academy,allen-academy,Allen Academy,No,4,1908-1909,1909-1910,RESOLVED,Historical/non-current source identity or researched institutional lineage,,
9,texas,American,american-university,American,Yes,1,1997-1998,1997-1998,RESOLVED,Current D1 registry / established institutional lineage,,Aligned to current research-baseline program registry; literal source label preserved in source-games.csv.
10,texas,Appalachian State,app-state,Appalachian State,Yes,2,2008-2009,2015-2016,RESOLVED,Current D1 registry / established institutional lineage,,
11,texas,Arizona,arizona,Arizona,Yes,11,1949-1950,2010-2011,RESOLVED,Current D1 registry / established institutional lineage,,
12,texas,Arizona State,arizona-state,Arizona State,Yes,6,1966-1967,2025-2026,RESOLVED,Current D1 registry / established institutional lineage,,
13,texas,Ark-Pine Bluff,arkansas-pine-bluff,Arkansas-Pine Bluff,Yes,2,2021-2022,2024-2025,RESOLVED,Current D1 registry / established institutional lineage,,
14,texas,Arkansas,arkansas,Arkansas,Yes,158,1923-1924,2025-2026,RESOLVED,Current D1 registry / established institutional lineage,,
15,texas,Arkansas State,arkansas-state,Arkansas State,Yes,1,1978-1979,1978-1979,RESOLVED,Current D1 registry / established institutional lineage,,
16,texas,Arkansas-Monticello,arkansas-monticello,Arkansas-Monticello,No,1,2007-2008,2007-2008,RESOLVED,Historical/non-current source identity or researched institutional lineage,,
