index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
0,TEXRAW-00001,texas,2025-26_fact_book_year_by_year,1905-1906,1906,1906-03-10,Baylor,Baylor,baylor,Yes,27,17,W,0,,,Home,SOURCE_PROGRAM_HOME,Clark Field,Clark Field,Austin,TX,,,REGULAR_SEASON,,Year-by-Year Results p. 91,3/10 Baylor ($) W 27-17,resolved,,,,,
1,TEXRAW-00002,texas,2025-26_fact_book_year_by_year,1905-1906,1906,1906-03-23,Baylor,Baylor,baylor,Yes,32,23,W,0,,,Away,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Year-by-Year Results p. 91,3/23 at Baylor W 32-23,resolved,,,,,
2,TEXRAW-00003,texas,2025-26_fact_book_year_by_year,1905-1906,1906,1906-03-23,Baylor,Baylor,baylor,Yes,21,17,W,0,,,Away,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Year-by-Year Results p. 91,3/23 at Baylor W 21-17,resolved,,,,,
3,TEXRAW-00004,texas,2025-26_fact_book_year_by_year,1905-1906,1906,1906-03-24,Baylor,Baylor,baylor,Yes,23,18,W,0,,,Away,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Year-by-Year Results p. 91,3/24 at Baylor W 23-18,resolved,,,,,
4,TEXRAW-00005,texas,2025-26_fact_book_year_by_year,1905-1906,1906,1906-03-26,Temple YMCA,Temple YMCA,temple-ymca,No,30,16,W,0,,,Away,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Year-by-Year Results p. 91,3/26 at Temple YMCA W 30-16,resolved,,,,,
5,TEXRAW-00006,texas,2025-26_fact_book_year_by_year,1905-1906,1906,1906-04-01,San Marcos Baptist,San Marcos Baptist,san-marcos-baptist,No,25,9,W,0,,,Away,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Year-by-Year Results p. 91,4/1 at San Marcos Baptist W 25-9,resolved,,,,,
6,TEXRAW-00007,texas,2025-26_fact_book_year_by_year,1905-1906,1906,1906-04-01,San Marcos Baptist,San Marcos Baptist,san-marcos-baptist,No,42,8,W,0,,,Away,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Year-by-Year Results p. 91,4/1 at San Marcos Baptist W 42-8,resolved,,,,,
7,TEXRAW-00008,texas,2025-26_fact_book_year_by_year,1905-1906,1906,1906-04-21,San Antonio HS,San Antonio HS,san-antonio-hs,No,15,18,L,0,,,Away,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Year-by-Year Results p. 91,4/21 at San Antonio HS L 15-18,resolved,,,,,
8,TEXRAW-00009,texas,2025-26_fact_book_year_by_year,1906-1907,1907,1907-01-20,Palestine YMCA,Palestine YMCA,palestine-ymca,No,35,10,W,0,,,Home,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,Year-by-Year Results p. 91,1/20 Palestine YMCA W 35-10,resolved,,,,,
9,TEXRAW-00010,texas,2025-26_fact_book_year_by_year,1906-1907,1907,1907-01-27,Decatur Baptist,Decatur Baptist,decatur-baptist,No,23,24,L,0,,,Home,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,Year-by-Year Results p. 91,1/27 Decatur Baptist L 23-24,resolved,,,,,
10,TEXRAW-00011,texas,2025-26_fact_book_year_by_year,1906-1907,1907,1907-02-02,Baylor,Baylor,baylor,Yes,38,27,W,0,,,Home,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,Year-by-Year Results p. 91,2/2 Baylor W 38-27,resolved,,,,,
11,TEXRAW-00012,texas,2025-26_fact_book_year_by_year,1906-1907,1907,1907-02-22,Baylor,Baylor,baylor,Yes,21,23,L,0,,,Away,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Year-by-Year Results p. 91,2/22 at Baylor L 21-23,resolved,,,,,
12,TEXRAW-00013,texas,2025-26_fact_book_year_by_year,1906-1907,1907,1907-02-23,Fort Worth YMCA,Fort Worth YMCA,fort-worth-ymca,No,23,27,L,0,,,Away,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Year-by-Year Results p. 91,2/23 at Fort Worth YMCA L 23-27,resolved,,,,,
13,TEXRAW-00014,texas,2025-26_fact_book_year_by_year,1906-1907,1907,1907-02-26,Baylor,Baylor,baylor,Yes,24,28,L,0,,,Away,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Year-by-Year Results p. 91,2/26 at Baylor L 24-28,resolved,,,,,
14,TEXRAW-00015,texas,2025-26_fact_book_year_by_year,1906-1907,1907,1907-02-26,Cleburne YMCA,Cleburne YMCA,cleburne-ymca,No,40,36,W,0,,,Away,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Year-by-Year Results p. 91,2/26 at Cleburne YMCA W 40-36,resolved,,,,,
15,TEXRAW-00016,texas,2025-26_fact_book_year_by_year,1906-1907,1907,1907-03-09,San Antonio HS,San Antonio HS,san-antonio-hs,No,36,16,W,0,,,Home,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,Year-by-Year Results p. 91,3/9 San Antonio HS W 36-16,resolved,,,,,
16,TEXRAW-00017,texas,2025-26_fact_book_year_by_year,1908-1909,1909,1909-02-06,Austin HS,Austin HS,austin-hs,No,56,4,W,0,,,Home,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,Year-by-Year Results p. 91,2/6 Austin HS W 56-4,resolved,,,,,
17,TEXRAW-00018,texas,2025-26_fact_book_year_by_year,1908-1909,1909,1909-02-06,Austin Deaf School,Austin Deaf School,austin-deaf-school,No,39,9,W,0,,,Home,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,Year-by-Year Results p. 91,2/6 Austin Deaf School W 39-9,resolved,,,,,
18,TEXRAW-00019,texas,2025-26_fact_book_year_by_year,1908-1909,1909,1909-02-06,Allen Academy,Allen Academy,allen-academy,No,21,42,L,0,,,Home,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,Year-by-Year Results p. 91,2/6 Allen Academy L 21-42,resolved,,,,,
19,TEXRAW-00020,texas,2025-26_fact_book_year_by_year,1908-1909,1909,1909-02-06,Allen Academy,Allen Academy,allen-academy,No,21,38,L,0,,,Home,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,Year-by-Year Results p. 91,2/6 Allen Academy L 21-38,resolved,,,,,
20,TEXRAW-00021,texas,2025-26_fact_book_year_by_year,1908-1909,1909,1909-02-26,San Antonio HS,San Antonio HS,san-antonio-hs,No,21,19,W,0,,,Home,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,Year-by-Year Results p. 91,2/26 San Antonio HS W 21-19,resolved,,,,,
21,TEXRAW-00022,texas,2025-26_fact_book_year_by_year,1908-1909,1909,1909-02-27,Baylor,Baylor,baylor,Yes,34,47,L,0,,,Home,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,Year-by-Year Results p. 91,2/27 Baylor L 34-47,resolved,,,,,
22,TEXRAW-00023,texas,2025-26_fact_book_year_by_year,1908-1909,1909,1909-02-27,Baylor,Baylor,baylor,Yes,39,21,W,0,,,Home,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,Year-by-Year Results p. 91,2/27 Baylor W 39-21,resolved,,,,,
23,TEXRAW-00024,texas,2025-26_fact_book_year_by_year,1908-1909,1909,1909-02-27,Austin Deaf School,Austin Deaf School,austin-deaf-school,No,42,3,W,0,,,Home,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,Year-by-Year Results p. 91,2/27 Austin Deaf School W 42-3,resolved,,,,,
24,TEXRAW-00025,texas,2025-26_fact_book_year_by_year,1908-1909,1909,1909-02-27,Austin HS,Austin HS,austin-hs,No,21,8,W,0,,,Home,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,Year-by-Year Results p. 91,2/27 Austin HS W 21-8,resolved,,,,,
25,TEXRAW-00026,texas,2025-26_fact_book_year_by_year,1909-1910,1910,1910-02-25,Austin Deaf School,Austin Deaf School,austin-deaf-school,No,92,14,W,0,,,Home,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,Year-by-Year Results p. 91,2/25 Austin Deaf School W 92-14,resolved,,,,,
