index,source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
0,texas,ahearn-field-house,VEN-000001,Ahearn Field House,,Manhattan,KS,arena,,,,2,1960-03-11,1960-03-12,,,,,,Texas NCAA/postseason research cross-checked to established project physical venue identities and archival NCAA/site evidence,Integration rebase resolved final global venue ID VEN-000001.
1,texas,alamodome,VEN-000002,Alamodome,,San Antonio,TX,arena,,,,2,2003-03-28,2003-03-30,,,,,,Texas NCAA/postseason research cross-checked to established project physical venue identities and archival NCAA/site evidence,Integration rebase resolved final global venue ID VEN-000002.
2,texas,allen-fieldhouse,VEN-000003,Allen Fieldhouse,,Lawrence,KS,arena,,,,2,1963-03-15,1963-03-16,,,,,,Texas NCAA/postseason research cross-checked to established project physical venue identities and archival NCAA/site evidence,Integration rebase resolved final global venue ID VEN-000003.
3,texas,american-airlines-center,VEN-000010,American Airlines Center,,Dallas,TX,arena,,,,11,2002-03-15,2006-03-19,,,,,,Owner-authorized Texas conference-site reference and/or Texas official schedule; research-baseline global venue registry where applicable,Integration rebase resolved final global venue ID VEN-000010.
4,texas,ball-arena,VEN-000018,Ball Arena,Pepsi Center,Denver,CO,arena,,,,2,2004-03-18,2004-03-20,,,,,,Texas NCAA/postseason research cross-checked to established project physical venue identities and archival NCAA/site evidence,Integration rebase resolved final global venue ID VEN-000018.
5,texas,ben-hur-temple,VEN-000331,Ben Hur Temple,,Austin,TX,hall,,,,1,1913-01-13,1913-01-13,home,1913-01-13,1913-01-13,EXACT,SOURCE_PROGRAM_HOME,"Texas 2025-26 Fact Book, Year-by-Year Results p. 91 first-indoor-home footnote",Intersection of Lavaca and West 18th; later Scottish Rite Theater; provisional physical identity. Integration rebase resolved final global venue ID VEN-000331.
6,texas,bok-center,VEN-000024,BOK Center,,Tulsa,OK,arena,,,,2,2011-03-18,2011-03-20,,,,,,Texas NCAA/postseason research cross-checked to established project physical venue identities and archival NCAA/site evidence,Integration rebase resolved final global venue ID VEN-000024.
7,texas,bradley-center,VEN-000026,Bradley Center,BMO Harris Bradley Center,Milwaukee,WI,arena,,,,4,1996-03-15,2014-03-22,,,,,,Texas NCAA/postseason research cross-checked to established project physical venue identities and archival NCAA/site evidence,Integration rebase resolved final global venue ID VEN-000026.
8,texas,bridgestone-arena,VEN-000031,Bridgestone Arena,,Nashville,TN,arena,,,,6,2012-03-16,2026-03-11,,,,,,Owner-authorized Texas conference-site reference and/or Texas official schedule; research-baseline global venue registry where applicable,Integration rebase resolved final global venue ID VEN-000031.
9,texas,bud-walton-arena,VEN-000032,Bud Walton Arena,,Fayetteville,AR,arena,,,,1,2026-03-04,2026-03-04,,,,,,Owner-authorized Texas conference-site reference and/or Texas official schedule; research-baseline global venue registry where applicable,Integration rebase resolved final global venue ID VEN-000032.
10,texas,caesars-superdome,VEN-000034,Caesars Superdome,Louisiana Superdome,New Orleans,LA,arena,,,,2,2001-03-16,2003-04-05,,,,,,Texas NCAA/postseason research cross-checked to established project physical venue identities and archival NCAA/site evidence,Integration rebase resolved final global venue ID VEN-000034.
11,texas,california-coliseum,VEN-000332,California Coliseum,,San Francisco,CA,arena,,,,2,1939-03-20,1939-03-21,,,,,,Texas NCAA/postseason research cross-checked to established project physical venue identities and archival NCAA/site evidence,Integration rebase resolved final global venue ID VEN-000332.
12,texas,clark-field-texas,VEN-000333,Clark Field,,Austin,TX,field,,,,1,1906-03-10,1906-03-10,home,1906-03-10,1906-03-10,EXACT,SOURCE_PROGRAM_HOME,"Texas 2025-26 Fact Book, Year-by-Year Results p. 91 first-game footnote",Outdoor first-game site on UT campus; provisional physical identity. Integration rebase resolved final global venue ID VEN-000333.
13,texas,coleman-coliseum,VEN-000048,Coleman Coliseum,,Tuscaloosa,AL,arena,,,,1,2026-01-10,2026-01-10,,,,,,Owner-authorized Texas conference-site reference and/or Texas official schedule; research-baseline global venue registry where applicable,Integration rebase resolved final global venue ID VEN-000048.
14,texas,fiserv-forum,VEN-000063,Fiserv Forum,,Milwaukee,WI,arena,,,,2,2022-03-18,2022-03-20,,,,,,Texas NCAA/postseason research cross-checked to established project physical venue identities and archival NCAA/site evidence,Integration rebase resolved final global venue ID VEN-000063.
15,texas,frank-erwin-center,VEN-000068,Frank Erwin Center,Erwin Center,Austin,TX,arena,1977-11-29,2022-02-28,EXACT,695,1977-11-29,2022-02-28,home,1977-11-29,2022-02-28,EXACT,SOURCE_PROGRAM_HOME,Texas 2025-26 Fact Book Frank Erwin Center Records; research-baseline global venue registry,Integration rebase resolved final global venue ID VEN-000068.
16,texas,g-rollie-white-coliseum,VEN-000334,G. Rollie White Coliseum,,College Station,TX,arena,,,,1,1984-03-06,1984-03-06,,,,,,Owner-authorized Texas conference-site reference and/or Texas official schedule; research-baseline global venue registry where applicable,Integration rebase resolved final global venue ID VEN-000334.
17,texas,georgia-dome,VEN-000073,Georgia Dome,,Atlanta,GA,arena,,,,3,2004-03-26,2006-03-25,,,,,,Texas NCAA/postseason research cross-checked to established project physical venue identities and archival NCAA/site evidence,Integration rebase resolved final global venue ID VEN-000073.
