source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,site_research_status,site_research_basis,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
UCF-R-198485-001,ucf,ucf_2024_25_media_guide_year_by_year,1984-1985,1985,1984-11-24,Florida,Florida,florida,Yes,55,106,L,0,,,at,OPPONENT_HOME,,,Gainesville,FL,,,REGULAR_SEASON,,UCF.pdf PDF p.10 / media-guide p.96; extracted line 1062,N24 at Florida L 106-55,resolved,,,,,,,
UCF-R-198485-002,ucf,ucf_2024_25_media_guide_year_by_year,1984-1985,1985,1984-11-27,#17 Arkansas,Arkansas,arkansas,Yes,45,59,L,0,,,at,OPPONENT_HOME,,,Pine Bluff,AR,,,REGULAR_SEASON,,UCF.pdf PDF p.10 / media-guide p.96; extracted line 1063,N27 at #17 Arkansas L 59-45,resolved,,,,,,,
UCF-R-198485-003,ucf,ucf_2024_25_media_guide_year_by_year,1984-1985,1985,1984-11-30,Florida Southern*,Florida Southern,florida-southern,No,50,53,L,0,,,,SOURCE_PROGRAM_HOME,Orange County Civic Center,Orange County Civic Center,Orlando,FL,,,REGULAR_SEASON,,UCF.pdf PDF p.10 / media-guide p.96; extracted line 1064,N30 Florida Southern* L 53-50,resolved,,,,,,,
UCF-R-198485-004,ucf,ucf_2024_25_media_guide_year_by_year,1984-1985,1985,1984-12-05,Florida A&M,Florida A&M,florida-a-m,Yes,67,62,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,UCF.pdf PDF p.10 / media-guide p.96; extracted line 1065,D5 at Florida A&M W 67-62,resolved,,,,,,,
UCF-R-198485-005,ucf,ucf_2024_25_media_guide_year_by_year,1984-1985,1985,1984-12-06,South Alabama,South Alabama,south-alabama,Yes,66,83,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,UCF.pdf PDF p.10 / media-guide p.96; extracted line 1066,D6 at South Alabama L 83-66,resolved,,,,,,,
UCF-R-198485-006,ucf,ucf_2024_25_media_guide_year_by_year,1984-1985,1985,1984-12-15,South Carolina,South Carolina,south-carolina,Yes,46,89,L,0,,,at,OPPONENT_HOME,,,Columbia,SC,,,REGULAR_SEASON,,UCF.pdf PDF p.10 / media-guide p.96; extracted line 1067,D15 at South Carolina L 89-46,resolved,,,,,,,
UCF-R-198485-007,ucf,ucf_2024_25_media_guide_year_by_year,1984-1985,1985,1984-12-17,Dayton,Dayton,dayton,Yes,61,71,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,UCF.pdf PDF p.10 / media-guide p.96; extracted line 1068,D17 at Dayton L 71-61,resolved,,,,,,,
UCF-R-198485-008,ucf,ucf_2024_25_media_guide_year_by_year,1984-1985,1985,1984-12-19,Ohio State,Ohio State,ohio-state,Yes,59,83,L,0,,,at,OPPONENT_HOME,,,Columbus,OH,,,REGULAR_SEASON,,UCF.pdf PDF p.10 / media-guide p.96; extracted line 1069,D19 at Ohio State L 83-59,resolved,,,,,,,
UCF-R-198485-009,ucf,ucf_2024_25_media_guide_year_by_year,1984-1985,1985,1984-12-29,Louisiana-Lafayette*,Louisiana,louisiana,Yes,55,88,L,0,,,,SOURCE_PROGRAM_HOME,Orange County Civic Center,Orange County Civic Center,Orlando,FL,,,REGULAR_SEASON,,UCF.pdf PDF p.10 / media-guide p.96; extracted line 1070,D29 Louisiana-Lafayette* L 88-55,resolved,,,,,,,
UCF-R-198485-010,ucf,ucf_2024_25_media_guide_year_by_year,1984-1985,1985,1984-12-31,Southern Illinois*,Southern Illinois,southern-illinois,Yes,65,76,L,0,,,,SOURCE_PROGRAM_HOME,Orange County Civic Center,Orange County Civic Center,Orlando,FL,,,REGULAR_SEASON,,UCF.pdf PDF p.10 / media-guide p.96; extracted line 1071,D31 Southern Illinois* L 76-65,resolved,,,,,,,
UCF-R-198485-011,ucf,ucf_2024_25_media_guide_year_by_year,1984-1985,1985,1985-01-02,Eastern Illinois*,Eastern Illinois,eastern-illinois,Yes,79,97,L,0,,,,SOURCE_PROGRAM_HOME,Orange County Civic Center,Orange County Civic Center,Orlando,FL,,,REGULAR_SEASON,,UCF.pdf PDF p.10 / media-guide p.96; extracted line 1072,J2 Eastern Illinois* L 97-79,resolved,,,,,,,
UCF-R-198485-012,ucf,ucf_2024_25_media_guide_year_by_year,1984-1985,1985,1985-01-05,Western Illinois*,Western Illinois,western-illinois,Yes,58,55,W,0,,,,SOURCE_PROGRAM_HOME,Orange County Civic Center,Orange County Civic Center,Orlando,FL,,,REGULAR_SEASON,,UCF.pdf PDF p.10 / media-guide p.96; extracted line 1073,J5 Western Illinois* W 58-55,resolved,,,,,,,
UCF-R-198485-013,ucf,ucf_2024_25_media_guide_year_by_year,1984-1985,1985,1985-01-07,Brown*,Brown,brown,Yes,51,50,W,0,,,,SOURCE_PROGRAM_HOME,Orange County Civic Center,Orange County Civic Center,Orlando,FL,,,REGULAR_SEASON,,UCF.pdf PDF p.10 / media-guide p.96; extracted line 1074,J7 Brown* W 51-50,resolved,,,,,,,
UCF-R-198485-014,ucf,ucf_2024_25_media_guide_year_by_year,1984-1985,1985,1985-01-09,Maryland-Eastern Shore,UMES,maryland-eastern-shore,Yes,70,58,W,0,,,,SOURCE_PROGRAM_HOME,Education Gym,Education Gym,Orlando,FL,,,REGULAR_SEASON,,UCF.pdf PDF p.10 / media-guide p.96; extracted line 1075,J9 Maryland-Eastern Shore W 70-58,resolved,,,,,,,
UCF-R-198485-015,ucf,ucf_2024_25_media_guide_year_by_year,1984-1985,1985,1985-01-14,Jacksonville,Jacksonville,jacksonville,Yes,49,64,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,UCF.pdf PDF p.10 / media-guide p.96; extracted line 1076,J14 at Jacksonville L 64-49,resolved,,,,,,,
UCF-R-198485-016,ucf,ucf_2024_25_media_guide_year_by_year,1984-1985,1985,1985-01-17,Florida A&M,Florida A&M,florida-a-m,Yes,70,63,W,0,,,,SOURCE_PROGRAM_HOME,Education Gym,Education Gym,Orlando,FL,,,REGULAR_SEASON,,UCF.pdf PDF p.10 / media-guide p.96; extracted line 1077,J17 Florida A&M W 70-63,resolved,,,,,,,
UCF-R-198485-017,ucf,ucf_2024_25_media_guide_year_by_year,1984-1985,1985,1985-01-21,Baptist,Charleston Southern,charleston-southern,Yes,67,69,L,1,,,,SOURCE_PROGRAM_HOME,Education Gym,Education Gym,Orlando,FL,,,REGULAR_SEASON,,UCF.pdf PDF p.10 / media-guide p.96; extracted line 1078,J21 Baptist L 69-67 (ot),resolved,,,,,,,
UCF-R-198485-018,ucf,ucf_2024_25_media_guide_year_by_year,1984-1985,1985,1985-01-26,Nicholls State,Nicholls,nicholls,Yes,71,70,W,0,,,,SOURCE_PROGRAM_HOME,Education Gym,Education Gym,Orlando,FL,,,REGULAR_SEASON,,UCF.pdf PDF p.10 / media-guide p.96; extracted line 1079,J26 Nicholls State W 71-70,resolved,,,,,,,
UCF-R-198485-019,ucf,ucf_2024_25_media_guide_year_by_year,1984-1985,1985,1985-01-30,Tennessee Tech,Tennessee Tech,tennessee-tech,Yes,55,70,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,UCF.pdf PDF p.10 / media-guide p.96; extracted line 1080,J30 at Tennessee Tech L 70-55,resolved,,,,,,,
UCF-R-198485-020,ucf,ucf_2024_25_media_guide_year_by_year,1984-1985,1985,1985-01-31,Akron,Akron,akron,Yes,60,61,L,1,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,UCF.pdf PDF p.10 / media-guide p.96; extracted line 1081,J31 at Akron L 61-60 (ot),resolved,,,,,,,
UCF-R-198485-021,ucf,ucf_2024_25_media_guide_year_by_year,1984-1985,1985,1985-02-06,Bethune-Cookman,Bethune-Cookman,bethune-cookman,Yes,70,71,L,0,,,,SOURCE_PROGRAM_HOME,Education Gym,Education Gym,Orlando,FL,,,REGULAR_SEASON,,UCF.pdf PDF p.10 / media-guide p.96; extracted line 1082,F6 Bethune-Cookman L 71-70,resolved,,,,,,,
UCF-R-198485-022,ucf,ucf_2024_25_media_guide_year_by_year,1984-1985,1985,1985-02-09,Campbell,Campbell,campbell,Yes,69,59,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,UCF.pdf PDF p.10 / media-guide p.96; extracted line 1083,F9 at Campbell W 69-59,resolved,,,,,,,
UCF-R-198485-023,ucf,ucf_2024_25_media_guide_year_by_year,1984-1985,1985,1985-02-11,Baptist,Charleston Southern,charleston-southern,Yes,55,51,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,UCF.pdf PDF p.10 / media-guide p.96; extracted line 1084,F11 at Baptist W 55-51,resolved,,,,,,,
