index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
0,ucla,20th Century-Fox,20th-century-fox,20th Century-Fox,No,13,1939-1940,1948-1949,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,Owner approved complete NON_D1 sanity scan on 2026-09-02.
1,ucla,Abilene Christian,abilene-christian,Abilene Christian,Yes,1,2020-2021,2020-2021,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
2,ucla,Air Force,air-force,Air Force,Yes,2,1959-1960,1960-1961,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
3,ucla,Akron,akron,Akron,Yes,1,2021-2022,2021-2022,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
4,ucla,Alabama,alabama,Alabama,Yes,6,1982-1983,2020-2021,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
5,ucla,Alaska Anchorage,alaska-anchorage,Alaska Anchorage,No,2,1990-1991,1997-1998,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,Owner approved complete NON_D1 sanity scan on 2026-09-02.
6,ucla,Albany,ualbany,UAlbany,Yes,1,2005-2006,2005-2006,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
7,ucla,American,american-university,American University,Yes,2,1989-1990,1998-1999,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
8,ucla,Arizona,arizona,Arizona,Yes,115,1922-1923,2025-2026,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
9,ucla,Arizona State,arizona-state,Arizona State,Yes,101,1949-1950,2025-2026,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
10,ucla,Arkansas,arkansas,Arkansas,Yes,3,1973-1974,1994-1995,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
11,ucla,Army,army,Army,Yes,1,1961-1962,1961-1962,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
12,ucla,Ball State,ball-state,Ball State,Yes,2,1999-2000,2001-2002,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
13,ucla,Bank of America,bank-of-america,Bank of America,No,3,1939-1940,1940-1941,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,Owner approved complete NON_D1 sanity scan on 2026-09-02.
14,ucla,Baxter Club Glendale,baxter-club-glendale,Baxter Club Glendale,No,1,1935-1936,1935-1936,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,Owner approved complete NON_D1 sanity scan on 2026-09-02.
15,ucla,Baylor,baylor,Baylor,Yes,5,1947-1948,2022-2023,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
16,ucla,Bellarmine,bellarmine,Bellarmine,Yes,2,2021-2022,2022-2023,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
17,ucla,Belmont,belmont,Belmont,Yes,2,2005-2006,2018-2019,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
18,ucla,Boise State,boise-state,Boise State,Yes,2,1978-1979,1997-1998,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
19,ucla,Boston College,boston-college,Boston College,Yes,4,1964-1965,2004-2005,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
20,ucla,Boston University,boston-university,Boston University,Yes,3,1981-1982,2024-2025,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
21,ucla,Bradley,bradley,Bradley,Yes,11,1940-1941,1972-1973,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
22,ucla,Butler,butler,Butler,Yes,6,1956-1957,2009-2010,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
23,ucla,BYU,byu,BYU,Yes,25,1929-1930,2020-2021,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
24,ucla,Cal Poly,cal-poly,Cal Poly,Yes,8,1948-1949,2025-2026,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
25,ucla,Cal State Bakersfield,cal-state-bakersfield,Cal State Bakersfield,Yes,1,2009-2010,2009-2010,RESOLVED,UCLA official source-label normalization; current-D1 aliases reconciled to protected-main program identities; historical/non-current identities retained conservatively.,,
