index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,site_research_status,site_research_basis,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
0,UCLARAW-00001,ucla,2025-26_ucla_media_guide_year_by_year,1919-1920,1920,1919-12-12,Manual Arts HS,Manual Arts High School,manual-arts-high-school,No,46,38,W,0,,,H,SOURCE_PROGRAM_HOME,Physical Education Building,Physical Education Building,Los Angeles,CA,,,REGULAR_SEASON,,UCLA 2025-26 Media Guide PDF p. 184,Manual Arts HS 46-38 W,resolved,Exact date/site recovered from season-specific historical reconstruction using UCLA year-by-year records plus cited contemporary/reciprocal evidence; UCLA source opponent/score/result preserved.,,,,,,
1,UCLARAW-00002,ucla,2025-26_ucla_media_guide_year_by_year,1919-1920,1920,1919-12-19,Hollywood HS,Hollywood High School,hollywood-high-school,No,45,21,W,0,,,H,SOURCE_PROGRAM_HOME,Physical Education Building,Physical Education Building,Los Angeles,CA,,,REGULAR_SEASON,,UCLA 2025-26 Media Guide PDF p. 184,Hollywood HS 45-21 W,resolved,Exact date/site recovered from season-specific historical reconstruction using UCLA year-by-year records plus cited contemporary/reciprocal evidence; UCLA source opponent/score/result preserved.,,,,,,
2,UCLARAW-00003,ucla,2025-26_ucla_media_guide_year_by_year,1919-1920,1920,1920-01-05,Los Angeles Poly HS,Los Angeles Polytechnic High School,los-angeles-polytechnic-high-school,No,26,22,W,0,,,H,SOURCE_PROGRAM_HOME,Physical Education Building,Physical Education Building,Los Angeles,CA,,,REGULAR_SEASON,,UCLA 2025-26 Media Guide PDF p. 184,Los Angeles Poly HS 26-22 W,resolved,Exact date/site recovered from season-specific historical reconstruction using UCLA year-by-year records plus cited contemporary/reciprocal evidence; UCLA source opponent/score/result preserved.,,,,,,
3,UCLARAW-00004,ucla,2025-26_ucla_media_guide_year_by_year,1919-1920,1920,1920-01-09,Los Angeles Poly HS,Los Angeles Polytechnic High School,los-angeles-polytechnic-high-school,No,21,12,W,0,,,A,OPPONENT_HOME,Los Angeles Polytechnic High School Gymnasium,Los Angeles Polytechnic High School Gymnasium,Los Angeles,CA,,,REGULAR_SEASON,,UCLA 2025-26 Media Guide PDF p. 184,Los Angeles Poly HS 21-12 W,resolved,Exact date/site recovered from season-specific historical reconstruction using UCLA year-by-year records plus cited contemporary/reciprocal evidence; UCLA source opponent/score/result preserved.,,,,,,
4,UCLARAW-00005,ucla,2025-26_ucla_media_guide_year_by_year,1919-1920,1920,1920-01-14,Redlands,Redlands,redlands,No,21,34,L,0,,,A,OPPONENT_HOME,,,Redlands,CA,,,REGULAR_SEASON,,UCLA 2025-26 Media Guide PDF p. 184,Redlands 21-34 L,resolved,Exact date/site recovered from season-specific historical reconstruction using UCLA year-by-year records plus cited contemporary/reciprocal evidence; UCLA source opponent/score/result preserved.,,,,,,
5,UCLARAW-00006,ucla,2025-26_ucla_media_guide_year_by_year,1919-1920,1920,1920-01-16,Occidental,Occidental,occidental,No,41,29,W,0,,,A,OPPONENT_HOME,Glendale High School Gymnasium,Glendale High School Gymnasium,Glendale,CA,,,REGULAR_SEASON,,UCLA 2025-26 Media Guide PDF p. 184,Occidental 41-29 W,resolved,Exact date/site recovered from season-specific historical reconstruction using UCLA year-by-year records plus cited contemporary/reciprocal evidence; UCLA source opponent/score/result preserved.,,,,,,
6,UCLARAW-00007,ucla,2025-26_ucla_media_guide_year_by_year,1919-1920,1920,1920-01-20,Pomona,Pomona,pomona,No,44,29,W,0,,,H,SOURCE_PROGRAM_HOME,Physical Education Building,Physical Education Building,Los Angeles,CA,,,REGULAR_SEASON,,UCLA 2025-26 Media Guide PDF p. 184,Pomona 44-29 W,resolved,Exact date/site recovered from season-specific historical reconstruction using UCLA year-by-year records plus cited contemporary/reciprocal evidence; UCLA source opponent/score/result preserved.,,,,,,
7,UCLARAW-00008,ucla,2025-26_ucla_media_guide_year_by_year,1919-1920,1920,1920-01-24,Whittier,Whittier,whittier,No,33,23,W,0,,,A,OPPONENT_HOME,,,Whittier,CA,,,REGULAR_SEASON,,UCLA 2025-26 Media Guide PDF p. 184,Whittier 33-23 W,resolved,Exact date/site recovered from season-specific historical reconstruction using UCLA year-by-year records plus cited contemporary/reciprocal evidence; UCLA source opponent/score/result preserved.,,,,,,
8,UCLARAW-00009,ucla,2025-26_ucla_media_guide_year_by_year,1919-1920,1920,1920-01-27,Throop,Caltech,caltech,No,36,25,W,0,,,H,SOURCE_PROGRAM_HOME,Physical Education Building,Physical Education Building,Los Angeles,CA,,,REGULAR_SEASON,,UCLA 2025-26 Media Guide PDF p. 184,Throop 36-25 W,resolved,Exact date/site recovered from season-specific historical reconstruction using UCLA year-by-year records plus cited contemporary/reciprocal evidence; UCLA source opponent/score/result preserved.,,,,,,
9,UCLARAW-00010,ucla,2025-26_ucla_media_guide_year_by_year,1919-1920,1920,1920-01-30,Occidental,Occidental,occidental,No,43,30,W,0,,,H,SOURCE_PROGRAM_HOME,Physical Education Building,Physical Education Building,Los Angeles,CA,,,REGULAR_SEASON,,UCLA 2025-26 Media Guide PDF p. 184,Occidental 43-30 W,resolved,Exact date/site recovered from season-specific historical reconstruction using UCLA year-by-year records plus cited contemporary/reciprocal evidence; UCLA source opponent/score/result preserved.,,,,,,
