index,source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
0,ucla,arco-arena,VEN-000013,ARCO Arena,,Sacramento,CA,arena,,,unknown,2,2007-03-15,2007-03-17,,,,,,UCLA 2025-26 Media Guide year-by-year/footnote evidence; UCLA facility history; owner-authorized conference-tournament site reference for UCLA scope; NCAA official site evidence; institutional reciprocal/archival research as documented.,Research-lane physical identity. Numeric venue_id intentionally blank; Implementation must rebase against current main and reuse/allocate authoritative global physical identity. Integration rebase resolved final global venue ID VEN-000013.
1,ucla,ahearn-field-house,VEN-000001,Ahearn Field House,,Manhattan,KS,arena,,,unknown,1,1963-12-14,1963-12-14,,,,,,UCLA 2025-26 Media Guide year-by-year/footnote evidence; UCLA facility history; owner-authorized conference-tournament site reference for UCLA scope; NCAA official site evidence; institutional reciprocal/archival research as documented.,Research-lane physical identity. Numeric venue_id intentionally blank; Implementation must rebase against current main and reuse/allocate authoritative global physical identity. Integration rebase resolved final global venue ID VEN-000001.
2,ucla,alamodome,VEN-000002,Alamodome,,San Antonio,TX,arena,,,unknown,3,1997-03-20,2008-04-05,,,,,,UCLA 2025-26 Media Guide year-by-year/footnote evidence; UCLA facility history; owner-authorized conference-tournament site reference for UCLA scope; NCAA official site evidence; institutional reciprocal/archival research as documented.,Research-lane physical identity. Numeric venue_id intentionally blank; Implementation must rebase against current main and reuse/allocate authoritative global physical identity. Integration rebase resolved final global venue ID VEN-000002.
3,ucla,hec-edmundson-pavilion,VEN-000078,Alaska Airlines Arena,,Seattle,WA,arena,,,unknown,1,2025-12-03,2025-12-03,,,,,,UCLA 2025-26 Media Guide year-by-year/footnote evidence; UCLA facility history; owner-authorized conference-tournament site reference for UCLA scope; NCAA official site evidence; institutional reciprocal/archival research as documented.,Research-lane physical identity. Numeric venue_id intentionally blank; Implementation must rebase against current main and reuse/allocate authoritative global physical identity. Integration current-main physical-identity rebase: alaska-airlines-arena -> hec-edmundson-pavilion. Integration rebase resolved final global venue ID VEN-000078.
4,ucla,allen-fieldhouse,VEN-000003,Allen Fieldhouse,,Lawrence,KS,arena,,,unknown,1,1963-12-13,1963-12-13,,,,,,UCLA 2025-26 Media Guide year-by-year/footnote evidence; UCLA facility history; owner-authorized conference-tournament site reference for UCLA scope; NCAA official site evidence; institutional reciprocal/archival research as documented.,Research-lane physical identity. Numeric venue_id intentionally blank; Implementation must rebase against current main and reuse/allocate authoritative global physical identity. Integration rebase resolved final global venue ID VEN-000003.
5,ucla,anaheim-convention-center,VEN-000386,Anaheim Convention Center,,Anaheim,CA,arena,,,unknown,3,2009-11-26,2009-11-29,,,,,,UCLA 2025-26 Media Guide year-by-year/footnote evidence; UCLA facility history; owner-authorized conference-tournament site reference for UCLA scope; NCAA official site evidence; institutional reciprocal/archival research as documented.,Research-lane physical identity. Numeric venue_id intentionally blank; Implementation must rebase against current main and reuse/allocate authoritative global physical identity. Integration rebase resolved final global venue ID VEN-000386.
6,ucla,extramile-arena,VEN-000061,BSU Pavilion,,Boise,ID,arena,,,unknown,3,1983-03-19,1995-03-19,,,,,,UCLA 2025-26 Media Guide year-by-year/footnote evidence; UCLA facility history; owner-authorized conference-tournament site reference for UCLA scope; NCAA official site evidence; institutional reciprocal/archival research as documented.,Research-lane physical identity. Numeric venue_id intentionally blank; Implementation must rebase against current main and reuse/allocate authoritative global physical identity. Integration current-main physical-identity rebase: bsu-pavilion -> extramile-arena. Integration rebase resolved final global venue ID VEN-000061.
7,ucla,bakersfield-college-gymnasium,VEN-000387,Bakersfield College Gymnasium,,Bakersfield,CA,arena,,,unknown,2,1956-12-08,1958-01-31,,,,,,UCLA 2025-26 Media Guide year-by-year/footnote evidence; UCLA facility history; owner-authorized conference-tournament site reference for UCLA scope; NCAA official site evidence; institutional reciprocal/archival research as documented.,Research-lane physical identity. Numeric venue_id intentionally blank; Implementation must rebase against current main and reuse/allocate authoritative global physical identity. Integration rebase resolved final global venue ID VEN-000387.
8,ucla,gainbridge-fieldhouse,VEN-000070,Bankers Life Fieldhouse,,Indianapolis,IN,arena,,,unknown,1,2021-03-22,2021-03-22,,,,,,UCLA 2025-26 Media Guide year-by-year/footnote evidence; UCLA facility history; owner-authorized conference-tournament site reference for UCLA scope; NCAA official site evidence; institutional reciprocal/archival research as documented.,Research-lane physical identity. Numeric venue_id intentionally blank; Implementation must rebase against current main and reuse/allocate authoritative global physical identity. Integration current-main physical-identity rebase: bankers-life-fieldhouse -> gainbridge-fieldhouse. Integration rebase resolved final global venue ID VEN-000070.
9,ucla,baoshan-arena,VEN-000388,Baoshan Arena,,Shanghai,China,arena,,,unknown,1,2017-11-11,2017-11-11,,,,,,UCLA 2025-26 Media Guide year-by-year/footnote evidence; UCLA facility history; owner-authorized conference-tournament site reference for UCLA scope; NCAA official site evidence; institutional reciprocal/archival research as documented.,Research-lane physical identity. Numeric venue_id intentionally blank; Implementation must rebase against current main and reuse/allocate authoritative global physical identity. Integration rebase resolved final global venue ID VEN-000388.
