index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
0,usc,20th Century Fox,20th-century-fox,20th Century Fox,,2,1943-1944,1944-1945,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
1,usc,Air Force Academy,air-force,Air Force Academy,,1,1960-1961,1960-1961,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
2,usc,Akron,akron,Akron,,2,2014-2015,2017-2018,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
3,usc,Alabama,alabama,Alabama,,4,1970-1971,1987-1988,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
4,usc,Alabama State,alabama-state,Alabama State,,2,2022-2023,2023-2024,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
5,usc,Alaska-Anchorage,alaska-anchorage,Alaska-Anchorage,,1,2005-2006,2005-2006,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
6,usc,Alcorn State,alcorn-state,Alcorn State,,1,2005-2006,2005-2006,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
7,usc,Alhambra,alhambra,Alhambra,,2,1916-1917,1916-1917,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
8,usc,Alhambra Elks,alhambra-elks,Alhambra Elks,,2,1919-1920,1920-1921,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
9,usc,American,american-university,American University,,2,1983-1984,1998-1999,RESOLVED,CURRENT_MAIN_IDENTITY_REBASE,,Implementation current-main rebase: american -> american-university (current-d1-key-rebase); source label/raw evidence preserved.
10,usc,Arizona,arizona,Arizona,,123,1921-1922,2023-2024,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
11,usc,Arizona State,arizona-state,Arizona State,,109,1928-1929,2025-2026,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
12,usc,Arkansas,arkansas,Arkansas,,3,1966-1967,2006-2007,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
13,usc,Arkansas State,arkansas-state,Arkansas State,,1,1998-1999,1998-1999,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
14,usc,Arkansas-Little Rock,little-rock,Arkansas-Little Rock,,2,1984-1985,1988-1989,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
15,usc,Army,army,Army,,1,2014-2015,2014-2015,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
16,usc,Auburn,auburn,Auburn,,4,1972-1973,2023-2024,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
17,usc,Augusta,augusta,Augusta,,1,1990-1991,1990-1991,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
18,usc,Azusa AC,azusa-ac,Azusa AC,,1,1915-1916,1915-1916,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
19,usc,Bank of America,bank-of-america,Bank of America,,3,1938-1939,1940-1941,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
20,usc,Baptist College,charleston-southern,Charleston Southern,,1,1985-1986,1985-1986,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
21,usc,Baylor,baylor,Baylor,,3,1955-1956,2016-2017,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
22,usc,Bethune-Cookman,bethune-cookman,Bethune-Cookman,,1,2006-2007,2006-2007,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
23,usc,Beverly Hills Town Team,beverly-hills-town-team,Beverly Hills Town Team,,1,1940-1941,1940-1941,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
24,usc,Birmingham Army Hosp,birmingham-army-hosp,Birmingham Army Hosp,,2,1944-1945,1944-1945,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
25,usc,Boise State,boise-state,Boise State,,1,2025-2026,2025-2026,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
26,usc,Boston College,boston-college,Boston College,,4,2000-2001,2014-2015,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
27,usc,Boston University,boston-university,Boston University,,2,1984-1985,1987-1988,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
28,usc,Bradley,bradley,Bradley,,8,1946-1947,2010-2011,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
29,usc,Brigham Young,byu,BYU,,5,1933-1934,1970-1971,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
30,usc,Brooklyn,brooklyn-college,Brooklyn College,,1,1990-1991,1990-1991,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
31,usc,Brown,brown,Brown,,1,2023-2024,2023-2024,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
32,usc,Butler,butler,Butler,,4,1931-1932,1965-1966,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
33,usc,BYU,byu,BYU,,7,2000-2001,2022-2023,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
34,usc,BYU-Hawaii,byu-hawaii,BYU-Hawaii,,1,2000-2001,2000-2001,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
35,usc,Cal,california,California,,1,2024-2025,2024-2025,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
36,usc,Cal Baptist,california-baptist,Cal Baptist,,1,2020-2021,2020-2021,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
37,usc,Cal Poly,cal-poly,Cal Poly,,5,2003-2004,2025-2026,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
38,usc,Cal State Bakersfield,cal-state-bakersfield,Cal State Bakersfield,,1,2023-2024,2023-2024,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
39,usc,Cal State Fullerton,cal-state-fullerton,Cal State Fullerton,,3,2002-2003,2017-2018,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
40,usc,CaL State Fullerton,cal-state-fullerton,Cal State Fullerton,,1,2014-2015,2014-2015,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
41,usc,Cal State Northrdge,cal-state-northridge,Cal State Northridge,,1,2000-2001,2000-2001,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,Implementation current-main display normalization: Cal State Northrdge -> Cal State Northridge; key unchanged.
42,usc,Cal Tech,caltech,Cal Tech,,12,1920-1921,1945-1946,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
43,usc,California,california,California,,270,1916-1917,2023-2024,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
44,usc,California Bank,california-bank,California Bank,,1,1923-1924,1923-1924,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
45,usc,Camp Ross,camp-ross,Camp Ross,,2,1944-1945,1945-1946,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
46,usc,Camp Santa Anita,camp-santa-anita,Camp Santa Anita,,1,1943-1944,1943-1944,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
47,usc,Canisius,canisius,Canisius,,4,1941-1942,1949-1950,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
48,usc,Carroll Shamrocks,carroll-shamrocks,Carroll Shamrocks,,3,1944-1945,1946-1947,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
49,usc,Central Connecticut St,central-connecticut,Central Connecticut,,1,1989-1990,1989-1990,RESOLVED,CURRENT_MAIN_IDENTITY_REBASE,,Implementation current-main rebase: central-connecticut-st -> central-connecticut (current-d1-key-rebase); source label/raw evidence preserved.
50,usc,Charleston Southern,charleston-southern,Charleston Southern,,1,2006-2007,2006-2007,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
51,usc,Chattanooga,chattanooga,Chattanooga,,2,2008-2009,2024-2025,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
52,usc,Chicago State,chicago-state,Chicago State,,1,1990-1991,1990-1991,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
53,usc,China Basketball Team,china-basketball-team,China Basketball Team,,1,1928-1929,1928-1929,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
54,usc,Cincinnati,cincinnati,Cincinnati,,6,1965-1966,1996-1997,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
55,usc,Citzens Print Shop,citzens-print-shop,Citzens Print Shop,,1,1926-1927,1926-1927,RESOLVED,USC official source label normalized conservatively; current-D1 aliases standardized where independently clear; historical/non-current identities retained as stable research keys.,,
