source_game_id,source_program_key,season_label,game_date,source_opponent_label,normalized_opponent_key,normalized_opponent_name,team_score,opponent_score,played_result,overtime_periods,curated_site_type,curated_venue_name,city,state,curated_game_type,curated_postseason_round,event_or_tournament,administrative_status,site_research_status,site_research_basis,raw_text,source_page,source_series_event_note
USCRAW-00001,usc,1906-1907,,Polytechnic High,polytechnic-high,Polytechnic High,36,13,W,0,UNKNOWN,,,,REGULAR_SEASON,,,,RESEARCHED_UNRESOLVED,USC official year-by-year ledger and all-time opponent series were cross-checked; reciprocal/institutional evidence was reviewed where available. Remaining H/A/N cannot be established safely without inventing precision.,Polytechnic High............................... 36-13,89,
USCRAW-00002,usc,1906-1907,,Occidental,occidental,Occidental,18,15,W,0,UNKNOWN,,,,REGULAR_SEASON,,,,RESEARCHED_UNRESOLVED,USC official year-by-year ledger and all-time opponent series were cross-checked; reciprocal/institutional evidence was reviewed where available. Remaining H/A/N cannot be established safely without inventing precision.,Occidental......................................... 18-15,89,
USCRAW-00003,usc,1906-1907,,St. Vincent's,loyola-marymount,Loyola Marymount,16,18,L,0,UNKNOWN,,,,REGULAR_SEASON,,,,RESEARCHED_UNRESOLVED,USC official year-by-year ledger and all-time opponent series were cross-checked; reciprocal/institutional evidence was reviewed where available. Remaining H/A/N cannot be established safely without inventing precision.,St. Vincent's...................................... 16-18,89,
USCRAW-00004,usc,1906-1907,,Occidental,occidental,Occidental,26,15,W,0,UNKNOWN,,,,REGULAR_SEASON,,,,RESEARCHED_UNRESOLVED,USC official year-by-year ledger and all-time opponent series were cross-checked; reciprocal/institutional evidence was reviewed where available. Remaining H/A/N cannot be established safely without inventing precision.,Occidental......................................... 26-15,89,
USCRAW-00005,usc,1906-1907,,St. Vincent's,loyola-marymount,Loyola Marymount,11,24,L,0,UNKNOWN,,,,REGULAR_SEASON,,,,RESEARCHED_UNRESOLVED,USC official year-by-year ledger and all-time opponent series were cross-checked; reciprocal/institutional evidence was reviewed where available. Remaining H/A/N cannot be established safely without inventing precision.,St. Vincent's...................................... 11-24,89,
USCRAW-00006,usc,1906-1907,,Normal School,normal-school,Normal School,,,W,0,UNKNOWN,,,,REGULAR_SEASON,,,,RESEARCHED_UNRESOLVED,USC official year-by-year ledger and all-time opponent series were cross-checked; reciprocal/institutional evidence was reviewed where available. Remaining H/A/N cannot be established safely without inventing precision.,Normal School........................... (no score),89,
USCRAW-00007,usc,1906-1907,,Huntington Beach High,huntington-beach-high,Huntington Beach High,9,34,L,0,UNKNOWN,,,,REGULAR_SEASON,,,,RESEARCHED_UNRESOLVED,USC official year-by-year ledger and all-time opponent series were cross-checked; reciprocal/institutional evidence was reviewed where available. Remaining H/A/N cannot be established safely without inventing precision.,Huntington Beach High....................... 9-34,89,
USCRAW-00008,usc,1906-1907,,Whittier,whittier,Whittier,10,43,L,0,UNKNOWN,,,,REGULAR_SEASON,,,,RESEARCHED_UNRESOLVED,USC official year-by-year ledger and all-time opponent series were cross-checked; reciprocal/institutional evidence was reviewed where available. Remaining H/A/N cannot be established safely without inventing precision.,Whittier.............................................. 10-43,89,
USCRAW-00009,usc,1906-1907,,Whittier,whittier,Whittier,18,40,L,0,UNKNOWN,,,,REGULAR_SEASON,,,,RESEARCHED_UNRESOLVED,USC official year-by-year ledger and all-time opponent series were cross-checked; reciprocal/institutional evidence was reviewed where available. Remaining H/A/N cannot be established safely without inventing precision.,Whittier.............................................. 18-40,89,
USCRAW-00010,usc,1906-1907,,Pomona,pomona,Pomona,24,17,W,0,UNKNOWN,,,,REGULAR_SEASON,,,,RESEARCHED_UNRESOLVED,USC official year-by-year ledger and all-time opponent series were cross-checked; reciprocal/institutional evidence was reviewed where available. Remaining H/A/N cannot be established safely without inventing precision.,Pomona............................................. 24-17,89,
USCRAW-00011,usc,1906-1907,,Pomona,pomona,Pomona,15,10,W,0,UNKNOWN,,,,REGULAR_SEASON,,,,RESEARCHED_UNRESOLVED,USC official year-by-year ledger and all-time opponent series were cross-checked; reciprocal/institutional evidence was reviewed where available. Remaining H/A/N cannot be established safely without inventing precision.,Pomona............................................. 15-10,89,
USCRAW-00012,usc,1907-1908,,Whittier,whittier,Whittier,24,17,W,0,UNKNOWN,,,,REGULAR_SEASON,,,,RESEARCHED_UNRESOLVED,USC official year-by-year ledger and all-time opponent series were cross-checked; reciprocal/institutional evidence was reviewed where available. Remaining H/A/N cannot be established safely without inventing precision.,Whittier.............................................. 24-17,89,
USCRAW-00013,usc,1907-1908,,Whittier,whittier,Whittier,17,46,L,0,UNKNOWN,,,,REGULAR_SEASON,,,,RESEARCHED_UNRESOLVED,USC official year-by-year ledger and all-time opponent series were cross-checked; reciprocal/institutional evidence was reviewed where available. Remaining H/A/N cannot be established safely without inventing precision.,Whittier.............................................. 17-46,89,
USCRAW-00014,usc,1907-1908,,Whittier,whittier,Whittier,21,32,L,0,UNKNOWN,,,,REGULAR_SEASON,,,,RESEARCHED_UNRESOLVED,USC official year-by-year ledger and all-time opponent series were cross-checked; reciprocal/institutional evidence was reviewed where available. Remaining H/A/N cannot be established safely without inventing precision.,Whittier.............................................. 21-32,89,
USCRAW-00015,usc,1907-1908,,Orange High,orange-high,Orange High,47,15,W,0,UNKNOWN,,,,REGULAR_SEASON,,,,RESEARCHED_UNRESOLVED,USC official year-by-year ledger and all-time opponent series were cross-checked; reciprocal/institutional evidence was reviewed where available. Remaining H/A/N cannot be established safely without inventing precision.,Orange High...................................... 47-15,89,
USCRAW-00016,usc,1907-1908,,Huntington Beach High,huntington-beach-high,Huntington Beach High,36,4,W,0,UNKNOWN,,,,REGULAR_SEASON,,,,RESEARCHED_UNRESOLVED,USC official year-by-year ledger and all-time opponent series were cross-checked; reciprocal/institutional evidence was reviewed where available. Remaining H/A/N cannot be established safely without inventing precision.,Huntington Beach High....................... 36-4,89,
USCRAW-00017,usc,1907-1908,,Polytechnic High,polytechnic-high,Polytechnic High,18,19,L,0,UNKNOWN,,,,REGULAR_SEASON,,,,RESEARCHED_UNRESOLVED,USC official year-by-year ledger and all-time opponent series were cross-checked; reciprocal/institutional evidence was reviewed where available. Remaining H/A/N cannot be established safely without inventing precision.,Polytechnic High............................... 18-19,89,
USCRAW-00018,usc,1908-1909,,Los Angeles High,los-angeles-high,Los Angeles High,35,19,W,0,UNKNOWN,,,,REGULAR_SEASON,,,,RESEARCHED_UNRESOLVED,USC official year-by-year ledger and all-time opponent series were cross-checked; reciprocal/institutional evidence was reviewed where available. Remaining H/A/N cannot be established safely without inventing precision.,Los Angeles High.............................. 35-19,89,
