index,source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,opened,closed,date_precision,games_using_venue,first_game_date,last_game_date,source_basis,notes
0,usc,crisler-center,VEN-000261,Crisler Center,,Ann Arbor,MI,arena,,,,1,2026-01-02,2026-01-02,USC official schedule/record book; owner-authorized USC-relevant conference-tournament workbook where applicable; targeted NCAA/postseason institutional research.,Research-time physical identity; numeric global ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000261.
1,usc,met-center,VEN-000372,Met Center,,Bloomington,MN,arena,,,,1,1993-03-24,1993-03-24,USC official schedule/record book; owner-authorized USC-relevant conference-tournament workbook where applicable; targeted NCAA/postseason institutional research.,Research-time physical identity; numeric global ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000372.
2,usc,charlotte-coliseum-1988,VEN-000041,Charlotte Coliseum,Charlotte Coliseum (1988),Charlotte,NC,arena,,,,1,1997-03-14,1997-03-14,USC official schedule/record book; owner-authorized USC-relevant conference-tournament workbook where applicable; targeted NCAA/postseason institutional research.,Research-time physical identity; numeric global ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000041.
3,usc,united-center,VEN-000217,United Center,,Chicago,IL,arena,,,,1,2026-03-11,2026-03-11,USC official schedule/record book; owner-authorized USC-relevant conference-tournament workbook where applicable; targeted NCAA/postseason institutional research.,Research-time physical identity; numeric global ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000217.
4,usc,nationwide-arena,VEN-000148,Nationwide Arena,,Columbus,OH,arena,,,,1,2023-03-17,2023-03-17,USC official schedule/record book; owner-authorized USC-relevant conference-tournament workbook where applicable; targeted NCAA/postseason institutional research.,Research-time physical identity; numeric global ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000148.
5,usc,value-city-arena,VEN-000225,Value City Arena,Schottenstein Center,Columbus,OH,arena,,,,1,2026-02-11,2026-02-11,USC official schedule/record book; owner-authorized USC-relevant conference-tournament workbook where applicable; targeted NCAA/postseason institutional research.,Research-time physical identity; numeric global ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000225.
6,usc,gill-coliseum,VEN-000373,Gill Coliseum,,Corvallis,OR,arena,,,,2,1954-03-12,1954-03-13,USC official schedule/record book; owner-authorized USC-relevant conference-tournament workbook where applicable; targeted NCAA/postseason institutional research.,Research-time physical identity; numeric global ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000373.
7,usc,university-of-dayton-arena,VEN-000221,University of Dayton Arena,UD Arena,Dayton,OH,arena,,,,2,2011-03-16,2017-03-15,USC official schedule/record book; owner-authorized USC-relevant conference-tournament workbook where applicable; targeted NCAA/postseason institutional research.,Research-time physical identity; numeric global ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000221.
8,usc,breslin-center,VEN-000029,Breslin Center,,East Lansing,MI,arena,,,,1,2026-01-05,2026-01-05,USC official schedule/record book; owner-authorized USC-relevant conference-tournament workbook where applicable; targeted NCAA/postseason institutional research.,Research-time physical identity; numeric global ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000029.
9,usc,brendan-byrne-arena,VEN-000028,Brendan Byrne Arena,Continental Airlines Arena;Izod Center,East Rutherford,NJ,arena,,,,1,2007-03-23,2007-03-23,USC official schedule/record book; owner-authorized USC-relevant conference-tournament workbook where applicable; targeted NCAA/postseason institutional research.,Research-time physical identity; numeric global ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000028.
10,usc,matthew-knight-arena,VEN-000306,Matthew Knight Arena,Matt Knight Arena,Eugene,OR,arena,,,,1,2025-12-02,2025-12-02,USC official schedule/record book; owner-authorized USC-relevant conference-tournament workbook where applicable; targeted NCAA/postseason institutional research.,Research-time physical identity; numeric global ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000306.
11,usc,selland-arena,VEN-000374,Selland Arena,,Fresno,CA,arena,,,,1,1994-03-16,1994-03-16,USC official schedule/record book; owner-authorized USC-relevant conference-tournament workbook where applicable; targeted NCAA/postseason institutional research.,Research-time physical identity; numeric global ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000374.
12,usc,bon-secours-wellness-arena,VEN-000025,Bon Secours Wellness Arena,,Greenville,SC,arena,,,,1,2022-03-18,2022-03-18,USC official schedule/record book; owner-authorized USC-relevant conference-tournament workbook where applicable; targeted NCAA/postseason institutional research.,Research-time physical identity; numeric global ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000025.
13,usc,gainbridge-fieldhouse,VEN-000070,Gainbridge Fieldhouse,Conseco Fieldhouse;Bankers Life Fieldhouse,Indianapolis,IN,arena,,,,4,2021-03-20,2025-03-13,USC official schedule/record book; owner-authorized USC-relevant conference-tournament workbook where applicable; targeted NCAA/postseason institutional research.,Research-time physical identity; numeric global ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000070.
14,usc,hinkle-fieldhouse,VEN-000080,Hinkle Fieldhouse,,Indianapolis,IN,arena,,,,1,2021-03-22,2021-03-22,USC official schedule/record book; owner-authorized USC-relevant conference-tournament workbook where applicable; targeted NCAA/postseason institutional research.,Research-time physical identity; numeric global ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000080.
