index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
0,utah,18th Replacement Wing,18th-replacement-wing,18th Replacement Wing,No,1,1943-1944,1943-1944,RESOLVED,HISTORICAL_NON_D1_IDENTITY,,Utah official all-time series/defunct-opponent inventory preserves this distinct historical/non-D1 identity; no current-D1 registry match or forced merge applied. Representative raw labels: 18th Replacement Wing.
1,utah,A .S .T .P . Company B,a-s-t-p-company-b,A.S.T.P. Company B,No,1,1943-1944,1943-1944,RESOLVED,HISTORICAL_NON_D1_IDENTITY,,Utah official all-time series/defunct-opponent inventory preserves this distinct historical/non-D1 identity; no current-D1 registry match or forced merge applied. Representative raw labels: A .S .T .P . Company B.
2,utah,A .S .T .P . Company D,a-s-t-p-company-d,A.S.T.P. Company D,No,1,1943-1944,1943-1944,RESOLVED,HISTORICAL_NON_D1_IDENTITY,,Utah official all-time series/defunct-opponent inventory preserves this distinct historical/non-D1 identity; no current-D1 registry match or forced merge applied. Representative raw labels: A .S .T .P . Company D.
3,utah,A .S .T .P . ERC,a-s-t-p-erc,A.S.T.P. ERC,No,1,1943-1944,1943-1944,RESOLVED,HISTORICAL_NON_D1_IDENTITY,,Utah official all-time series/defunct-opponent inventory preserves this distinct historical/non-D1 identity; no current-D1 registry match or forced merge applied. Representative raw labels: A .S .T .P . ERC.
4,utah,Abilene Christian,abilene-christian,Abilene Christian,Yes,1,2021-2022,2021-2022,RESOLVED,CURRENT_D1_REGISTRY_MATCH,,Resolved to research-base current program registry key abilene-christian; literal Utah source label preserved. Representative raw labels: Abilene Christian.
5,utah,Adams State (Colo .),adams-state,Adams State,No,2,1994-1995,2005-2006,RESOLVED,HISTORICAL_NON_D1_IDENTITY,,Utah official all-time series/defunct-opponent inventory preserves this distinct historical/non-D1 identity; no current-D1 registry match or forced merge applied. Representative raw labels: Adams State (Colo .).
6,utah,Air Force,air-force,Air Force,Yes,63,1965-1966,2010-2011,RESOLVED,CURRENT_D1_REGISTRY_MATCH,,Resolved to research-base current program registry key air-force; literal Utah source label preserved. Representative raw labels: Air Force | Air Force* | [13] Air Force* | at Air Force* | at [17] Air Force* | vs . Air Force.
7,utah,Alabama,alabama,Alabama,Yes,4,1984-1985,2002-2003,RESOLVED,CURRENT_D1_REGISTRY_MATCH,,Resolved to research-base current program registry key alabama; literal Utah source label preserved. Representative raw labels: Alabama | [1] Alabama | at Alabama | at [22] Alabama.
8,utah,Alabama State,alabama-state,Alabama State,Yes,1,2014-2015,2014-2015,RESOLVED,CURRENT_D1_REGISTRY_MATCH,,Resolved to research-base current program registry key alabama-state; literal Utah source label preserved. Representative raw labels: Alabama State.
9,utah,Alaska - Anchorage,alaska-anchorage,Alaska Anchorage,No,1,1988-1989,1988-1989,RESOLVED,HISTORICAL_NON_D1_IDENTITY,,Utah official all-time series/defunct-opponent inventory preserves this distinct historical/non-D1 identity; no current-D1 registry match or forced merge applied. Representative raw labels: Alaska - Anchorage.
10,utah,Alaska - Fairbanks,alaska-fairbanks,Alaska Fairbanks,No,1,1991-1992,1991-1992,RESOLVED,HISTORICAL_NON_D1_IDENTITY,,Utah official all-time series/defunct-opponent inventory preserves this distinct historical/non-D1 identity; no current-D1 registry match or forced merge applied. Representative raw labels: Alaska - Fairbanks.
11,utah,Albany,ualbany,Albany,Yes,1,2006-2007,2006-2007,RESOLVED,CURRENT_D1_REGISTRY_MATCH,,Resolved to research-base current program registry key ualbany; literal Utah source label preserved. Representative raw labels: Albany.
12,utah,Alcorn State,alcorn-state,Alcorn State,Yes,1,2024-2025,2024-2025,RESOLVED,CURRENT_D1_REGISTRY_MATCH,,Resolved to research-base current program registry key alcorn-state; literal Utah source label preserved. Representative raw labels: Alcorn State.
13,utah,All-Stars,all-stars,All-Stars,No,1,1929-1930,1929-1930,RESOLVED,HISTORICAL_NON_D1_IDENTITY,,Utah official all-time series/defunct-opponent inventory preserves this distinct historical/non-D1 identity; no current-D1 registry match or forced merge applied. Representative raw labels: All-Stars.
14,utah,Alumni,alumni,Alumni,No,2,1919-1920,1931-1932,RESOLVED,HISTORICAL_NON_D1_IDENTITY,,Utah official all-time series/defunct-opponent inventory preserves this distinct historical/non-D1 identity; no current-D1 registry match or forced merge applied. Representative raw labels: Alumni.
15,utah,American,american-university,American,Yes,1,1967-1968,1967-1968,RESOLVED,CURRENT_D1_REGISTRY_MATCH,,Resolved to research-base current program registry key american-university; literal Utah source label preserved. Representative raw labels: American.
16,utah,American - Puerto Rico,american-puerto-rico,American-Puerto Rico,No,1,2000-2001,2000-2001,RESOLVED,HISTORICAL_NON_D1_IDENTITY,,Utah official all-time series/defunct-opponent inventory preserves this distinct historical/non-D1 identity; no current-D1 registry match or forced merge applied. Representative raw labels: at American - Puerto Rico.
17,utah,American Falls AC,american-falls-ac,American Falls AC,No,1,1912-1913,1912-1913,RESOLVED,HISTORICAL_NON_D1_IDENTITY,,Utah official all-time series/defunct-opponent inventory preserves this distinct historical/non-D1 identity; no current-D1 registry match or forced merge applied. Representative raw labels: at American Falls AC.
18,utah,Appollo,appollo,Appollo,No,3,1909-1910,1914-1915,RESOLVED,HISTORICAL_NON_D1_IDENTITY,,Utah official all-time series/defunct-opponent inventory preserves this distinct historical/non-D1 identity; no current-D1 registry match or forced merge applied. Representative raw labels: Appollo | at Appollo.
19,utah,Arizona,arizona,Arizona,Yes,74,1953-1954,2025-2026,RESOLVED,CURRENT_D1_REGISTRY_MATCH,,Resolved to research-base current program registry key arizona; literal Utah source label preserved. Representative raw labels: #1/2 Arizona | Arizona | Arizona* | [10] Arizona* | [14] Arizona | [14] Arizona* | [17] Arizona* | [2/2] Arizona*.
20,utah,Arizona State,arizona-state,Arizona State,Yes,67,1960-1961,2025-2026,RESOLVED,CURRENT_D1_REGISTRY_MATCH,,Resolved to research-base current program registry key arizona-state; literal Utah source label preserved. Representative raw labels: Arizona State | Arizona State* | [10] Arizona State | [12] Arizona State* | [20] Arizona State* | [4] Arizona State* | [5] Arizona State* | at Arizona State.
21,utah,Arkansas,arkansas,Arkansas,Yes,1,1997-1998,1997-1998,RESOLVED,CURRENT_D1_REGISTRY_MATCH,,Resolved to research-base current program registry key arkansas; literal Utah source label preserved. Representative raw labels: vs . [17] Arkansas.
22,utah,Arkansas State,arkansas-state,Arkansas State,Yes,2,1998-1999,1999-2000,RESOLVED,CURRENT_D1_REGISTRY_MATCH,,Resolved to research-base current program registry key arkansas-state; literal Utah source label preserved. Representative raw labels: Arkansas State | vs . Arkansas State.
