index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,site_research_status,site_research_basis,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
0,UTA-S1-00001,utah,2025_26_record_book_year_by_year,1908-1909,1909,1908-12-10,YMCA,YMCA,ymca,No,22,37,L,0,,,,SOURCE_PROGRAM_HOME,,,Salt Lake City,UT,,,REGULAR_SEASON,,PDF p.135 col.1 (printed history section),12/10 YMCA L 22-37,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | [RESEARCHED_UNRESOLVED_HOME_VENUE] HOME and complete city/state established; exact physical venue remains unresolved after dedicated historical research.,RESEARCHED_UNRESOLVED_HOME_VENUE,"University catalogs confirm a campus gymnasium was in use by 1905-06, while Deseret Gym opened in 1910; Utah source establishes HOME/Salt Lake City but reviewed evidence does not safely identify the exact building for these pre-Deseret games.",,,,
1,UTA-S1-00002,utah,2025_26_record_book_year_by_year,1908-1909,1909,1909-01-21,Salt Lake HS,Salt Lake HS (West),salt-lake-hs-west,No,31,26,W,0,,,,SOURCE_PROGRAM_HOME,,,Salt Lake City,UT,,,REGULAR_SEASON,,PDF p.135 col.1 (printed history section),01/21 Salt Lake HS W 31-26,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | [RESEARCHED_UNRESOLVED_HOME_VENUE] HOME and complete city/state established; exact physical venue remains unresolved after dedicated historical research.,RESEARCHED_UNRESOLVED_HOME_VENUE,"University catalogs confirm a campus gymnasium was in use by 1905-06, while Deseret Gym opened in 1910; Utah source establishes HOME/Salt Lake City but reviewed evidence does not safely identify the exact building for these pre-Deseret games.",,,,
2,UTA-S1-00003,utah,2025_26_record_book_year_by_year,1908-1909,1909,1909-01-23,at BYU*,BYU,byu,Yes,9,32,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p.135 col.1 (printed history section),01/23 at BYU* L 9-32,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | Research site provenance: Regular-season AWAY H/A/N is explicit in Utah source; opponent-building reconstruction is reciprocal debt allowed by site-completeness policy and is not a Utah research-freeze blocker.,,,,,,
3,UTA-S1-00004,utah,2025_26_record_book_year_by_year,1908-1909,1909,1909-01-28,BY College*,Brigham Young College,brigham-young-college,No,17,29,L,0,,,,SOURCE_PROGRAM_HOME,,,Salt Lake City,UT,,,REGULAR_SEASON,,PDF p.135 col.1 (printed history section),01/28 BY College* L 17-29,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | [RESEARCHED_UNRESOLVED_HOME_VENUE] HOME and complete city/state established; exact physical venue remains unresolved after dedicated historical research.,RESEARCHED_UNRESOLVED_HOME_VENUE,"University catalogs confirm a campus gymnasium was in use by 1905-06, while Deseret Gym opened in 1910; Utah source establishes HOME/Salt Lake City but reviewed evidence does not safely identify the exact building for these pre-Deseret games.",,,,
4,UTA-S1-00005,utah,2025_26_record_book_year_by_year,1908-1909,1909,1909-02-04,Utah State*,Utah State,utah-state,Yes,33,13,W,0,,,,SOURCE_PROGRAM_HOME,,,Salt Lake City,UT,,,REGULAR_SEASON,,PDF p.135 col.1 (printed history section),02/04 Utah State* W 33-13,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | [RESEARCHED_UNRESOLVED_HOME_VENUE] HOME and complete city/state established; exact physical venue remains unresolved after dedicated historical research.,RESEARCHED_UNRESOLVED_HOME_VENUE,"University catalogs confirm a campus gymnasium was in use by 1905-06, while Deseret Gym opened in 1910; Utah source establishes HOME/Salt Lake City but reviewed evidence does not safely identify the exact building for these pre-Deseret games.",,,,
5,UTA-S1-00006,utah,2025_26_record_book_year_by_year,1908-1909,1909,1909-02-11,LDSU*,LDS University,lds-university,No,20,28,L,0,,,,SOURCE_PROGRAM_HOME,,,Salt Lake City,UT,,,REGULAR_SEASON,,PDF p.135 col.1 (printed history section),02/11 LDSU* L 20-28,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | [RESEARCHED_UNRESOLVED_HOME_VENUE] HOME and complete city/state established; exact physical venue remains unresolved after dedicated historical research.,RESEARCHED_UNRESOLVED_HOME_VENUE,"University catalogs confirm a campus gymnasium was in use by 1905-06, while Deseret Gym opened in 1910; Utah source establishes HOME/Salt Lake City but reviewed evidence does not safely identify the exact building for these pre-Deseret games.",,,,
6,UTA-S1-00007,utah,2025_26_record_book_year_by_year,1908-1909,1909,1909-02-19,at Utah State*,Utah State,utah-state,Yes,37,19,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p.135 col.1 (printed history section),02/19 at Utah State* W 37-19,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | Research site provenance: Regular-season AWAY H/A/N is explicit in Utah source; opponent-building reconstruction is reciprocal debt allowed by site-completeness policy and is not a Utah research-freeze blocker.,,,,,,
7,UTA-S1-00008,utah,2025_26_record_book_year_by_year,1908-1909,1909,1909-02-20,at BY College*,Brigham Young College,brigham-young-college,No,13,37,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p.135 col.1 (printed history section),02/20 at BY College* L 13-37,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | Research site provenance: Regular-season AWAY H/A/N is explicit in Utah source; opponent-building reconstruction is reciprocal debt allowed by site-completeness policy and is not a Utah research-freeze blocker.,,,,,,
8,UTA-S1-00009,utah,2025_26_record_book_year_by_year,1908-1909,1909,1909-02-24,Oregon Semi-Pro,Oregon Semi-Pro,oregon-semi-pro,No,24,35,L,0,,,,SOURCE_PROGRAM_HOME,,,Salt Lake City,UT,,,REGULAR_SEASON,,PDF p.135 col.1 (printed history section),02/24 Oregon Semi-Pro L 24-35,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | [RESEARCHED_UNRESOLVED_HOME_VENUE] HOME and complete city/state established; exact physical venue remains unresolved after dedicated historical research.,RESEARCHED_UNRESOLVED_HOME_VENUE,"University catalogs confirm a campus gymnasium was in use by 1905-06, while Deseret Gym opened in 1910; Utah source establishes HOME/Salt Lake City but reviewed evidence does not safely identify the exact building for these pre-Deseret games.",,,,
9,UTA-S1-00010,utah,2025_26_record_book_year_by_year,1908-1909,1909,1909-03-05,BYU*,BYU,byu,Yes,27,40,L,0,,,,SOURCE_PROGRAM_HOME,,,Salt Lake City,UT,,,REGULAR_SEASON,,PDF p.135 col.1 (printed history section),03/05 BYU* L 27-40,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | [RESEARCHED_UNRESOLVED_HOME_VENUE] HOME and complete city/state established; exact physical venue remains unresolved after dedicated historical research.,RESEARCHED_UNRESOLVED_HOME_VENUE,"University catalogs confirm a campus gymnasium was in use by 1905-06, while Deseret Gym opened in 1910; Utah source establishes HOME/Salt Lake City but reviewed evidence does not safely identify the exact building for these pre-Deseret games.",,,,
10,UTA-S1-00011,utah,2025_26_record_book_year_by_year,1908-1909,1909,1909-03-06,LDSU*,LDS University,lds-university,No,23,42,L,0,,,,SOURCE_PROGRAM_HOME,,,Salt Lake City,UT,,,REGULAR_SEASON,,PDF p.135 col.1 (printed history section),03/06 LDSU* L 23-42,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | [RESEARCHED_UNRESOLVED_HOME_VENUE] HOME and complete city/state established; exact physical venue remains unresolved after dedicated historical research.,RESEARCHED_UNRESOLVED_HOME_VENUE,"University catalogs confirm a campus gymnasium was in use by 1905-06, while Deseret Gym opened in 1910; Utah source establishes HOME/Salt Lake City but reviewed evidence does not safely identify the exact building for these pre-Deseret games.",,,,
11,UTA-S1-00012,utah,2025_26_record_book_year_by_year,1909-1910,1910,1909-11-20,YMCA,YMCA,ymca,No,37,31,W,0,,,,SOURCE_PROGRAM_HOME,,,Salt Lake City,UT,,,REGULAR_SEASON,,PDF p.135 col.1 (printed history section),11/20 YMCA W 37-31,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | [RESEARCHED_UNRESOLVED_HOME_VENUE] HOME and complete city/state established; exact physical venue remains unresolved after dedicated historical research.,RESEARCHED_UNRESOLVED_HOME_VENUE,"University catalogs confirm a campus gymnasium was in use by 1905-06, while Deseret Gym opened in 1910; Utah source establishes HOME/Salt Lake City but reviewed evidence does not safely identify the exact building for these pre-Deseret games.",,,,
12,UTA-S1-00013,utah,2025_26_record_book_year_by_year,1909-1910,1910,1909-12-01,Fort Douglas,Fort Douglas,fort-douglas,No,36,3,W,0,,,,SOURCE_PROGRAM_HOME,,,Salt Lake City,UT,,,REGULAR_SEASON,,PDF p.135 col.1 (printed history section),12/01 Fort Douglas W 36-3,resolved,[STAGE1_CORRECTION RAW_ACCEPTED] | [RESEARCHED_UNRESOLVED_HOME_VENUE] HOME and complete city/state established; exact physical venue remains unresolved after dedicated historical research.,RESEARCHED_UNRESOLVED_HOME_VENUE,"University catalogs confirm a campus gymnasium was in use by 1905-06, while Deseret Gym opened in 1910; Utah source establishes HOME/Salt Lake City but reviewed evidence does not safely identify the exact building for these pre-Deseret games.",,,,
