index,source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
0,utah,arco-arena,VEN-000013,ARCO Arena,,Sacramento,CA,arena,,,,1,2002-03-14,2002-03-14,GAME_SITE,,,,Venue never establishes H/A/N; relationship is applied only after independent site classification.,"Utah Stage 3A/3B accepted game-level site research, owner-supplied Utah record book, authorized conference-tournament evidence where applicable, and targeted institutional/reciprocal evidence for physical-identity normalization.",Research-base physical venue reuse (VEN-000013); serialized Implementation must rebase against then-current protected main rather than trusting transport IDs blindly. Integration rebase resolved final global venue ID VEN-000013.
1,utah,acrisure-arena,VEN-000242,Acrisure Arena,,Palm Desert,CA,arena,,,,2,2025-11-25,2025-11-26,GAME_SITE,,,,Venue never establishes H/A/N; relationship is applied only after independent site classification.,"Utah Stage 3A/3B accepted game-level site research, owner-supplied Utah record book, authorized conference-tournament evidence where applicable, and targeted institutional/reciprocal evidence for physical-identity normalization.",Research-base physical venue reuse (VEN-000242); serialized Implementation must rebase against then-current protected main rather than trusting transport IDs blindly. Integration rebase resolved final global venue ID VEN-000242.
2,utah,alamodome,VEN-000002,Alamodome,,San Antonio,TX,arena,,,,2,1998-03-28,1998-03-30,GAME_SITE,,,,Venue never establishes H/A/N; relationship is applied only after independent site classification.,"Utah Stage 3A/3B accepted game-level site research, owner-supplied Utah record book, authorized conference-tournament evidence where applicable, and targeted institutional/reciprocal evidence for physical-identity normalization.",Research-base physical venue reuse (VEN-000002); serialized Implementation must rebase against then-current protected main rather than trusting transport IDs blindly. Integration rebase resolved final global venue ID VEN-000002.
3,utah,allen-fieldhouse,VEN-000003,Allen Fieldhouse,,Lawrence,KS,arena,,,,1,1978-03-17,1978-03-17,GAME_SITE,,,,Venue never establishes H/A/N; relationship is applied only after independent site classification.,"Utah Stage 3A/3B accepted game-level site research, owner-supplied Utah record book, authorized conference-tournament evidence where applicable, and targeted institutional/reciprocal evidence for physical-identity normalization.",Research-base physical venue reuse (VEN-000003); serialized Implementation must rebase against then-current protected main rather than trusting transport IDs blindly. Integration rebase resolved final global venue ID VEN-000003.
4,utah,arena-auditorium,VEN-000364,Arena-Auditorium,Arena Auditorium,Laramie,WY,arena,,,,4,1986-03-06,1991-03-09,GAME_SITE,,,,Venue never establishes H/A/N; relationship is applied only after independent site classification.,"Utah Stage 3A/3B accepted game-level site research, owner-supplied Utah record book, authorized conference-tournament evidence where applicable, and targeted institutional/reciprocal evidence for physical-identity normalization.",Research-base physical venue reuse (VEN-000364); serialized Implementation must rebase against then-current protected main rather than trusting transport IDs blindly. Integration rebase resolved final global venue ID VEN-000364.
5,utah,ball-arena,VEN-000018,Ball Arena,Pepsi Center,Denver,CO,arena,,,,10,2004-03-11,2016-03-19,GAME_SITE,,,,Venue never establishes H/A/N; relationship is applied only after independent site classification.,"Utah Stage 3A/3B accepted game-level site research, owner-supplied Utah record book, authorized conference-tournament evidence where applicable, and targeted institutional/reciprocal evidence for physical-identity normalization.",Research-base physical venue reuse (VEN-000018); serialized Implementation must rebase against then-current protected main rather than trusting transport IDs blindly. Integration rebase resolved final global venue ID VEN-000018.
6,utah,bradley-center,VEN-000026,Bradley Center,,Milwaukee,WI,arena,,,,1,2004-03-19,2004-03-19,GAME_SITE,,,,Venue never establishes H/A/N; relationship is applied only after independent site classification.,"Utah Stage 3A/3B accepted game-level site research, owner-supplied Utah record book, authorized conference-tournament evidence where applicable, and targeted institutional/reciprocal evidence for physical-identity normalization.",Research-base physical venue reuse (VEN-000026); serialized Implementation must rebase against then-current protected main rather than trusting transport IDs blindly. Integration rebase resolved final global venue ID VEN-000026.
7,utah,bridgestone-arena,VEN-000031,Bridgestone Arena,Gaylor Entertainment Center,Nashville,TN,arena,,,,2,2003-03-21,2003-03-23,GAME_SITE,,,,Venue never establishes H/A/N; relationship is applied only after independent site classification.,"Utah Stage 3A/3B accepted game-level site research, owner-supplied Utah record book, authorized conference-tournament evidence where applicable, and targeted institutional/reciprocal evidence for physical-identity normalization.",Research-base physical venue reuse (VEN-000031); serialized Implementation must rebase against then-current protected main rather than trusting transport IDs blindly. Integration rebase resolved final global venue ID VEN-000031.
8,utah,caesars-superdome,VEN-000034,Caesars Superdome,Superdome,New Orleans,LA,arena,,,,2,1999-03-12,1999-03-14,GAME_SITE,,,,Venue never establishes H/A/N; relationship is applied only after independent site classification.,"Utah Stage 3A/3B accepted game-level site research, owner-supplied Utah record book, authorized conference-tournament evidence where applicable, and targeted institutional/reciprocal evidence for physical-identity normalization.",Research-base physical venue reuse (VEN-000034); serialized Implementation must rebase against then-current protected main rather than trusting transport IDs blindly. Integration rebase resolved final global venue ID VEN-000034.
9,utah,charles-koch-arena,VEN-000039,Charles Koch Arena,Levitt Arena,Wichita,KS,arena,,,,1,1978-03-12,1978-03-12,GAME_SITE,,,,Venue never establishes H/A/N; relationship is applied only after independent site classification.,"Utah Stage 3A/3B accepted game-level site research, owner-supplied Utah record book, authorized conference-tournament evidence where applicable, and targeted institutional/reciprocal evidence for physical-identity normalization.",Research-base physical venue reuse (VEN-000039); serialized Implementation must rebase against then-current protected main rather than trusting transport IDs blindly. Integration rebase resolved final global venue ID VEN-000039.
