index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
0,vanderbilt,20th Armored,20th-armored,20th Armored,No,2,1943-1944,1943-1944,RESOLVED,Inherited established project identity,,
1,vanderbilt,20th Ferrying Company,20th-ferrying-company,20th Ferrying Company,No,1,1943-1944,1943-1944,RESOLVED,Inherited established project identity,,
2,vanderbilt,508th Air Base,508th-air-base,508th Air Base,No,1,1943-1944,1943-1944,RESOLVED,Inherited established project identity,,
3,vanderbilt,Air Force,air-force,Air Force,Yes,2,1983-1984,1992-1993,RESOLVED,Inherited established project identity,,
4,vanderbilt,Alabama,alabama,Alabama,Yes,149,1923-1924,2025-2026,RESOLVED,Inherited established project identity,,
5,vanderbilt,Alabama A&M,alabama-a-m,Alabama A&M,Yes,8,1998-1999,2023-2024,RESOLVED,Inherited established project identity,,
6,vanderbilt,Alabama State,alabama-state,Alabama State,Yes,1,2021-2022,2021-2022,RESOLVED,Inherited established project identity,,
7,vanderbilt,Alabama-Huntsville,alabama-huntsville,Alabama-Huntsville,No,1,1996-1997,1996-1997,RESOLVED,Inherited established project identity,,
8,vanderbilt,Alaska-Anchorage,alaska-anchorage,Alaska-Anchorage,No,2,1981-1982,1989-1990,RESOLVED,Inherited established project identity,,
9,vanderbilt,Albany YMCA,albany-ymca,Albany YMCA,No,1,1930-1931,1930-1931,RESOLVED,Inherited established project identity,,
10,vanderbilt,Alcorn State,alcorn-state,Alcorn State,Yes,3,2017-2018,2020-2021,RESOLVED,Inherited established project identity,,
11,vanderbilt,Alumni,alumni,Alumni,No,3,1909-1910,1928-1929,RESOLVED,Conservative historical/non-current identity,,
12,vanderbilt,American,american-university,American,Yes,1,2001-2002,2001-2002,RESOLVED,Exact current D1 registry match,,
13,vanderbilt,Appalachian State,app-state,Appalachian State,Yes,4,2003-2004,2010-2011,RESOLVED,Inherited established project identity,,
14,vanderbilt,Arizona,arizona,Arizona,Yes,2,1956-1957,2009-2010,RESOLVED,Inherited established project identity,,
15,vanderbilt,Arizona State,arizona-state,Arizona State,Yes,6,1981-1982,2023-2024,RESOLVED,Inherited established project identity,,
16,vanderbilt,Arkansas,arkansas,Arkansas,Yes,48,1963-1964,2025-2026,RESOLVED,Inherited established project identity,,
