index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
0,VANRAW-00001,vanderbilt,official_2025_26_fact_book,1900-1901,1901,,Nashville YMCA,Nashville YMCA,nashville-ymca,No,19,22,L,0,,,,SOURCE_PROGRAM_HOME,,Old Gym,Nashville,TN,,,REGULAR_SEASON,,2025-26 Fact Book p. 26,Nashville YMCA ......................L 19-22,resolved,,,,,
1,VANRAW-00002,vanderbilt,official_2025_26_fact_book,1900-1901,1901,,Nashville YMCA,Nashville YMCA,nashville-ymca,No,24,9,W,0,,,,SOURCE_PROGRAM_HOME,,Old Gym,Nashville,TN,,,REGULAR_SEASON,,2025-26 Fact Book p. 26,Nashville YMCA ..................... W 24-9,resolved,,,,,
2,VANRAW-00003,vanderbilt,official_2025_26_fact_book,1900-1901,1901,,Nashville YMCA,Nashville YMCA,nashville-ymca,No,14,12,W,0,,,,SOURCE_PROGRAM_HOME,,Old Gym,Nashville,TN,,,REGULAR_SEASON,,2025-26 Fact Book p. 26,Nashville YMCA ..................... W 14-12,resolved,,,,,
3,VANRAW-00004,vanderbilt,official_2025_26_fact_book,1900-1901,1901,,Nashville Athletic Club,Nashville Athletic Club,nashville-athletic-club,No,11,13,L,0,,,,SOURCE_PROGRAM_HOME,,Old Gym,Nashville,TN,,,REGULAR_SEASON,,2025-26 Fact Book p. 26,Nashville Athletic Club ..........L 11-13,resolved,,,,,
4,VANRAW-00005,vanderbilt,official_2025_26_fact_book,1901-1902,1902,,Nashville YMCA,Nashville YMCA,nashville-ymca,No,27,14,W,0,,,,SOURCE_PROGRAM_HOME,,Old Gym,Nashville,TN,,,REGULAR_SEASON,,2025-26 Fact Book p. 26,Nashville YMCA ..................... W 27-14,resolved,,,,,
5,VANRAW-00006,vanderbilt,official_2025_26_fact_book,1901-1902,1902,,Nashville YMCA,Nashville YMCA,nashville-ymca,No,25,4,W,0,,,,SOURCE_PROGRAM_HOME,,Old Gym,Nashville,TN,,,REGULAR_SEASON,,2025-26 Fact Book p. 26,Nashville YMCA ..................... W 25-4,resolved,,,,,
6,VANRAW-00007,vanderbilt,official_2025_26_fact_book,1901-1902,1902,,Nashville Athletic Club,Nashville Athletic Club,nashville-athletic-club,No,16,9,W,0,,,,SOURCE_PROGRAM_HOME,,Old Gym,Nashville,TN,,,REGULAR_SEASON,,2025-26 Fact Book p. 26,Nashville Athletic Club ......... W 16-9,resolved,,,,,
7,VANRAW-00008,vanderbilt,official_2025_26_fact_book,1901-1902,1902,,Nashville Athletic Club,Nashville Athletic Club,nashville-athletic-club,No,17,12,W,0,,,,SOURCE_PROGRAM_HOME,,Old Gym,Nashville,TN,,,REGULAR_SEASON,,2025-26 Fact Book p. 26,Nashville Athletic Club ......... W 17-12,resolved,,,,,
8,VANRAW-00009,vanderbilt,official_2025_26_fact_book,1901-1902,1902,,Howard,Howard,howard,Yes,23,33,L,0,,,at/opponent home; Series table A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,2025-26 Fact Book p. 26,at Howard ..............................L 23-33,resolved,,,,,
9,VANRAW-00010,vanderbilt,official_2025_26_fact_book,1901-1902,1902,,Howard,Howard,howard,Yes,29,19,W,0,,,at/opponent home; Series table A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,2025-26 Fact Book p. 26,at Howard ............................. W 29-19,resolved,,,,,
10,VANRAW-00011,vanderbilt,official_2025_26_fact_book,1901-1902,1902,,Birmingham Southern,Birmingham Southern,birmingham-southern,No,21,34,L,0,,,at/opponent home; Series table A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,2025-26 Fact Book p. 26,at Birmingham Southern ......L 21-34,resolved,,,,,
11,VANRAW-00012,vanderbilt,official_2025_26_fact_book,1902-1903,1903,,Cumberland,Cumberland,cumberland,No,44,14,W,0,,,at/opponent home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,2025-26 Fact Book p. 26,at Cumberland ..................... W 44-14,resolved,,,,,
12,VANRAW-00013,vanderbilt,official_2025_26_fact_book,1902-1903,1903,,Nashville Athletic Club,Nashville Athletic Club,nashville-athletic-club,No,26,6,W,0,,,,SOURCE_PROGRAM_HOME,,Old Gym,Nashville,TN,,,REGULAR_SEASON,,2025-26 Fact Book p. 26,Nashville Athletic Club ......... W 26-6,resolved,,,,,
13,VANRAW-00014,vanderbilt,official_2025_26_fact_book,1902-1903,1903,,Nashville Athletic Club,Nashville Athletic Club,nashville-athletic-club,No,24,11,W,0,,,,SOURCE_PROGRAM_HOME,,Old Gym,Nashville,TN,,,REGULAR_SEASON,,2025-26 Fact Book p. 26,Nashville Athletic Club ......... W 24-11,resolved,,,,,
14,VANRAW-00015,vanderbilt,official_2025_26_fact_book,1902-1903,1903,,Howard,Howard,howard,Yes,25,11,W,0,,,at/opponent home; Series table A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,2025-26 Fact Book p. 26,at Howard ............................. W 25-11,resolved,,,,,
