index,source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
0,vanderbilt,addition-financial-arena,VEN-000038,Addition Financial Arena,,Orlando,FL,arena,,,unknown,1,2025-11-08,2025-11-08,,,,,,Owner-supplied completed 2025-26 schedule table corroborated by Vanderbilt's official press box.,Exact venue retained for the completed 2025-26 schedule.
1,vanderbilt,bridgestone-arena,VEN-000031,Bridgestone Arena,,Nashville,TN,arena,,,unknown,3,2026-03-13,2026-03-15,,,,,,Owner-supplied completed 2025-26 schedule table corroborated by Vanderbilt's official press box.,Exact venue retained for the completed 2025-26 schedule.
2,vanderbilt,bud-walton-arena,VEN-000032,Bud Walton Arena,,Fayetteville,AR,arena,,,unknown,1,2026-01-20,2026-01-20,,,,,,Owner-supplied completed 2025-26 schedule table corroborated by Vanderbilt's official press box.,Exact venue retained for the completed 2025-26 schedule.
3,vanderbilt,colonial-life-arena,VEN-000049,Colonial Life Arena,,Columbia,SC,arena,,,unknown,1,2026-01-03,2026-01-03,,,,,,Owner-supplied completed 2025-26 schedule table corroborated by Vanderbilt's official press box.,Exact venue retained for the completed 2025-26 schedule.
4,vanderbilt,fedexforum,VEN-000062,FedExForum,,Memphis,TN,arena,,,unknown,1,2025-12-17,2025-12-17,,,,,,Owner-supplied completed 2025-26 schedule table corroborated by Vanderbilt's official press box.,Exact venue retained for the completed 2025-26 schedule.
5,vanderbilt,humphrey-coliseum,VEN-000087,Humphrey Coliseum,,Starkville,MS,arena,,,unknown,1,2026-01-24,2026-01-24,,,,,,Owner-supplied completed 2025-26 schedule table corroborated by Vanderbilt's official press box.,Exact venue retained for the completed 2025-26 schedule.
6,vanderbilt,imperial-arena,VEN-000088,Imperial Arena,,Nassau,BS,arena,,,unknown,3,2025-11-26,2025-11-28,,,,,,Owner-supplied completed 2025-26 schedule table corroborated by Vanderbilt's official press box.,Exact venue retained for the completed 2025-26 schedule.
7,vanderbilt,ljvm-coliseum,VEN-000115,LJVM Coliseum,Lawrence Joel Veterans Memorial Coliseum,Winston-Salem,NC,arena,,,unknown,1,2025-12-21,2025-12-21,,,,,,Owner-supplied completed 2025-26 schedule table corroborated by Vanderbilt's official press box.,Exact venue retained for the completed 2025-26 schedule.
8,vanderbilt,memorial-gymnasium,VEN-000130,Memorial Gymnasium,,Nashville,TN,arena,1952-12-06,,exact,1136,1952-12-06,2026-02-25,primary_home,1952-12-06,present,exact,A Vanderbilt game must already be independently classified home before this chronology may supply venue/location; game-level H/A/N evidence remains authoritative.,Owner-approved Vanderbilt home-venue chronology; official fact book documents Memorial Gymnasium's first game on 1952-12-06.,First official game: Virginia on 1952-12-06; ongoing primary home through the curated cutoff.
9,vanderbilt,mizzou-arena,VEN-000137,Mizzou Arena,,Columbia,MO,arena,,,unknown,1,2026-02-18,2026-02-18,,,,,,Owner-supplied completed 2025-26 schedule table corroborated by Vanderbilt's official press box.,Exact venue retained for the completed 2025-26 schedule.
10,vanderbilt,moody-center,VEN-000140,Moody Center,,Austin,TX,arena,,,unknown,1,2026-01-14,2026-01-14,,,,,,Owner-supplied completed 2025-26 schedule table corroborated by Vanderbilt's official press box.,Exact venue retained for the completed 2025-26 schedule.
11,vanderbilt,neville-arena,VEN-000150,Neville Arena,Auburn Arena,Auburn,AL,arena,,,unknown,1,2026-02-10,2026-02-10,,,,,,Owner-supplied completed 2025-26 schedule table corroborated by Vanderbilt's official press box.,Exact venue retained for the completed 2025-26 schedule.
12,vanderbilt,old-gym,VEN-000155,Old Gym,Vanderbilt Old Gym,Nashville,TN,gymnasium,,,unknown,292,1900-1901,1952-02-11,primary_home,1900-1901,1952-12-05,season/exact,A Vanderbilt game must already be independently classified home before this chronology may supply venue/location; game-level H/A/N evidence remains authoritative.,Owner-approved Vanderbilt home-venue chronology; official fact book documents Memorial Gymnasium's first game on 1952-12-06.,Owner-approved historical display name for independently established home games before Memorial Gymnasium; no physical closure date is asserted.
13,vanderbilt,paycom-center,VEN-000162,Paycom Center,,Oklahoma City,OK,arena,,,unknown,2,2026-03-19,2026-03-21,,,,,,Owner-supplied completed 2025-26 schedule table corroborated by Vanderbilt's official press box.,Exact venue retained for the completed 2025-26 schedule.
14,vanderbilt,rupp-arena,VEN-000181,Rupp Arena,,Lexington,KY,arena,,,unknown,1,2026-02-28,2026-02-28,,,,,,Owner-supplied completed 2025-26 schedule table corroborated by Vanderbilt's official press box.,Exact venue retained for the completed 2025-26 schedule.
15,vanderbilt,sjb-pavilion,VEN-000187,SJB Pavilion,The Sandy and John Black Pavilion at Ole Miss,Oxford,MS,arena,,,unknown,1,2026-03-03,2026-03-03,,,,,,Owner-supplied completed 2025-26 schedule table corroborated by Vanderbilt's official press box.,Exact venue retained for the completed 2025-26 schedule.
16,vanderbilt,thompson-boling-arena,VEN-000211,Thompson-Boling Arena,Thompson-Boling Arena at Food City Center;Food City Center,Knoxville,TN,arena,,,unknown,1,2026-03-07,2026-03-07,,,,,,Owner-supplied completed 2025-26 schedule table corroborated by Vanderbilt's official press box.,Exact venue retained for the completed 2025-26 schedule.
