source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
virginia,7 pt,woodrow-wilson-hospital,Woodrow Wilson Hospital,No,1,1943-1944,1943-1944,RESOLVED,SOURCE_INTERNAL_SERIES_RECONCILIATION,,"Year-by-year source label is literal '7 pt'; Virginia all-time series table lists Woodrow Wilson Hospital 2-0 (1-0 H, 1-0 A), 1944. The same season contains one explicit Woodrow Wilson Hospital H win; this row is the sole unassigned A win and supplies the second series game."
virginia,Aberdeen Prov. Grnd,aberdeen-proving-ground,Aberdeen Proving Ground,No,1,1943-1944,1943-1944,RESOLVED,HISTORICAL_NON_D1_SOURCE_IDENTITY_RETAINED; SOURCE_LABEL_NORMALIZATION,,Virginia media guide all-time series table category=NON_COLLEGIATE canonical=Aberdeen Proving Ground
virginia,Air Force,air-force,Air Force,Yes,1,1968-1969,1968-1969,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Air Force
virginia,Alabama,alabama,Alabama,Yes,4,1978-1979,1992-1993,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Alabama
virginia,Alabama (16),alabama,Alabama,Yes,1,1991-1992,1991-1992,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Alabama
virginia,Alabama SoCon,alabama,Alabama,Yes,2,1927-1928,1931-1932,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS; SOURCE_LABEL_NORMALIZATION,,Virginia media guide all-time series table category=D1 canonical=Alabama
virginia,Albany,ualbany,Albany,Yes,1,2006-2007,2006-2007,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Albany
virginia,American,american-university,American,Yes,8,1937-1938,2025-2026,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=American
virginia,Appalachian State,app-state,Appalachian State,Yes,3,1997-1998,2006-2007,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Appalachian State
virginia,Apprentice School,apprentice-school,Apprentice School,No,2,1934-1935,1935-1936,RESOLVED,HISTORICAL_NON_D1_SOURCE_IDENTITY_RETAINED,,Virginia media guide all-time series table category=NON_COLLEGIATE canonical=Apprentice School
virginia,Arizona (10),arizona,Arizona,Yes,2,2004-2005,2006-2007,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Arizona
virginia,Arizona (17),arizona,Arizona,Yes,1,2007-2008,2007-2008,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Arizona
virginia,Arizona (9),arizona,Arizona,Yes,2,1993-1994,2005-2006,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Arizona
virginia,Arizona State,arizona-state,Arizona State,Yes,1,1999-2000,1999-2000,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Arizona State
virginia,Arkansas,arkansas,Arkansas,Yes,4,1984-1985,1988-1989,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Arkansas
virginia,Arkansas (19),arkansas,Arkansas,Yes,1,1998-1999,1998-1999,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Arkansas
virginia,Arkansas (8),arkansas,Arkansas,Yes,1,1983-1984,1983-1984,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Arkansas
virginia,Arkansas State,arkansas-state,Arkansas State,Yes,1,1962-1963,1962-1963,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Arkansas State
virginia,Army,army,Army,Yes,2,1940-1941,1955-1956,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Army
virginia,Auburn,auburn,Auburn,Yes,3,1919-1920,2009-2010,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Auburn
virginia,Auburn SoCon,auburn,Auburn,Yes,2,1924-1925,1930-1931,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS; SOURCE_LABEL_NORMALIZATION,,Virginia media guide all-time series table category=D1 canonical=Auburn
virginia,Baldwin-Wallace,baldwin-wallace,Baldwin-Wallace,No,1,1971-1972,1971-1972,RESOLVED,HISTORICAL_NON_D1_SOURCE_IDENTITY_RETAINED,,Virginia media guide all-time series table category=NON_D1_COLLEGE canonical=Baldwin-Wallace
virginia,Baltimore Medical,baltimore-medical,Baltimore Medical,No,1,1909-1910,1909-1910,RESOLVED,HISTORICAL_NON_D1_SOURCE_IDENTITY_RETAINED,,Virginia media guide all-time series table category=NON_COLLEGIATE canonical=Baltimore Medical
virginia,Baltimore YMCA,baltimore-ymca,Baltimore YMCA,No,1,1905-1906,1905-1906,RESOLVED,HISTORICAL_NON_D1_SOURCE_IDENTITY_RETAINED,,Virginia media guide all-time series table category=NON_COLLEGIATE canonical=Baltimore YMCA
virginia,Baylor,baylor,Baylor,Yes,1,1968-1969,1968-1969,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Baylor
virginia,Belmont,belmont,Belmont,Yes,1,1999-2000,1999-2000,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Belmont
virginia,Bethune-Cookman,bethune-cookman,Bethune-Cookman,Yes,1,2024-2025,2024-2025,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Bethune-Cookman
virginia,Bolling Field,bolling-field,Bolling Field,No,1,1942-1943,1942-1943,RESOLVED,HISTORICAL_NON_D1_SOURCE_IDENTITY_RETAINED,,Virginia media guide all-time series table category=NON_COLLEGIATE canonical=Bolling Field
virginia,Boston College,boston-college,Boston College,Yes,18,1970-1971,2025-2026,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Boston College
virginia,Boston College (11),boston-college,Boston College,Yes,1,2005-2006,2005-2006,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Boston College
virginia,Bowling Green,bowling-green,Bowling Green,Yes,1,1967-1968,1967-1968,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Bowling Green
virginia,Bradley,bradley,Bradley,Yes,2,1946-1947,2007-2008,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Bradley
