source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,site_research_status,site_research_basis,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
UVA-R-1905-001,virginia,virginia_2025_26_media_guide_year_by_year,1905-1906,1906,1906-01-18,Charlottesville YMCA,Charlottesville YMCA,charlottesville-ymca,No,30,9,W,0,,,H,SOURCE_PROGRAM_HOME,,Fayerweather Gymnasium,Charlottesville,VA,,,REGULAR_SEASON,,Virginia 2025-26 media guide p. 85,J18 Charlottesville YMCA H W 30 9,resolved,,,,,,,
UVA-R-1905-002,virginia,virginia_2025_26_media_guide_year_by_year,1905-1906,1906,1906-01-26,Washington & Lee,Washington & Lee,washington-and-lee,No,22,6,W,0,,,H,SOURCE_PROGRAM_HOME,,Fayerweather Gymnasium,Charlottesville,VA,,,REGULAR_SEASON,,Virginia 2025-26 media guide p. 85,J26 Washington & Lee H W 22 6,resolved,,,,,,,
UVA-R-1905-003,virginia,virginia_2025_26_media_guide_year_by_year,1905-1906,1906,1906-01-30,Staunton YMCA,Staunton YMCA,staunton-ymca,No,35,13,W,0,,,H,SOURCE_PROGRAM_HOME,,Fayerweather Gymnasium,Charlottesville,VA,,,REGULAR_SEASON,,Virginia 2025-26 media guide p. 85,J30 Staunton YMCA H W 35 13,resolved,,,,,,,
UVA-R-1905-004,virginia,virginia_2025_26_media_guide_year_by_year,1905-1906,1906,1906-01-31,Charlottesville YMCA,Charlottesville YMCA,charlottesville-ymca,No,26,12,W,0,,,H,SOURCE_PROGRAM_HOME,,Fayerweather Gymnasium,Charlottesville,VA,,,REGULAR_SEASON,,Virginia 2025-26 media guide p. 85,J31 Charlottesville YMCA H W 26 12,resolved,,,,,,,
UVA-R-1905-005,virginia,virginia_2025_26_media_guide_year_by_year,1905-1906,1906,1906-02-02,Baltimore YMCA,Baltimore YMCA,baltimore-ymca,No,7,35,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Virginia 2025-26 media guide p. 85,F2 Baltimore YMCA A L 7 35,resolved,,,,,,,
UVA-R-1905-006,virginia,virginia_2025_26_media_guide_year_by_year,1905-1906,1906,1906-02-03,Carroll Institute,Carroll Institute,carroll-institute,No,12,62,L,0,,,N1,NEUTRAL,,,,,,,REGULAR_SEASON,,Virginia 2025-26 media guide p. 85,F3 Carroll Institute N1 L 12 62,resolved,,RESEARCHED_UNRESOLVED,"One bounded historical location-enrichment pass completed using accepted project evidence first and the obvious participant/event/host institutional opportunity. No supported city/state was established. Per PR #143 location-first stopping rule, no bespoke newspaper, archive, yearbook, or row-by-row archaeology was opened.",,,,
UVA-R-1905-007,virginia,virginia_2025_26_media_guide_year_by_year,1905-1906,1906,1906-02-23,Bridgewater,Bridgewater,bridgewater,No,24,19,W,0,,,H,SOURCE_PROGRAM_HOME,,Fayerweather Gymnasium,Charlottesville,VA,,,REGULAR_SEASON,,Virginia 2025-26 media guide p. 85,F23 Bridgewater H W 24 19,resolved,,,,,,,
UVA-R-1905-008,virginia,virginia_2025_26_media_guide_year_by_year,1905-1906,1906,1906-03-06,Charlottesville YMCA,Charlottesville YMCA,charlottesville-ymca,No,20,5,W,0,,,H,SOURCE_PROGRAM_HOME,,Fayerweather Gymnasium,Charlottesville,VA,,,REGULAR_SEASON,,Virginia 2025-26 media guide p. 85,M6 Charlottesville YMCA H W 20 5,resolved,,,,,,,
UVA-R-1905-009,virginia,virginia_2025_26_media_guide_year_by_year,1905-1906,1906,1906-03-09,William & Mary,William & Mary,william-mary,Yes,22,19,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Virginia 2025-26 media guide p. 85,M9 William & Mary A W 22 19,resolved,,,,,,,
UVA-R-1905-010,virginia,virginia_2025_26_media_guide_year_by_year,1905-1906,1906,1906-03-10,Richmond YMCA,Richmond YMCA,richmond-ymca,No,18,9,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Virginia 2025-26 media guide p. 85,M10 Richmond YMCA A W 18 9,resolved,,,,,,,
UVA-R-1906-001,virginia,virginia_2025_26_media_guide_year_by_year,1906-1907,1907,1906-12-04,Charlottesville YMCA,Charlottesville YMCA,charlottesville-ymca,No,36,16,W,0,,,H,SOURCE_PROGRAM_HOME,,Fayerweather Gymnasium,Charlottesville,VA,,,REGULAR_SEASON,,Virginia 2025-26 media guide p. 85,D4 Charlottesville YMCA H W 36 16,resolved,,,,,,,
UVA-R-1906-002,virginia,virginia_2025_26_media_guide_year_by_year,1906-1907,1907,1907-01-19,Washington & Lee,Washington & Lee,washington-and-lee,No,19,15,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Virginia 2025-26 media guide p. 85,J19 Washington & Lee A W 19 15,resolved,,,,,,,
UVA-R-1906-003,virginia,virginia_2025_26_media_guide_year_by_year,1906-1907,1907,1907-01-26,George Washington,George Washington,george-washington,Yes,18,17,W,0,,,H,SOURCE_PROGRAM_HOME,,Fayerweather Gymnasium,Charlottesville,VA,,,REGULAR_SEASON,,Virginia 2025-26 media guide p. 85,J26 George Washington H W 18 17,resolved,,,,,,,
UVA-R-1906-004,virginia,virginia_2025_26_media_guide_year_by_year,1906-1907,1907,1907-02-02,Staunton Military Acad.,Staunton Military Academy,staunton-military-academy,No,16,13,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Virginia 2025-26 media guide p. 85,F2 Staunton Military Acad. A W 16 13,resolved,,,,,,,
UVA-R-1906-005,virginia,virginia_2025_26_media_guide_year_by_year,1906-1907,1907,1907-02-02,Staunton YMCA,Staunton YMCA,staunton-ymca,No,25,45,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Virginia 2025-26 media guide p. 85,F2 Staunton YMCA A L 25 45,resolved,,,,,,,
