source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
virginia,american-bank-center,VEN-000698,American Bank Center,,Corpus Christi,TX,,,,unknown,2,2013-11-29,2013-11-30,GAME_SITE,,,,Venue identity never establishes H/A/N; assignment applies only after independent site classification.,Accepted Virginia Stage 3A/3B physical-site research; no compatible protected-main physical venue identity at research_base_sha 5c91e35485060a0be27f9612d0b140883a555dbf.,Historical identity: RESOLVED. Global registration: PENDING_CURRENT_MAIN_REBASE. Research lane intentionally leaves permanent numeric venue_id blank. Integration rebase resolved final global venue ID VEN-000698.
virginia,raider-arena,VEN-000271,The Arena at Northwest Florida State College,,Niceville,FL,,,,unknown,2,2016-11-25,2016-11-26,GAME_SITE,,,,Venue identity never establishes H/A/N; assignment applies only after independent site classification.,Accepted Virginia Stage 3A/3B physical-site research; no compatible protected-main physical venue identity at research_base_sha 5c91e35485060a0be27f9612d0b140883a555dbf.,Historical identity: RESOLVED. Global registration: PENDING_CURRENT_MAIN_REBASE. Research lane intentionally leaves permanent numeric venue_id blank. Integration rebase resolved final global venue ID VEN-000271.
virginia,benedictine-high-school-gym,VEN-000699,Benedictine High School Gym,,Richmond,VA,,,,unknown,1,1953-12-30,1953-12-30,GAME_SITE,,,,Venue identity never establishes H/A/N; assignment applies only after independent site classification.,Accepted Virginia Stage 3A/3B physical-site research; no compatible protected-main physical venue identity at research_base_sha 5c91e35485060a0be27f9612d0b140883a555dbf.,Historical identity: RESOLVED. Global registration: PENDING_CURRENT_MAIN_REBASE. Research lane intentionally leaves permanent numeric venue_id blank. Integration rebase resolved final global venue ID VEN-000699.
virginia,fayerweather-gymnasium,VEN-000700,Fayerweather Gymnasium,,Charlottesville,VA,,,,unknown,143,1906-01-18,1923-02-20,primary_home,1905-1906,1922-1923,SEASON,Venue identity never establishes H/A/N; assignment applies only after independent site classification.,Accepted Virginia Stage 3A/3B physical-site research; no compatible protected-main physical venue identity at research_base_sha 5c91e35485060a0be27f9612d0b140883a555dbf.,Historical identity: RESOLVED. Global registration: PENDING_CURRENT_MAIN_REBASE. Research lane intentionally leaves permanent numeric venue_id blank. Stage 6 corrected UVA-R-1921-017 from HOME to NEUTRAL based on Washington & Lee official reciprocal history; assigned-game count updated. Integration rebase resolved final global venue ID VEN-000700.
virginia,finneran-pavilion,VEN-000701,Finneran Pavilion,,Villanova,PA,,,,unknown,2,1992-03-18,2004-03-20,GAME_SITE,,,,Venue identity never establishes H/A/N; assignment applies only after independent site classification.,Accepted Virginia Stage 3A/3B physical-site research; no compatible protected-main physical venue identity at research_base_sha 5c91e35485060a0be27f9612d0b140883a555dbf.,Historical identity: RESOLVED. Global registration: PENDING_CURRENT_MAIN_REBASE. Research lane intentionally leaves permanent numeric venue_id blank. Integration rebase resolved final global venue ID VEN-000701.
virginia,hampton-coliseum,VEN-000702,Hampton Coliseum,,Hampton,VA,,,,unknown,2,1970-12-03,1977-01-12,GAME_SITE,,,,Venue identity never establishes H/A/N; assignment applies only after independent site classification.,Accepted Virginia Stage 3A/3B physical-site research; no compatible protected-main physical venue identity at research_base_sha 5c91e35485060a0be27f9612d0b140883a555dbf.,Historical identity: RESOLVED. Global registration: PENDING_CURRENT_MAIN_REBASE. Research lane intentionally leaves permanent numeric venue_id blank. Integration rebase resolved final global venue ID VEN-000702.
virginia,konawaena-high-school,VEN-000703,Konawaena High School,,Kealakekua,HI,,,,unknown,2,1984-11-23,1984-11-24,GAME_SITE,,,,Venue identity never establishes H/A/N; assignment applies only after independent site classification.,Accepted Virginia Stage 3A/3B physical-site research; no compatible protected-main physical venue identity at research_base_sha 5c91e35485060a0be27f9612d0b140883a555dbf.,Historical identity: RESOLVED. Global registration: PENDING_CURRENT_MAIN_REBASE. Research lane intentionally leaves permanent numeric venue_id blank. Integration rebase resolved final global venue ID VEN-000703.
virginia,salem-civic-center,VEN-000704,Salem Civic Center,,Salem,VA,,,,unknown,1,1968-12-21,1968-12-21,GAME_SITE,,,,Venue identity never establishes H/A/N; assignment applies only after independent site classification.,Accepted Virginia Stage 3A/3B physical-site research; no compatible protected-main physical venue identity at research_base_sha 5c91e35485060a0be27f9612d0b140883a555dbf.,Historical identity: RESOLVED. Global registration: PENDING_CURRENT_MAIN_REBASE. Research lane intentionally leaves permanent numeric venue_id blank. Integration rebase resolved final global venue ID VEN-000704.
virginia,siegel-center,VEN-000705,Siegel Center,,Richmond,VA,,,,unknown,2,2004-12-03,2005-12-28,alternate_home,2004-2005,2005-2006,SEASON,Venue identity never establishes H/A/N; assignment applies only after independent site classification.,Accepted Virginia Stage 3A/3B physical-site research; no compatible protected-main physical venue identity at research_base_sha 5c91e35485060a0be27f9612d0b140883a555dbf.,Historical identity: RESOLVED. Global registration: PENDING_CURRENT_MAIN_REBASE. Research lane intentionally leaves permanent numeric venue_id blank. Integration rebase resolved final global venue ID VEN-000705.
virginia,war-memorial-gymnasium-blacksburg,VEN-000706,War Memorial Gymnasium,,Blacksburg,VA,,,,unknown,2,1940-01-29,1947-01-25,GAME_SITE,,,,Venue identity never establishes H/A/N; assignment applies only after independent site classification.,Accepted Virginia Stage 3A/3B physical-site research; no compatible protected-main physical venue identity at research_base_sha 5c91e35485060a0be27f9612d0b140883a555dbf.,Historical identity: RESOLVED. Global registration: PENDING_CURRENT_MAIN_REBASE. Research lane intentionally leaves permanent numeric venue_id blank. Stage 6 wrote through the directly supplied Virginia Tech opponent-home site for UVA-R-1946-013; assigned-game count updated. Integration rebase resolved final global venue ID VEN-000706.
