index,source_program_key,start_season,end_season,conference_key,conference_name,membership_type,ongoing,basis,notes
0,washington-state,1901-1902,1908-1909,independent,Independent,independent,False,WSU record book yearly results; no conference affiliation shown before Northwest conference play.,Program inception through pre-Northwest era.
1,washington-state,1909-1910,1915-1916,northwest-intercollegiate,Northwest Intercollegiate Athletic Association,conference,False,WSU record book yearly results identifies Northwest / Northwest Collegiate Conference play; reconciled to existing project Northwest historical identity.,WSU source wording varies as Northwest and Northwest Collegiate Conference; project registry identity is reused rather than creating a duplicate.
2,washington-state,1916-1917,1916-1917,pacific-coast,Pacific Coast Conference,conference,False,WSU record book yearly results; WSU historical 1917 championship material.,First PCC season; 1917 team won the conference title.
3,washington-state,1917-1918,1917-1918,independent,Independent,independent,False,WSU record book yearly results shows independent season between PCC intervals.,One-season interruption preserved rather than silently bridged.
4,washington-state,1918-1919,1958-1959,pacific-coast,Pacific Coast Conference,conference,False,WSU record book yearly results; PCC history through dissolution after 1958-59.,"PC North labels in source are divisional standings within PCC, not a separate conference identity."
5,washington-state,1959-1960,1962-1963,independent,Independent,independent,False,WSU record book yearly results after PCC dissolution and before AAWU entry.,
6,washington-state,1963-1964,1967-1968,aawu,Athletic Association of Western Universities,conference,False,WSU record book yearly results and project conference naming-era authority.,Same legal lineage later renamed Pac-8/Pac-10/Pac-12; historical display identity retained by era.
7,washington-state,1968-1969,1977-1978,pac-8,Pacific-8 Conference,conference,False,WSU record book yearly results and project conference naming-era authority.,
8,washington-state,1978-1979,2010-2011,pac-10,Pacific-10 Conference,conference,False,WSU record book yearly results and project conference naming-era authority.,
9,washington-state,2011-2012,2023-2024,pac-12,Pac-12,conference,False,WSU record book yearly results and project conference naming-era authority.,
10,washington-state,2024-2025,2025-2026,wcc,WCC,conference,False,WSU official 2024-25 and 2025-26 basketball schedules/postseason coverage.,Two-season WCC basketball affiliate interval; current/future 2026-27 conference state is governed separately by the project current-membership reference.
