index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
0,washington-state,Air Force,air-force,Air Force,Yes,2,2007-2008,2009-2010,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,
1,washington-state,Akron,akron,Akron,Yes,1,1939-1940,1939-1940,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,
2,washington-state,Alabama,alabama,Alabama,Yes,3,1991-1992,1993-1994,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,
3,washington-state,Alabama State,alabama-state,Alabama State,Yes,1,1994-1995,1994-1995,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,
4,washington-state,Alabama-Birmingham,uab,UAB,Yes,1,2006-2007,2006-2007,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,Informational self-corrected current-program alias; accepted Stage 2 normalization.
5,washington-state,Alaska Anchorage,alaska-anchorage,Alaska Anchorage,No,1,2009-2010,2009-2010,RESOLVED,Defensible non-D1/historical opponent identity; literal source evidence retained.,,
6,washington-state,Alaska Fairbanks,alaska-fairbanks,Alaska Fairbanks,No,1,2003-2004,2003-2004,RESOLVED,Defensible non-D1/historical opponent identity; literal source evidence retained.,,
7,washington-state,Alaska-Anchorage,alaska-anchorage,Alaska Anchorage,No,3,1981-1982,1993-1994,RESOLVED,Defensible non-D1/historical opponent identity; literal source evidence retained.,,
8,washington-state,Alaska-Fairbanks,alaska-fairbanks,Alaska Fairbanks,No,1,1998-1999,1998-1999,RESOLVED,Defensible non-D1/historical opponent identity; literal source evidence retained.,,
9,washington-state,ALCORN,alcorn-state,Alcorn State,Yes,1,2021-2022,2021-2022,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,Informational self-corrected current-program alias; accepted Stage 2 normalization.
10,washington-state,Alcorn State,alcorn-state,Alcorn State,Yes,1,1991-1992,1991-1992,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,
11,washington-state,Almira AC,almira-ac,Almira AC,No,5,1913-1914,1916-1917,RESOLVED,Historical/local/non-D1 identity retained distinctly; no evidence requiring merge to a current D1 program.,,
12,washington-state,Appalachian State,app-state,App State,Yes,1,1988-1989,1988-1989,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,Informational self-corrected current-program alias; accepted Stage 2 normalization.
13,washington-state,Arizona,arizona,Arizona,Yes,85,1959-1960,2023-2024,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,
14,washington-state,ARIZONA,arizona,Arizona,Yes,5,2019-2020,2023-2024,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,
15,washington-state,ARIZONA ST,arizona-state,Arizona State,Yes,1,2019-2020,2019-2020,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,Informational self-corrected current-program alias; accepted Stage 2 normalization.
16,washington-state,Arizona St,arizona-state,Arizona State,Yes,1,2019-2020,2019-2020,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,Informational self-corrected current-program alias; accepted Stage 2 normalization.
17,washington-state,Arizona State,arizona-state,Arizona State,Yes,87,1959-1960,2025-2026,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,
18,washington-state,ARIZONA STATE,arizona-state,Arizona State,Yes,2,2021-2022,2022-2023,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,
19,washington-state,ARK.-PINE BLUFF,arkansas-pine-bluff,Arkansas-Pine Bluff,Yes,1,2019-2020,2019-2020,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,Informational self-corrected current-program alias; accepted Stage 2 normalization.
20,washington-state,Arkansas,arkansas,Arkansas,Yes,1,1940-1941,1940-1941,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,
21,washington-state,Arkansas-Little Rock,little-rock,Little Rock,Yes,1,1979-1980,1979-1980,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,Informational self-corrected current-program alias; accepted Stage 2 normalization.
22,washington-state,Arkansas-Pine Bluff,arkansas-pine-bluff,Arkansas-Pine Bluff,Yes,1,2012-2013,2012-2013,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,
23,washington-state,Arkansas-Pine Buff,arkansas-pine-bluff,Arkansas-Pine Bluff,Yes,1,2001-2002,2001-2002,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,Informational self-corrected current-program alias; accepted Stage 2 normalization.
24,washington-state,Army,army,Army,Yes,1,1964-1965,1964-1965,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,
25,washington-state,Augustana (S.D.),augustana-sd,Augustana (SD),No,1,1981-1982,1981-1982,RESOLVED,Defensible non-D1/historical opponent identity; literal source evidence retained.,,
26,washington-state,Azusa Pacific,azusa-pacific,Azusa Pacific,No,1,1992-1993,1992-1993,RESOLVED,Defensible non-D1/historical opponent identity; literal source evidence retained.,,
27,washington-state,Baylor,baylor,Baylor,Yes,5,1972-1973,2022-2023,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,
28,washington-state,Bellingham YMCA,bellingham-ymca,Bellingham YMCA,No,2,1920-1921,1920-1921,RESOLVED,Defensible non-D1/historical opponent identity; literal source evidence retained.,,
29,washington-state,Beloit,beloit,Beloit,No,1,1950-1951,1950-1951,RESOLVED,Defensible non-D1/historical opponent identity; literal source evidence retained.,,
30,washington-state,Bethune-Cookman,bethune-cookman,Bethune-Cookman,Yes,1,2017-2018,2017-2018,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,
31,washington-state,Boise St,boise-state,Boise State,Yes,1,2023-2024,2023-2024,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,Informational self-corrected current-program alias; accepted Stage 2 normalization.
32,washington-state,Boise State,boise-state,Boise State,Yes,9,1970-1971,2024-2025,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,
33,washington-state,Boston College,boston-college,Boston College,Yes,1,1993-1994,1993-1994,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,
34,washington-state,Bradley,bradley,Bradley,Yes,4,1939-1940,2025-2026,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,
35,washington-state,BRADLEY,bradley,Bradley,Yes,1,2024-2025,2024-2025,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,
36,washington-state,British Columbia,british-columbia,British Columbia,No,2,1945-1946,1945-1946,RESOLVED,Defensible non-D1/historical opponent identity; literal source evidence retained.,,
37,washington-state,Bronson Motor,bronson-motor,Bronson Motor,No,2,1932-1933,1932-1933,RESOLVED,Historical/local/non-D1 identity retained distinctly; no evidence requiring merge to a current D1 program.,,
38,washington-state,Buffalo,buffalo,Buffalo,Yes,3,1949-1950,2012-2013,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,
39,washington-state,Butler,butler,Butler,Yes,2,2010-2011,2013-2014,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,
40,washington-state,BYU,byu,BYU,Yes,11,1946-1947,2021-2022,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,
41,washington-state,BYU-Hawaii,byu-hawaii,BYU-Hawaii,No,2,1990-1991,1992-1993,RESOLVED,Defensible non-D1/historical opponent identity; literal source evidence retained.,,
42,washington-state,C. Connecticut State,central-connecticut,Central Connecticut,Yes,1,1991-1992,1991-1992,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,Informational self-corrected current-program alias; accepted Stage 2 normalization.
43,washington-state,Cal,california,California,Yes,1,2020-2021,2020-2021,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,Informational self-corrected current-program alias; accepted Stage 2 normalization.
44,washington-state,CAL,california,California,Yes,1,2020-2021,2020-2021,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,Informational self-corrected current-program alias; accepted Stage 2 normalization.
45,washington-state,CAL POLY,cal-poly,Cal Poly,Yes,1,2018-2019,2018-2019,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,
46,washington-state,Cal Poly-San Luis Obispo,cal-poly,Cal Poly,Yes,1,1975-1976,1975-1976,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,Informational self-corrected current-program alias; accepted Stage 2 normalization.
47,washington-state,Cal State Bakersfield,cal-state-bakersfield,Cal State Bakersfield,Yes,2,1976-1977,1980-1981,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,
48,washington-state,Cal State Los Angeles,cal-state-los-angeles,Cal State Los Angeles,No,1,2015-2016,2015-2016,RESOLVED,Defensible non-D1/historical opponent identity; literal source evidence retained.,,
49,washington-state,Cal State Northridge,cal-state-northridge,Cal State Northridge,Yes,3,1993-1994,2006-2007,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,
50,washington-state,California,california,California,Yes,137,1916-1917,2023-2024,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,
51,washington-state,CALIFORNIA,california,California,Yes,5,2018-2019,2023-2024,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,
52,washington-state,Camp Lewis,camp-lewis,Camp Lewis,No,2,1917-1918,1917-1918,RESOLVED,Historical/local/non-D1 identity retained distinctly; no evidence requiring merge to a current D1 program.,,
53,washington-state,Canisius,canisius,Canisius,Yes,5,1942-1943,2008-2009,RESOLVED,Current program identity; source spelling/rank/site decoration normalized.,,
54,washington-state,Carroll,carroll-mt,Carroll (MT),No,2,1929-1930,1929-1930,RESOLVED,Defensible non-D1/historical opponent identity; literal source evidence retained.,,
55,washington-state,Cashmere,cashmere,Cashmere,No,1,1914-1915,1914-1915,RESOLVED,Historical/local/non-D1 identity retained distinctly; no evidence requiring merge to a current D1 program.,,
56,washington-state,CCNY,ccny,CCNY,No,1,1950-1951,1950-1951,RESOLVED,Historical/local/non-D1 identity retained distinctly; no evidence requiring merge to a current D1 program.,,
57,washington-state,Centenary,centenary,Centenary,No,3,1955-1956,2001-2002,RESOLVED,Defensible non-D1/historical opponent identity; literal source evidence retained.,,
58,washington-state,Central Washington,central-washington,Central Washington,No,27,1927-1928,2016-2017,RESOLVED,Defensible non-D1/historical opponent identity; literal source evidence retained.,,
59,washington-state,Chaminade,chaminade,Chaminade,No,1,2025-2026,2025-2026,RESOLVED,Defensible non-D1/historical opponent identity; literal source evidence retained.,,
60,washington-state,Cheney AC,cheney-ac,Cheney AC,No,2,1914-1915,1914-1915,RESOLVED,Historical/local/non-D1 identity retained distinctly; no evidence requiring merge to a current D1 program.,,
