index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id,site_research_status,site_research_basis
0,WSURAW-00001,washington-state,official_record_book_year_by_year,1901-1902,1902,1901-12-07,at Spokane YMCA,Spokane YMCA,spokane-ymca,No,0,31,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Year-by-Year Results — 1901-02; season block begins PDF p. 15,D 7   at Spokane YMCA    L     0-31,resolved,,,,,,,
1,WSURAW-00002,washington-state,official_record_book_year_by_year,1901-1902,1902,1902-02-17,Spokane YMCA,Spokane YMCA,spokane-ymca,No,16,24,L,0,,,,SOURCE_PROGRAM_HOME,,WSU Gymnasium / Temporary Union Building,Pullman,WA,,,REGULAR_SEASON,,Year-by-Year Results — 1901-02; season block begins PDF p. 15,F 17 Spokane YMCA      L    16-24,resolved,,,,,,,
2,WSURAW-00003,washington-state,official_record_book_year_by_year,1902-1903,1903,1902-12-13,Spokane YMCA,Spokane YMCA,spokane-ymca,No,18,13,W,0,,,,SOURCE_PROGRAM_HOME,,WSU Gymnasium / Temporary Union Building,Pullman,WA,,,REGULAR_SEASON,,Year-by-Year Results — 1902-03; season block begins PDF p. 15,D 13 Spokane YMCA   W   18-13,resolved,,,,,,,
3,WSURAW-00004,washington-state,official_record_book_year_by_year,1902-1903,1903,1903-01-17,Spokane HS,Spokane HS,spokane-hs,No,26,12,W,0,,,,SOURCE_PROGRAM_HOME,,WSU Gymnasium / Temporary Union Building,Pullman,WA,,,REGULAR_SEASON,,Year-by-Year Results — 1902-03; season block begins PDF p. 15,J 17 Spokane HS     W   26-12,resolved,,,,,,,
4,WSURAW-00005,washington-state,official_record_book_year_by_year,1902-1903,1903,1903-02-06,at Spokane YMCA,Spokane YMCA,spokane-ymca,No,15,30,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Year-by-Year Results — 1902-03; season block begins PDF p. 15,F 6   at Spokane YMCA    L    15-30,resolved,,,,,,,
5,WSURAW-00006,washington-state,official_record_book_year_by_year,1902-1903,1903,1903-02-07,at Spokane HS,Spokane HS,spokane-hs,No,6,15,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Year-by-Year Results — 1902-03; season block begins PDF p. 15,F 7   at Spokane HS       L     6-15,resolved,,,,,,,
6,WSURAW-00007,washington-state,official_record_book_year_by_year,1903-1904,1904,1904-01-19,Spokane YMCA,Spokane YMCA,spokane-ymca,No,18,8,W,0,,,,SOURCE_PROGRAM_HOME,,WSU Gymnasium / Temporary Union Building,Pullman,WA,,,REGULAR_SEASON,,Year-by-Year Results — 1903-04; season block begins PDF p. 15,J 19 Spokane YMCA   W    18-8,resolved,,,,,,,
7,WSURAW-00008,washington-state,official_record_book_year_by_year,1903-1904,1904,1904-02-06,Whitman,Whitman,whitman,No,21,3,W,0,,,,SOURCE_PROGRAM_HOME,,WSU Gymnasium / Temporary Union Building,Pullman,WA,,,REGULAR_SEASON,,Year-by-Year Results — 1903-04; season block begins PDF p. 15,F 6  Whitman      W    21-3,resolved,,,,,,,
8,WSURAW-00009,washington-state,official_record_book_year_by_year,1903-1904,1904,1904-02-13,at Spokane YMCA,Spokane YMCA,spokane-ymca,No,13,14,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Year-by-Year Results — 1903-04; season block begins PDF p. 15,F 13  at Spokane YMCA    L    13-14,resolved,,,,,,,
9,WSURAW-00010,washington-state,official_record_book_year_by_year,1904-1905,1905,1904-12-15,at Spokane AC,Spokane AC,spokane-ac,No,12,14,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Year-by-Year Results — 1904-05; season block begins PDF p. 15,D 15 at Spokane AC       L    12-14,resolved,,,,,,,
10,WSURAW-00011,washington-state,official_record_book_year_by_year,1904-1905,1905,1905-01-14,Spokane AC,Spokane AC,spokane-ac,No,20,14,W,0,,,,SOURCE_PROGRAM_HOME,,WSU Gymnasium / Temporary Union Building,Pullman,WA,,,REGULAR_SEASON,,Year-by-Year Results — 1904-05; season block begins PDF p. 15,J 14 Spokane AC     W   20-14,resolved,,,,,,,
11,WSURAW-00012,washington-state,official_record_book_year_by_year,1904-1905,1905,1905-01-20,at Whitman,Whitman,whitman,No,12,22,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Year-by-Year Results — 1904-05; season block begins PDF p. 15,J 20  at Whitman         L    12-22,resolved,,,,,,,
12,WSURAW-00013,washington-state,official_record_book_year_by_year,1904-1905,1905,1905-01-21,at Whitman,Whitman,whitman,No,14,13,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Year-by-Year Results — 1904-05; season block begins PDF p. 15,J 21  at Whitman     W   14-13,resolved,,,,,,,
13,WSURAW-00014,washington-state,official_record_book_year_by_year,1904-1905,1905,1905-02-17,at Whitman,Whitman,whitman,No,17,11,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Year-by-Year Results — 1904-05; season block begins PDF p. 15,F 17  at Whitman     W    17-11,resolved,,,,,,,
14,WSURAW-00015,washington-state,official_record_book_year_by_year,1905-1906,1906,1905-12-09,Spokane AC,Spokane AC,spokane-ac,No,14,10,W,0,,,,SOURCE_PROGRAM_HOME,,WSU Gymnasium / Temporary Union Building,Pullman,WA,,,REGULAR_SEASON,,Year-by-Year Results — 1905-06; season block begins PDF p. 15,D 9  Spokane AC     W   14-10,resolved,,,,,,,
15,WSURAW-00016,washington-state,official_record_book_year_by_year,1905-1906,1906,1905-12-15,at Spokane HS,Spokane HS,spokane-hs,No,13,15,L,1,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Year-by-Year Results — 1905-06; season block begins PDF p. 15,D 15 at Spokane HS       L    13-15 (OT),resolved,,,,,,,
16,WSURAW-00017,washington-state,official_record_book_year_by_year,1905-1906,1906,1905-12-16,at Spokane AC,Spokane AC,spokane-ac,No,16,22,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Year-by-Year Results — 1905-06; season block begins PDF p. 15,D 16 at Spokane AC       L    16-22,resolved,,,,,,,
17,WSURAW-00018,washington-state,official_record_book_year_by_year,1905-1906,1906,1906-01-13,Idaho,Idaho,idaho,Yes,28,11,W,0,,,,SOURCE_PROGRAM_HOME,,WSU Gymnasium / Temporary Union Building,Pullman,WA,,,REGULAR_SEASON,,Year-by-Year Results — 1905-06; season block begins PDF p. 15,J 13 Idaho        W   28-11,resolved,,,,,,,
18,WSURAW-00019,washington-state,official_record_book_year_by_year,1905-1906,1906,1906-01-19,at Whitman,Whitman,whitman,No,11,12,L,1,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Year-by-Year Results — 1905-06; season block begins PDF p. 15,J 19  at Whitman         L     11-12 (OT),resolved,,,,,,,
19,WSURAW-00020,washington-state,official_record_book_year_by_year,1905-1906,1906,1906-01-26,at Idaho,Idaho,idaho,Yes,8,30,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Year-by-Year Results — 1905-06; season block begins PDF p. 15,J 26  at Idaho            L     8-30,resolved,,,,,,,
20,WSURAW-00021,washington-state,official_record_book_year_by_year,1905-1906,1906,1906-01-30,Puget Sound HS,Puget Sound HS,puget-sound-hs,No,12,18,L,0,,,,SOURCE_PROGRAM_HOME,,WSU Gymnasium / Temporary Union Building,Pullman,WA,,,REGULAR_SEASON,,Year-by-Year Results — 1905-06; season block begins PDF p. 15,J 30 Puget Sound HS     L    12-18,resolved,,,,,,,
21,WSURAW-00022,washington-state,official_record_book_year_by_year,1905-1906,1906,1906-02-14,Whitman,Whitman,whitman,No,21,19,W,0,,,,SOURCE_PROGRAM_HOME,,WSU Gymnasium / Temporary Union Building,Pullman,WA,,,REGULAR_SEASON,,Year-by-Year Results — 1905-06; season block begins PDF p. 15,F 14 Whitman      W   21-19,resolved,,,,,,,
22,WSURAW-00023,washington-state,official_record_book_year_by_year,1905-1906,1906,1906-02-16,Whitman,Whitman,whitman,No,10,8,W,0,,,,SOURCE_PROGRAM_HOME,,WSU Gymnasium / Temporary Union Building,Pullman,WA,,,REGULAR_SEASON,,Year-by-Year Results — 1905-06; season block begins PDF p. 15,F 16 Whitman      W    10-8,resolved,,,,,,,
23,WSURAW-00024,washington-state,official_record_book_year_by_year,1905-1906,1906,1906-03-13,Idaho,Idaho,idaho,Yes,18,17,W,0,,,,SOURCE_PROGRAM_HOME,,WSU Gymnasium / Temporary Union Building,Pullman,WA,,,REGULAR_SEASON,,Year-by-Year Results — 1905-06; season block begins PDF p. 15,M 13 Idaho        W   18-17,resolved,,,,,,,
24,WSURAW-00025,washington-state,official_record_book_year_by_year,1906-1907,1907,1906-12-08,Spokane HS,Spokane HS,spokane-hs,No,25,12,W,0,,,,SOURCE_PROGRAM_HOME,,WSU Gymnasium / Temporary Union Building,Pullman,WA,,,REGULAR_SEASON,,Year-by-Year Results — 1906-07; season block begins PDF p. 15,D 8  Spokane HS     W   25-12,resolved,,,,,,,
25,WSURAW-00026,washington-state,official_record_book_year_by_year,1906-1907,1907,1907-01-08,Oregon State,Oregon State,oregon-state,Yes,14,30,L,0,,,,SOURCE_PROGRAM_HOME,,WSU Gymnasium / Temporary Union Building,Pullman,WA,,,REGULAR_SEASON,,Year-by-Year Results — 1906-07; season block begins PDF p. 15,J 8  Oregon State        L    14-30,resolved,,,,,,,
26,WSURAW-00027,washington-state,official_record_book_year_by_year,1906-1907,1907,1907-01-13,Colfax HS,Colfax HS,colfax-hs,No,30,6,W,0,,,,SOURCE_PROGRAM_HOME,,WSU Gymnasium / Temporary Union Building,Pullman,WA,,,REGULAR_SEASON,,Year-by-Year Results — 1906-07; season block begins PDF p. 15,J 13  Colfax HS      W    30-6,resolved,,,,,,,
27,WSURAW-00028,washington-state,official_record_book_year_by_year,1906-1907,1907,1907-01-14,Cheney Normal,Eastern Washington,eastern-washington,Yes,16,10,W,0,,,,SOURCE_PROGRAM_HOME,,WSU Gymnasium / Temporary Union Building,Pullman,WA,,,REGULAR_SEASON,,Year-by-Year Results — 1906-07; season block begins PDF p. 15,J 14 Cheney Normal   W   16-10,resolved,,,,,,,
28,WSURAW-00029,washington-state,official_record_book_year_by_year,1906-1907,1907,1907-01-25,at Idaho,Idaho,idaho,Yes,21,9,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Year-by-Year Results — 1906-07; season block begins PDF p. 15,J 25  at Idaho       W    21-9,resolved,,,,,,,
29,WSURAW-00030,washington-state,official_record_book_year_by_year,1906-1907,1907,1907-02-02,Whitman,Whitman,whitman,No,17,24,L,0,,,,SOURCE_PROGRAM_HOME,,WSU Gymnasium / Temporary Union Building,Pullman,WA,,,REGULAR_SEASON,,Year-by-Year Results — 1906-07; season block begins PDF p. 15,F 2  Whitman           L    17-24,resolved,,,,,,,
30,WSURAW-00031,washington-state,official_record_book_year_by_year,1906-1907,1907,1907-02-09,Idaho,Idaho,idaho,Yes,21,18,W,0,,,,SOURCE_PROGRAM_HOME,,WSU Gymnasium / Temporary Union Building,Pullman,WA,,,REGULAR_SEASON,,Year-by-Year Results — 1906-07; season block begins PDF p. 15,F 9  Idaho        W   21-18,resolved,,,,,,,
