index,source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
0,washington-state,american-airlines-center,VEN-000010,American Airlines Center,,Dallas,TX,,,,unknown,1,2022-12-18,2022-12-18,,,,,,Accepted Washington State Stage 3A/3B physical-site research; reconciled against research-base global venue registry.,Integration rebase resolved final global venue ID VEN-000010.
1,washington-state,arco-arena,VEN-000013,ARCO Arena,,Sacramento,CA,,,,unknown,2,2007-03-15,2007-03-17,,,,,,Accepted Washington State Stage 3A/3B physical-site research; reconciled against research-base global venue registry.,Integration rebase resolved final global venue ID VEN-000013.
2,washington-state,ball-arena,VEN-000018,Ball Arena,Pepsi Center,Denver,CO,,,,unknown,2,2008-03-20,2008-03-22,,,,,,Accepted Washington State Stage 3A/3B physical-site research; reconciled against research-base global venue registry.,Integration rebase resolved final global venue ID VEN-000018.
3,washington-state,bob-devaney-sports-center,VEN-000023,Bob Devaney Sports Center,,Lincoln,NE,,,,unknown,1,1996-03-19,1996-03-19,,,,,,Accepted Washington State Stage 3A/3B physical-site research; reconciled against research-base global venue registry.,Integration rebase resolved final global venue ID VEN-000023.
4,washington-state,chi-health-center,VEN-000043,CHI Health Center Omaha,,Omaha,NE,,,,unknown,2,2024-03-21,2024-03-23,,,,,,Accepted Washington State Stage 3A/3B physical-site research; reconciled against research-base global venue registry.,Integration rebase resolved final global venue ID VEN-000043.
5,washington-state,crypto-com-arena,VEN-000051,Crypto.com Arena,,Los Angeles,CA,,,,unknown,12,2004-03-11,2012-03-07,,,,,,Accepted Washington State Stage 3A/3B physical-site research; reconciled against research-base global venue registry.,Integration rebase resolved final global venue ID VEN-000051.
6,washington-state,desert-financial-arena,VEN-000056,Desert Financial Arena,,Tempe,AZ,,,,unknown,1,1990-03-08,1990-03-08,,,,,,Accepted Washington State Stage 3A/3B physical-site research; reconciled against research-base global venue registry.,Integration rebase resolved final global venue ID VEN-000056.
7,washington-state,extramile-arena,VEN-000061,ExtraMile Arena,BSU Pavilion,Boise,ID,,,,unknown,1,1983-03-17,1983-03-17,,,,,,Accepted Washington State Stage 3A/3B physical-site research; reconciled against research-base global venue registry.,Integration rebase resolved final global venue ID VEN-000061.
8,washington-state,footprint-center,VEN-000065,Mortgage Matchup Center,Footprint Center,Phoenix,AZ,,,,unknown,1,2023-12-16,2023-12-16,,,,,,Accepted Washington State Stage 3A/3B physical-site research; reconciled against research-base global venue registry.,Integration rebase resolved final global venue ID VEN-000065.
9,washington-state,hec-edmundson-pavilion,VEN-000078,Hec Edmundson Pavilion,,Seattle,WA,,,,unknown,1,1937-03-12,1937-03-12,,,,,,Accepted Washington State Stage 3A/3B physical-site research; reconciled against research-base global venue registry.,Integration rebase resolved final global venue ID VEN-000078.
