source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
washington,41st Division,41st-division,41st Division,FALSE,1,1941-1942,1941-1942,RESOLVED,research_normalization,,Owner NON_D1 sanity scan approved 2026-09-02.
washington,Aberdeen AC,aberdeen-ac,Aberdeen AC,FALSE,1,1924-1925,1924-1925,RESOLVED,research_normalization,,Owner NON_D1 sanity scan approved 2026-09-02.
washington,Air Force,air-force,Air Force,TRUE,2,1961-1962,2005-2006,RESOLVED,research_normalization,,Historical/current program identity normalized during Washington research.
washington,Alabama,alabama,Alabama,TRUE,2,2000-2001,2004-2005,RESOLVED,research_normalization,,Historical/current program identity normalized during Washington research.
washington,Alaska-Anchorage,alaska-anchorage,Alaska Anchorage,FALSE,2,1986-1987,1999-2000,RESOLVED,research_normalization,,Owner NON_D1 sanity scan approved 2026-09-02.
washington,Alaska–Anchorage,alaska-anchorage,Alaska Anchorage,FALSE,1,1982-1983,1982-1983,RESOLVED,research_normalization,,Owner NON_D1 sanity scan approved 2026-09-02.
washington,Alaska Fairbanks,alaska-fairbanks,Alaska Fairbanks,FALSE,1,2001-2002,2001-2002,RESOLVED,research_normalization,,Owner NON_D1 sanity scan approved 2026-09-02.
washington,Alaska-Fairbanks,alaska-fairbanks,Alaska Fairbanks,FALSE,1,1991-1992,1991-1992,RESOLVED,research_normalization,,Owner NON_D1 sanity scan approved 2026-09-02.
washington,Alaska–Fairbanks,alaska-fairbanks,Alaska Fairbanks,FALSE,2,1970-1971,1970-1971,RESOLVED,research_normalization,,Owner NON_D1 sanity scan approved 2026-09-02.
washington,Albany,albany,Albany,TRUE,1,2012-2013,2012-2013,RESOLVED,research_normalization,,Historical/current program identity normalized during Washington research.
washington,Alcorn State,alcorn-state,Alcorn State,TRUE,1,2024-2025,2024-2025,RESOLVED,research_normalization,,Historical/current program identity normalized during Washington research.
washington,Alpine Dairy/AAU,alpine-dairy-aau,Alpine Dairy/AAU,FALSE,7,1937-1938,1949-1950,RESOLVED,research_normalization,,Owner NON_D1 sanity scan approved 2026-09-02.
washington,Alt Heidelburg/AAU,alt-heidelburg-aau,Alt Heidelburg/AAU,FALSE,1,1937-1938,1937-1938,RESOLVED,research_normalization,,Owner NON_D1 sanity scan approved 2026-09-02.
washington,American,american,American,TRUE,1,2005-2006,2005-2006,RESOLVED,research_normalization,,Historical/current program identity normalized during Washington research.
washington,American U.-Puerto Rico,american-u-puerto-rico,American U.-Puerto Rico,FALSE,1,2000-2001,2000-2001,RESOLVED,research_normalization,,Owner NON_D1 sanity scan approved 2026-09-02.
washington,Arizona,arizona,Arizona,TRUE,92,1964-1965,2023-2024,RESOLVED,research_normalization,,Historical/current program identity normalized during Washington research.
washington,Arizona St.,arizona-state,Arizona State,TRUE,2,1989-1990,2011-2012,RESOLVED,research_normalization,,Historical/current program identity normalized during Washington research.
washington,Arizona State,arizona-state,Arizona State,TRUE,91,1977-1978,2023-2024,RESOLVED,research_normalization,,Historical/current program identity normalized during Washington research.
washington,Arkansas-Pine Bluff,arkansas-pine-bluff,Arkansas-Pine Bluff,TRUE,1,2025-2026,2025-2026,RESOLVED,research_normalization,,Historical/current program identity normalized during Washington research.
washington,Army,army,Army,TRUE,2,1961-1962,1978-1979,RESOLVED,research_normalization,,Historical/current program identity normalized during Washington research.
washington,Army–Navy YMCA,army-navy-ymca,Army–Navy YMCA,FALSE,1,1945-1946,1945-1946,RESOLVED,research_normalization,,Owner NON_D1 sanity scan approved 2026-09-02.
