source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
washington,allen-fieldhouse,VEN-000003,Allen Fieldhouse,,Lawrence,KS,,,,,1,1976-03-13,1976-03-13,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Washington RESEARCH_FROZEN portfolio; current-main physical-venue reconciliation.,Implementation schema/current-main compatibility rebase from immutable Washington RESEARCH_FROZEN parent; no H/A/N inference from venue identity. Integration rebase resolved final global venue ID VEN-000003.
washington,beasley-coliseum,VEN-000283,Beasley Coliseum,,Pullman,WA,,,,,2,1984-03-16,1984-03-18,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Washington RESEARCH_FROZEN portfolio; current-main physical-venue reconciliation.,Implementation schema/current-main compatibility rebase from immutable Washington RESEARCH_FROZEN parent; no H/A/N inference from venue identity. Integration rebase resolved final global venue ID VEN-000283.
washington,bob-devaney-sports-center,VEN-000023,Bob Devaney Sports Center,,Lincoln,NE,,,,,2,1987-03-21,1997-03-12,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Washington RESEARCH_FROZEN portfolio; current-main physical-venue reconciliation.,Implementation schema/current-main compatibility rebase from immutable Washington RESEARCH_FROZEN parent; no H/A/N inference from venue identity. Integration rebase resolved final global venue ID VEN-000023.
washington,breslin-center,VEN-000029,Breslin Center,,East Lansing,MI,,,,,1,1996-03-13,1996-03-13,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Washington RESEARCH_FROZEN portfolio; current-main physical-venue reconciliation.,Implementation schema/current-main compatibility rebase from immutable Washington RESEARCH_FROZEN parent; no H/A/N inference from venue identity. Integration rebase resolved final global venue ID VEN-000029.
washington,brick-breeden-fieldhouse,VEN-000447,Brick Breeden Fieldhouse,,Bozeman,MT,,,,,1,1987-03-11,1987-03-11,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Washington RESEARCH_FROZEN portfolio; current-main physical-venue reconciliation.,Implementation schema/current-main compatibility rebase from immutable Washington RESEARCH_FROZEN parent; no H/A/N inference from venue identity. Integration rebase resolved final global venue ID VEN-000447.
washington,caesars-superdome,VEN-000034,Caesars Superdome,Louisiana Superdome,New Orleans,LA,,,,,1,1999-03-12,1999-03-12,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Washington RESEARCH_FROZEN portfolio; current-main physical-venue reconciliation.,Implementation schema/current-main compatibility rebase from immutable Washington RESEARCH_FROZEN parent; no H/A/N inference from venue identity. Integration rebase resolved final global venue ID VEN-000034.
washington,capital-one-arena,VEN-000036,Capital One Arena,Verizon Center,Washington,DC,,,,,3,1998-03-12,2006-03-24,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Washington RESEARCH_FROZEN portfolio; current-main physical-venue reconciliation.,Implementation schema/current-main compatibility rebase from immutable Washington RESEARCH_FROZEN parent; no H/A/N inference from venue identity. Integration rebase resolved final global venue ID VEN-000036.
washington,crypto-com-arena,VEN-000051,Crypto.com Arena,Staples Center,Los Angeles,CA,,,,,21,2002-03-07,2012-03-08,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Washington RESEARCH_FROZEN portfolio; current-main physical-venue reconciliation.,Implementation schema/current-main compatibility rebase from immutable Washington RESEARCH_FROZEN parent; no H/A/N inference from venue identity. Integration rebase resolved final global venue ID VEN-000051.
washington,desert-financial-arena,VEN-000056,Desert Financial Arena,University Activity Center,Tempe,AZ,,,,,1,1990-03-08,1990-03-08,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Washington RESEARCH_FROZEN portfolio; current-main physical-venue reconciliation.,Implementation schema/current-main compatibility rebase from immutable Washington RESEARCH_FROZEN parent; no H/A/N inference from venue identity. Integration rebase resolved final global venue ID VEN-000056.
washington,extramile-arena,VEN-000061,ExtraMile Arena,Taco Bell Arena,Boise,ID,,,,,2,2005-03-17,2005-03-19,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Washington RESEARCH_FROZEN portfolio; current-main physical-venue reconciliation.,Implementation schema/current-main compatibility rebase from immutable Washington RESEARCH_FROZEN parent; no H/A/N inference from venue identity. Integration rebase resolved final global venue ID VEN-000061.
washington,gill-coliseum,VEN-000373,Gill Coliseum,,Corvallis,OR,,,,,2,1953-03-13,1953-03-14,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Washington RESEARCH_FROZEN portfolio; current-main physical-venue reconciliation.,Implementation schema/current-main compatibility rebase from immutable Washington RESEARCH_FROZEN parent; no H/A/N inference from venue identity. Integration rebase resolved final global venue ID VEN-000373.
washington,greensboro-coliseum,VEN-000076,Greensboro Coliseum,,Greensboro,NC,,,,,1,1998-03-19,1998-03-19,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Washington RESEARCH_FROZEN portfolio; current-main physical-venue reconciliation.,Implementation schema/current-main compatibility rebase from immutable Washington RESEARCH_FROZEN parent; no H/A/N inference from venue identity. Integration rebase resolved final global venue ID VEN-000076.
washington,hec-edmundson-pavilion,VEN-000078,Hec Edmundson Pavilion,,Seattle,WA,,1927-12-27,,EXACT,1475,1927-12-27,2026-03-04,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Washington RESEARCH_FROZEN portfolio; current-main physical-venue reconciliation.,Implementation schema/current-main compatibility rebase from immutable Washington RESEARCH_FROZEN parent; no H/A/N inference from venue identity. Integration rebase resolved final global venue ID VEN-000078.
