source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
west-virginia,#1 Arizona,arizona,Arizona,Yes,1,2025-2026,2025-2026,RESOLVED,SOURCE_DECORATION_NORMALIZED_TO_CURRENT_PROGRAM,,Stage 2 identity research complete. Historical identity: RESOLVED. Global registration at research base: EXISTING_CURRENT_MAIN. Stage 5 owner NON_D1 sanity scan pending. Evidence: Source label '#1 Arizona' contains ranking/OCR-footnote decoration; underlying opponent 'Arizona' resolves to protected-main current program key 'arizona'.
west-virginia,#10 Houston,houston,Houston,Yes,1,2024-2025,2024-2025,RESOLVED,SOURCE_DECORATION_NORMALIZED_TO_CURRENT_PROGRAM,,Stage 2 identity research complete. Historical identity: RESOLVED. Global registration at research base: EXISTING_CURRENT_MAIN. Stage 5 owner NON_D1 sanity scan pending. Evidence: Source label '#10 Houston' contains ranking/OCR-footnote decoration; underlying opponent 'Houston' resolves to protected-main current program key 'houston'.
west-virginia,#12 Baylor,baylor,Baylor,Yes,1,2023-2024,2023-2024,RESOLVED,SOURCE_DECORATION_NORMALIZED_TO_CURRENT_PROGRAM,,Stage 2 identity research complete. Historical identity: RESOLVED. Global registration at research base: EXISTING_CURRENT_MAIN. Stage 5 owner NON_D1 sanity scan pending. Evidence: Source label '#12 Baylor' contains ranking/OCR-footnote decoration; underlying opponent 'Baylor' resolves to protected-main current program key 'baylor'.
west-virginia,#13 Texas Tech,texas-tech,Texas Tech,Yes,1,2025-2026,2025-2026,RESOLVED,SOURCE_DECORATION_NORMALIZED_TO_CURRENT_PROGRAM,,Stage 2 identity research complete. Historical identity: RESOLVED. Global registration at research base: EXISTING_CURRENT_MAIN. Stage 5 owner NON_D1 sanity scan pending. Evidence: Source label '#13 Texas Tech' contains ranking/OCR-footnote decoration; underlying opponent 'Texas Tech' resolves to protected-main current program key 'texas-tech'.
west-virginia,#15 Oklahoma,oklahoma,Oklahoma,Yes,1,2023-2024,2023-2024,RESOLVED,SOURCE_DECORATION_NORMALIZED_TO_CURRENT_PROGRAM,,Stage 2 identity research complete. Historical identity: RESOLVED. Global registration at research base: EXISTING_CURRENT_MAIN. Stage 5 owner NON_D1 sanity scan pending. Evidence: Source label '#15 Oklahoma' contains ranking/OCR-footnote decoration; underlying opponent 'Oklahoma' resolves to protected-main current program key 'oklahoma'.
west-virginia,#19 BYU,byu,BYU,Yes,1,2025-2026,2025-2026,RESOLVED,SOURCE_DECORATION_NORMALIZED_TO_CURRENT_PROGRAM,,Stage 2 identity research complete. Historical identity: RESOLVED. Global registration at research base: EXISTING_CURRENT_MAIN. Stage 5 owner NON_D1 sanity scan pending. Evidence: Source label '#19 BYU' contains ranking/OCR-footnote decoration; underlying opponent 'BYU' resolves to protected-main current program key 'byu'.
west-virginia,#2 Iowa State,iowa-state,Iowa State,Yes,1,2024-2025,2024-2025,RESOLVED,SOURCE_DECORATION_NORMALIZED_TO_CURRENT_PROGRAM,,Stage 2 identity research complete. Historical identity: RESOLVED. Global registration at research base: EXISTING_CURRENT_MAIN. Stage 5 owner NON_D1 sanity scan pending. Evidence: Source label '#2 Iowa State' contains ranking/OCR-footnote decoration; underlying opponent 'Iowa State' resolves to protected-main current program key 'iowa-state'.
west-virginia,#22 BYU,byu,BYU,Yes,1,2023-2024,2023-2024,RESOLVED,SOURCE_DECORATION_NORMALIZED_TO_CURRENT_PROGRAM,,Stage 2 identity research complete. Historical identity: RESOLVED. Global registration at research base: EXISTING_CURRENT_MAIN. Stage 5 owner NON_D1 sanity scan pending. Evidence: Source label '#22 BYU' contains ranking/OCR-footnote decoration; underlying opponent 'BYU' resolves to protected-main current program key 'byu'.
west-virginia,#22 Kansas,kansas,Kansas,Yes,1,2025-2026,2025-2026,RESOLVED,SOURCE_DECORATION_NORMALIZED_TO_CURRENT_PROGRAM,,Stage 2 identity research complete. Historical identity: RESOLVED. Global registration at research base: EXISTING_CURRENT_MAIN. Stage 5 owner NON_D1 sanity scan pending. Evidence: Source label '#22 Kansas' contains ranking/OCR-footnote decoration; underlying opponent 'Kansas' resolves to protected-main current program key 'kansas'.
west-virginia,#24 Arizona,arizona,Arizona,Yes,1,2024-2025,2024-2025,RESOLVED,SOURCE_DECORATION_NORMALIZED_TO_CURRENT_PROGRAM,,Stage 2 identity research complete. Historical identity: RESOLVED. Global registration at research base: EXISTING_CURRENT_MAIN. Stage 5 owner NON_D1 sanity scan pending. Evidence: Source label '#24 Arizona' contains ranking/OCR-footnote decoration; underlying opponent 'Arizona' resolves to protected-main current program key 'arizona'.
west-virginia,#24 Virginia,virginia,Virginia,Yes,1,2023-2024,2023-2024,RESOLVED,SOURCE_DECORATION_NORMALIZED_TO_CURRENT_PROGRAM,,Stage 2 identity research complete. Historical identity: RESOLVED. Global registration at research base: EXISTING_CURRENT_MAIN. Stage 5 owner NON_D1 sanity scan pending. Evidence: Source label '#24 Virginia' contains ranking/OCR-footnote decoration; underlying opponent 'Virginia' resolves to protected-main current program key 'virginia'.
west-virginia,#25 BYU,byu,BYU,Yes,1,2024-2025,2024-2025,RESOLVED,SOURCE_DECORATION_NORMALIZED_TO_CURRENT_PROGRAM,,Stage 2 identity research complete. Historical identity: RESOLVED. Global registration at research base: EXISTING_CURRENT_MAIN. Stage 5 owner NON_D1 sanity scan pending. Evidence: Source label '#25 BYU' contains ranking/OCR-footnote decoration; underlying opponent 'BYU' resolves to protected-main current program key 'byu'.
west-virginia,#25 Texas,texas,Texas,Yes,1,2023-2024,2023-2024,RESOLVED,SOURCE_DECORATION_NORMALIZED_TO_CURRENT_PROGRAM,,Stage 2 identity research complete. Historical identity: RESOLVED. Global registration at research base: EXISTING_CURRENT_MAIN. Stage 5 owner NON_D1 sanity scan pending. Evidence: Source label '#25 Texas' contains ranking/OCR-footnote decoration; underlying opponent 'Texas' resolves to protected-main current program key 'texas'.
west-virginia,#3 Gonzaga,gonzaga,Gonzaga,Yes,1,2024-2025,2024-2025,RESOLVED,SOURCE_DECORATION_NORMALIZED_TO_CURRENT_PROGRAM,,Stage 2 identity research complete. Historical identity: RESOLVED. Global registration at research base: EXISTING_CURRENT_MAIN. Stage 5 owner NON_D1 sanity scan pending. Evidence: Source label '#3 Gonzaga' contains ranking/OCR-footnote decoration; underlying opponent 'Gonzaga' resolves to protected-main current program key 'gonzaga'.
west-virginia,#3 Houston,houston,Houston,Yes,1,2023-2024,2023-2024,RESOLVED,SOURCE_DECORATION_NORMALIZED_TO_CURRENT_PROGRAM,,Stage 2 identity research complete. Historical identity: RESOLVED. Global registration at research base: EXISTING_CURRENT_MAIN. Stage 5 owner NON_D1 sanity scan pending. Evidence: Source label '#3 Houston' contains ranking/OCR-footnote decoration; underlying opponent 'Houston' resolves to protected-main current program key 'houston'.
west-virginia,#3 Iowa State,iowa-state,Iowa State,Yes,1,2025-2026,2025-2026,RESOLVED,SOURCE_DECORATION_NORMALIZED_TO_CURRENT_PROGRAM,,Stage 2 identity research complete. Historical identity: RESOLVED. Global registration at research base: EXISTING_CURRENT_MAIN. Stage 5 owner NON_D1 sanity scan pending. Evidence: Source label '#3 Iowa State' contains ranking/OCR-footnote decoration; underlying opponent 'Iowa State' resolves to protected-main current program key 'iowa-state'.
west-virginia,#3 Kansas,kansas,Kansas,Yes,1,2023-2024,2023-2024,RESOLVED,SOURCE_DECORATION_NORMALIZED_TO_CURRENT_PROGRAM,,Stage 2 identity research complete. Historical identity: RESOLVED. Global registration at research base: EXISTING_CURRENT_MAIN. Stage 5 owner NON_D1 sanity scan pending. Evidence: Source label '#3 Kansas' contains ranking/OCR-footnote decoration; underlying opponent 'Kansas' resolves to protected-main current program key 'kansas'.
west-virginia,#6 Houston,houston,Houston,Yes,1,2024-2025,2024-2025,RESOLVED,SOURCE_DECORATION_NORMALIZED_TO_CURRENT_PROGRAM,,Stage 2 identity research complete. Historical identity: RESOLVED. Global registration at research base: EXISTING_CURRENT_MAIN. Stage 5 owner NON_D1 sanity scan pending. Evidence: Source label '#6 Houston' contains ranking/OCR-footnote decoration; underlying opponent 'Houston' resolves to protected-main current program key 'houston'.
west-virginia,#6 Iowa State,iowa-state,Iowa State,Yes,1,2023-2024,2023-2024,RESOLVED,SOURCE_DECORATION_NORMALIZED_TO_CURRENT_PROGRAM,,Stage 2 identity research complete. Historical identity: RESOLVED. Global registration at research base: EXISTING_CURRENT_MAIN. Stage 5 owner NON_D1 sanity scan pending. Evidence: Source label '#6 Iowa State' contains ranking/OCR-footnote decoration; underlying opponent 'Iowa State' resolves to protected-main current program key 'iowa-state'.
west-virginia,#7 Houston,houston,Houston,Yes,1,2025-2026,2025-2026,RESOLVED,SOURCE_DECORATION_NORMALIZED_TO_CURRENT_PROGRAM,,Stage 2 identity research complete. Historical identity: RESOLVED. Global registration at research base: EXISTING_CURRENT_MAIN. Stage 5 owner NON_D1 sanity scan pending. Evidence: Source label '#7 Houston' contains ranking/OCR-footnote decoration; underlying opponent 'Houston' resolves to protected-main current program key 'houston'.
west-virginia,#7 Kansas,kansas,Kansas,Yes,1,2024-2025,2024-2025,RESOLVED,SOURCE_DECORATION_NORMALIZED_TO_CURRENT_PROGRAM,,Stage 2 identity research complete. Historical identity: RESOLVED. Global registration at research base: EXISTING_CURRENT_MAIN. Stage 5 owner NON_D1 sanity scan pending. Evidence: Source label '#7 Kansas' contains ranking/OCR-footnote decoration; underlying opponent 'Kansas' resolves to protected-main current program key 'kansas'.
west-virginia,#9 Texas Tech,texas-tech,Texas Tech,Yes,1,2024-2025,2024-2025,RESOLVED,SOURCE_DECORATION_NORMALIZED_TO_CURRENT_PROGRAM,,Stage 2 identity research complete. Historical identity: RESOLVED. Global registration at research base: EXISTING_CURRENT_MAIN. Stage 5 owner NON_D1 sanity scan pending. Evidence: Source label '#9 Texas Tech' contains ranking/OCR-footnote decoration; underlying opponent 'Texas Tech' resolves to protected-main current program key 'texas-tech'.
