source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,site_research_status,site_research_basis,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
WVU-STG1-00001,west-virginia,wvu_2023_24_record_book_all_time_scores,1903-1904,1904,1904-02-20,W.U.P. (Pitt) Informal,Pittsburgh,pittsburgh,Yes,15,12,W,0,,,Morgantown,SOURCE_PROGRAM_HOME,,WVU Armory,Morgantown,WV,,,REGULAR_SEASON,,WVU.pdf PDF p. 23 / printed p. 137,F20 15-12 W W.U.P. (Pitt) Informal Morgantown,resolved,,,,,,,
WVU-STG1-00002,west-virginia,wvu_2023_24_record_book_all_time_scores,1903-1904,1904,1904-02-26,East Liberty,East Liberty Prep School,east-liberty-prep-school,No,32,12,W,0,,,Morgantown,SOURCE_PROGRAM_HOME,,WVU Armory,Morgantown,WV,,,REGULAR_SEASON,,WVU.pdf PDF p. 23 / printed p. 137,F26 32-12 W East Liberty Morgantown,resolved,,,,,,,
WVU-STG1-00003,west-virginia,wvu_2023_24_record_book_all_time_scores,1903-1904,1904,1904-03-03,East Liberty,East Liberty Prep School,east-liberty-prep-school,No,21,20,W,0,,,"Pittsburgh, Pa.",OPPONENT_HOME,,,,,,,REGULAR_SEASON,,WVU.pdf PDF p. 23 / printed p. 137,"M3 21-20 W East Liberty Pittsburgh, Pa.",resolved,,,,,,,
WVU-STG1-00004,west-virginia,wvu_2023_24_record_book_all_time_scores,1903-1904,1904,1904-03-04,Allegheny,Allegheny,allegheny,No,5,28,L,0,,,"Meadville, Pa.",OPPONENT_HOME,,,,,,,REGULAR_SEASON,,WVU.pdf PDF p. 23 / printed p. 137,"M4 5-28 L Allegheny Meadville, Pa.",resolved,,,,,,,
WVU-STG1-00005,west-virginia,wvu_2023_24_record_book_all_time_scores,1903-1904,1904,1904-03-05,Butler YMCA,Butler YMCA,butler-ymca,No,11,34,L,0,,,"Butler, Pa.",OPPONENT_HOME,,,,,,,REGULAR_SEASON,,WVU.pdf PDF p. 23 / printed p. 137,"M5 11-34 L Butler YMCA Butler, Pa.",resolved,,,,,,,
WVU-STG1-00006,west-virginia,wvu_2023_24_record_book_all_time_scores,1903-1904,1904,1904-03-12,Nonpariel AC,Nonpariel AC,nonpariel-ac,No,50,9,W,0,,,Morgantown,SOURCE_PROGRAM_HOME,,WVU Armory,Morgantown,WV,,,REGULAR_SEASON,,WVU.pdf PDF p. 23 / printed p. 137,M12 50-9 W Nonpariel AC Morgantown,resolved,,,,,,,
WVU-STG1-00007,west-virginia,wvu_2023_24_record_book_all_time_scores,1903-1904,1904,1904-03-18,All-Stars,All-Stars,all-stars,No,6,16,L,0,,,"Butler, Pa.",SOURCE_PROGRAM_HOME,,WVU Armory,Morgantown,WV,,,REGULAR_SEASON,,WVU.pdf PDF p. 23 / printed p. 137,"M18 6-16 L All-Stars Butler, Pa.",resolved,,,,,,,
WVU-STG1-00008,west-virginia,wvu_2023_24_record_book_all_time_scores,1904-1905,1905,1904-12-30,Fairmont YMCA,Fairmont YMCA,fairmont-ymca,No,42,15,W,0,,,Morgantown,SOURCE_PROGRAM_HOME,,WVU Armory,Morgantown,WV,,,REGULAR_SEASON,,WVU.pdf PDF p. 23 / printed p. 137,D30 42-15 W Fairmont YMCA Morgantown,resolved,,,,,,,
WVU-STG1-00009,west-virginia,wvu_2023_24_record_book_all_time_scores,1904-1905,1905,1905-01-07,Big Eastern Five,Big Eastern Five,big-eastern-five,No,62,16,W,0,,,Morgantown,SOURCE_PROGRAM_HOME,,WVU Armory,Morgantown,WV,,,REGULAR_SEASON,,WVU.pdf PDF p. 23 / printed p. 137,J7 62-16 W Big Eastern Five Morgantown,resolved,,,,,,,
WVU-STG1-00010,west-virginia,wvu_2023_24_record_book_all_time_scores,1904-1905,1905,1905-01-14,East Liberty,East Liberty Prep School,east-liberty-prep-school,No,35,5,W,0,,,Morgantown,SOURCE_PROGRAM_HOME,,WVU Armory,Morgantown,WV,,,REGULAR_SEASON,,WVU.pdf PDF p. 23 / printed p. 137,J14 35- 5 W East Liberty Morgantown,resolved,Source disagreement preserved: Owner-supplied WVU record book and older WVU record books list Jan. 14; current WVU web schedule lists Jan. 20. No independent source located in the bounded Stage 1 check; retained the owner-supplied record-book date rather than silently preferring the newer derivative.,,,,,,
WVU-STG1-00011,west-virginia,wvu_2023_24_record_book_all_time_scores,1904-1905,1905,1905-01-25,Geneva,Geneva,geneva,No,16,17,L,0,,,"Beaver Falls, Pa.",OPPONENT_HOME,,,,,,,REGULAR_SEASON,,WVU.pdf PDF p. 23 / printed p. 137,"J25 16-17 L Geneva Beaver Falls, Pa.",resolved,,,,,,,
WVU-STG1-00012,west-virginia,wvu_2023_24_record_book_all_time_scores,1904-1905,1905,1905-01-26,Westminster,Westminster (PA),westminster-pennsylvania,No,10,39,L,0,,,"Westminster, Pa.",OPPONENT_HOME,,,,,,,REGULAR_SEASON,,WVU.pdf PDF p. 23 / printed p. 137,"J26 10-39 L Westminster Westminster, Pa.",resolved,,,,,,,
WVU-STG1-00013,west-virginia,wvu_2023_24_record_book_all_time_scores,1904-1905,1905,1905-01-27,Allegheny,Allegheny,allegheny,No,5,44,L,0,,,"Meadville, Pa.",OPPONENT_HOME,,,,,,,REGULAR_SEASON,,WVU.pdf PDF p. 23 / printed p. 137,"J27 5-44 L Allegheny Meadville, Pa.",resolved,,,,,,,
WVU-STG1-00014,west-virginia,wvu_2023_24_record_book_all_time_scores,1904-1905,1905,1905-01-28,Grove City,Grove City,grove-city,No,9,36,L,0,,,"New Wilmington, Pa.",OPPONENT_HOME,,,,,,,REGULAR_SEASON,,WVU.pdf PDF p. 23 / printed p. 137,"J28 8-36 L Grove City New Wilmington, Pa.",resolved,Accepted Stage 1 correction: SCORE_SOURCE_DEFECT. Current WVU official historical schedule gives 9-36; this also reconciles the 1904-05 season scoring total printed in the WVU record book.,,,,,,
WVU-STG1-00015,west-virginia,wvu_2023_24_record_book_all_time_scores,1904-1905,1905,1905-02-01,Hiram,Hiram,hiram,No,17,27,L,0,,,Morgantown,SOURCE_PROGRAM_HOME,,WVU Armory,Morgantown,WV,,,REGULAR_SEASON,,WVU.pdf PDF p. 23 / printed p. 137,F1 17-27 L Hiram Morgantown,resolved,,,,,,,
WVU-STG1-00016,west-virginia,wvu_2023_24_record_book_all_time_scores,1904-1905,1905,1905-02-04,Waynesburg,Waynesburg,waynesburg,No,80,1,W,0,,,Morgantown,SOURCE_PROGRAM_HOME,,WVU Armory,Morgantown,WV,,,REGULAR_SEASON,,WVU.pdf PDF p. 23 / printed p. 137,F4 80- 1 W Waynesburg Morgantown,resolved,,,,,,,
WVU-STG1-00017,west-virginia,wvu_2023_24_record_book_all_time_scores,1904-1905,1905,1905-02-07,Steubenville AC,Steubenville AC,steubenville-ac,No,16,24,L,0,,,"Steubenville, Ohio",OPPONENT_HOME,,,,,,,REGULAR_SEASON,,WVU.pdf PDF p. 23 / printed p. 137,"F7 16-24 L Steubenville AC Steubenville, Ohio",resolved,,,,,,,
WVU-STG1-00018,west-virginia,wvu_2023_24_record_book_all_time_scores,1904-1905,1905,1905-02-08,Mount Union,Mount Union,mount-union,No,17,25,L,0,,,"Alliance, Ohio",OPPONENT_HOME,,,,,,,REGULAR_SEASON,,WVU.pdf PDF p. 23 / printed p. 137,"F8 17-25 L Mount Union Alliance, Ohio",resolved,,,,,,,
WVU-STG1-00019,west-virginia,wvu_2023_24_record_book_all_time_scores,1904-1905,1905,1905-02-09,Buchtel (Akron),Akron,akron,Yes,25,31,L,0,,,"Buchtel, Ohio",OPPONENT_HOME,,,,,,,REGULAR_SEASON,,WVU.pdf PDF p. 23 / printed p. 137,"F9 25-31 L Buchtel (Akron) Buchtel, Ohio",resolved,,,,,,,
WVU-STG1-00020,west-virginia,wvu_2023_24_record_book_all_time_scores,1904-1905,1905,1905-02-10,Hiram,Hiram,hiram,No,22,40,L,0,,,"Hiram, Ohio",OPPONENT_HOME,,,,,,,REGULAR_SEASON,,WVU.pdf PDF p. 23 / printed p. 137,"F10 22-40 L Hiram Hiram, Ohio",resolved,,,,,,,
WVU-STG1-00021,west-virginia,wvu_2023_24_record_book_all_time_scores,1904-1905,1905,1905-02-24,All-Stars,All-Stars,all-stars,No,38,8,W,0,,,Morgantown,SOURCE_PROGRAM_HOME,,WVU Armory,Morgantown,WV,,,REGULAR_SEASON,,WVU.pdf PDF p. 23 / printed p. 137,F24 38- 8 W All-Stars Morgantown,resolved,,,,,,,
