source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
west-virginia,cfe-arena,VEN-000038,Addition Financial Arena,,Orlando,FL,,,,unknown,2,2024-01-23,2026-02-14,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted Stage 1-3B West Virginia research plus bounded Stage 6 self-challenge/physical-identity reconciliation.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; historical/local label maps to research-base key=cfe-arena; research-base venue_id=VEN-000038. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000038.
west-virginia,afook-chinen-civic-auditorium,VEN-000465,Afook-Chinen Civic Auditorium,,Hilo,HI,,,,unknown,3,1998-11-27,1998-11-29,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted Stage 1-3B West Virginia research plus bounded Stage 6 self-challenge/physical-identity reconciliation.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=afook-chinen-civic-auditorium. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000465.
west-virginia,allen-fieldhouse,VEN-000003,Allen Fieldhouse,,Lawrence,KS,,,,unknown,1,2024-12-31,2024-12-31,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted Stage 1-3B West Virginia research plus bounded Stage 6 self-challenge/physical-identity reconciliation.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=allen-fieldhouse. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000003.
west-virginia,kaseya-center,VEN-000499,American Airlines Arena,,Miami,FL,,,,unknown,1,2003-12-20,2003-12-20,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted Stage 1-3B West Virginia research plus bounded Stage 6 self-challenge/physical-identity reconciliation.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; historical/local label maps to research-base key=kaseya-center; research-base venue_id=VEN-000499. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000499.
west-virginia,anaheim-convention-center,VEN-000386,Anaheim Convention Center,,Anaheim,CA,,,,unknown,3,2009-11-26,2009-11-29,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted Stage 1-3B West Virginia research plus bounded Stage 6 self-challenge/physical-identity reconciliation.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=anaheim-convention-center. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000386.
west-virginia,honda-center,VEN-000082,Arrowhead Pond of Anaheim,,Anaheim,CA,,,,unknown,1,1998-03-19,1998-03-19,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted Stage 1-3B West Virginia research plus bounded Stage 6 self-challenge/physical-identity reconciliation.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; historical/local label maps to research-base key=honda-center; research-base venue_id=VEN-000082. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000082.
west-virginia,gainbridge-fieldhouse,VEN-000070,Bankers Life Fieldhouse,,Indianapolis,IN,,,,unknown,2,2020-12-02,2021-03-21,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted Stage 1-3B West Virginia research plus bounded Stage 6 self-challenge/physical-identity reconciliation.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; historical/local label maps to research-base key=gainbridge-fieldhouse; research-base venue_id=VEN-000070. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000070.
west-virginia,barclays-center,VEN-000020,Barclays Center,,Brooklyn,NY,,,,unknown,4,2012-12-15,2016-11-25,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted Stage 1-3B West Virginia research plus bounded Stage 6 self-challenge/physical-identity reconciliation.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=barclays-center. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000020.
west-virginia,bayfront-center-st-petersburg,VEN-000649,Bayfront Center,,St. Petersburg,FL,,,,unknown,1,1977-12-09,1977-12-09,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted Stage 1-3B West Virginia research plus bounded Stage 6 self-challenge/physical-identity reconciliation.,Historical physical identity: RESOLVED. Research-base exact/unique alias reconciliation did not establish one authoritative shared venue identity. Global registration/current-main reuse decision remains for serialized Implementation; numeric venue_id intentionally blank. Added by Stage 6 bounded exact-site recovery. Integration rebase resolved final global venue ID VEN-000649.
west-virginia,rochester-war-memorial,VEN-000505,Blue Cross/Blue Shield Arena,,Rochester,NY,,,,unknown,1,2005-11-30,2005-11-30,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted Stage 1-3B West Virginia research plus bounded Stage 6 self-challenge/physical-identity reconciliation.,Research-base registry contains multiple Rochester War Memorial identities while current Rochester sources identify Blue Cross Arena as the War Memorial facility; Research preserves one local physical identity and defers authoritative shared-ID reconciliation to Implementation. Integration rebase resolved final global venue ID VEN-000505.
