index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
0,wisconsin,Air Force,air-force,Air Force,Yes,2,1960-1961,1962-1963,RESOLVED,Current D1 registry / established institutional naming,,
1,wisconsin,Alabama,alabama,Alabama,Yes,3,1979-1980,2003-2004,RESOLVED,Current D1 registry / established institutional naming,,
2,wisconsin,Alabama [18],alabama,Alabama,Yes,1,2004-2005,2004-2005,RESOLVED,Current D1 registry / established institutional naming,,
3,wisconsin,Alcorn State,alcorn-state,Alcorn State,Yes,1,1992-1993,1992-1993,RESOLVED,Current D1 registry / established institutional naming,,
4,wisconsin,American,american-university,American,Yes,1,2013-2014,2013-2014,RESOLVED,Current D1 registry / established institutional naming,,
5,wisconsin,Appalachian State,app-state,Appalachian State,Yes,1,2024-2025,2024-2025,RESOLVED,Current D1 registry / established institutional naming,,
6,wisconsin,Arizona,arizona,Arizona,Yes,2,1962-1963,2024-2025,RESOLVED,Current D1 registry / established institutional naming,,
7,wisconsin,Arizona (N2),arizona,Arizona,Yes,1,1966-1967,1966-1967,RESOLVED,Current D1 registry / established institutional naming,,
8,wisconsin,Arizona [1],arizona,Arizona,Yes,1,2023-2024,2023-2024,RESOLVED,Current D1 registry / established institutional naming,,
9,wisconsin,Arizona [2],arizona,Arizona,Yes,1,2005-2006,2005-2006,RESOLVED,Current D1 registry / established institutional naming,,
10,wisconsin,Arizona [4],arizona,Arizona,Yes,1,1999-2000,1999-2000,RESOLVED,Current D1 registry / established institutional naming,,
11,wisconsin,Arizona [4] (OT),arizona,Arizona,Yes,1,2013-2014,2013-2014,RESOLVED,Current D1 registry / established institutional naming,,
12,wisconsin,Arizona [5],arizona,Arizona,Yes,1,2014-2015,2014-2015,RESOLVED,Current D1 registry / established institutional naming,,
13,wisconsin,Arizona^,arizona,Arizona,Yes,1,2009-2010,2009-2010,RESOLVED,Current D1 registry / established institutional naming,,
14,wisconsin,Ark.-Pine Bluff,arkansas-pine-bluff,Arkansas-Pine Bluff,Yes,1,2020-2021,2020-2021,RESOLVED,Current D1 registry / established institutional naming,,
15,wisconsin,Arkansas State,arkansas-state,Arkansas State,Yes,2,1914-1915,2023-2024,RESOLVED,Current D1 registry / established institutional naming,,
16,wisconsin,Arkansas^,arkansas,Arkansas,Yes,1,2012-2013,2012-2013,RESOLVED,Current D1 registry / established institutional naming,,
17,wisconsin,Armour Institute,armour-institute,Armour Institute,,2,1901-1902,1905-1906,RESOLVED,Wisconsin record-book identity; historical/non-current identity retained conservatively,,
18,wisconsin,Army (N2),army,Army,Yes,1,1979-1980,1979-1980,RESOLVED,Current D1 registry / established institutional naming,,
19,wisconsin,at Indiana,indiana,Indiana,Yes,1,2015-2016,2015-2016,RESOLVED,Current D1 registry / established institutional naming,,
20,wisconsin,at Northwestern (OT),northwestern,Northwestern,Yes,1,1931-1932,1931-1932,RESOLVED,Current D1 registry / established institutional naming,,
21,wisconsin,at Oregon,oregon,Oregon,Yes,1,2022-2023,2022-2023,RESOLVED,Current D1 registry / established institutional naming,,
22,wisconsin,Auburn^,auburn,Auburn,Yes,1,2006-2007,2006-2007,RESOLVED,Current D1 registry / established institutional naming,,
23,wisconsin,Ball State,ball-state,Ball State,Yes,9,1936-1937,2025-2026,RESOLVED,Current D1 registry / established institutional naming,,
24,wisconsin,Baylor [23],baylor,Baylor,Yes,1,2013-2014,2013-2014,RESOLVED,Current D1 registry / established institutional naming,,
25,wisconsin,Baylor [3],baylor,Baylor,Yes,1,2020-2021,2020-2021,RESOLVED,Current D1 registry / established institutional naming,,
26,wisconsin,Baylor^ [22],baylor,Baylor,Yes,1,2017-2018,2017-2018,RESOLVED,Current D1 registry / established institutional naming,,
27,wisconsin,Belmont,belmont,Belmont,Yes,1,2010-2011,2010-2011,RESOLVED,Current D1 registry / established institutional naming,,
28,wisconsin,Beloit,beloit,Beloit,Yes,16,1904-1905,1938-1939,RESOLVED,Current D1 registry / established institutional naming,,
