index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
0,WISCRAW-00001,wisconsin,2025-26_record_book_all_time_results,1898-1899,1899,1899-01-21,UW-Milw. Alumni,UW-Milw. Alumni,uw-milw-alumni,No,15,25,L,0,,,,UNKNOWN,,,,,,,REGULAR_SEASON,,PDF p. 46,J	 21 UW-Milw. Alumni........L......15-25,resolved,,,,,
1,WISCRAW-00002,wisconsin,2025-26_record_book_all_time_results,1898-1899,1899,1899-02-18,Lawrence,Lawrence,lawrence,,18,20,L,0,,,,UNKNOWN,,,,,,,REGULAR_SEASON,,PDF p. 46,F	 18 Lawrence.......................L......18-20,resolved,,,,,
2,WISCRAW-00003,wisconsin,2025-26_record_book_all_time_results,1898-1899,1899,1899-03-04,UW-Milw. Alumni,UW-Milw. Alumni,uw-milw-alumni,No,10,13,L,0,,,H,SOURCE_PROGRAM_HOME,,Red Gym,Madison,WI,,,REGULAR_SEASON,,PDF p. 46,M	 4 UW-Milw. Alumni........L......10-13,resolved,Wisconsin program history explicitly identifies this as the first home game; Red Gym venue follows institutional home-court evidence.,,,,
3,WISCRAW-00004,wisconsin,2025-26_record_book_all_time_results,1899-1900,1900,1900-02-17,Minnesota,Minnesota,minnesota,Yes,15,17,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 46,F 	17 Minnesota......................L......15-17,resolved,,,,,
4,WISCRAW-00005,wisconsin,2025-26_record_book_all_time_results,1899-1900,1900,1900-02-23,Wayland Academy,Wayland Academy,wayland-academy,No,25,15,W,0,,,,UNKNOWN,,,,,,,REGULAR_SEASON,,PDF p. 46,F 	23 Wayland Academy......W.....25-15,resolved,,,,,
5,WISCRAW-00006,wisconsin,2025-26_record_book_all_time_results,1900-1901,1901,1901-01-18,Wayland Academy,Wayland Academy,wayland-academy,No,35,22,W,0,,,,UNKNOWN,,,,,,,REGULAR_SEASON,,PDF p. 46,J	 18 Wayland Academy......W.....35-22,resolved,,,,,
6,WISCRAW-00007,wisconsin,2025-26_record_book_all_time_results,1900-1901,1901,1901-02-23,Minnesota,Minnesota,minnesota,Yes,15,42,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 46,F	 23 Minnesota......................L......15-42,resolved,,,,,
7,WISCRAW-00008,wisconsin,2025-26_record_book_all_time_results,1901-1902,1902,1901-12-13,Lewis Institute,Lewis Institute,lewis-institute,,32,21,W,0,,,,UNKNOWN,,,,,,,REGULAR_SEASON,,PDF p. 46,D	 13 Lewis Institute ........... W.....32-21,resolved,,,,,
8,WISCRAW-00009,wisconsin,2025-26_record_book_all_time_results,1901-1902,1902,1901-12-14,Armour Institute,Armour Institute,armour-institute,,20,14,W,0,,,,UNKNOWN,,,,,,,REGULAR_SEASON,,PDF p. 46,D	 14 Armour Institute ....... W.....20-14,resolved,,,,,
9,WISCRAW-00010,wisconsin,2025-26_record_book_all_time_results,1901-1902,1902,1901-12-27,UW-Milwaukee,Milwaukee,milwaukee,Yes,37,18,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 46,D	 27 UW-Milwaukee.......... W.....37-18,resolved,,,,,
